precise	status	evidence	notes
c:@E@BLAS_THREADING	declared	source:full/accelerate/AccelerateCTypes.swift#BLAS_THREADING	
c:@E@BLAS_THREADING@BLAS_THREADING_MAX_OPTIONS	implemented	test:full/accelerate/tests/agent/AccelerateTests.swift#testBLASThreading	
c:@E@BLAS_THREADING@BLAS_THREADING_MULTI_THREADED	implemented	test:full/accelerate/tests/agent/AccelerateTests.swift#testBLASThreading	
c:@E@BLAS_THREADING@BLAS_THREADING_SINGLE_THREADED	implemented	test:full/accelerate/tests/agent/AccelerateTests.swift#testBLASThreading	
c:@E@CBLAS_DIAG	declared	source:full/accelerate/AccelerateCTypes.swift#CBLAS_DIAG	
c:@E@CBLAS_DIAG@CblasNonUnit	declared	source:full/accelerate/AccelerateCTypes.swift#CblasNonUnit	
c:@E@CBLAS_DIAG@CblasUnit	declared	source:full/accelerate/AccelerateCTypes.swift#CblasUnit	
c:@E@CBLAS_ORDER	declared	source:full/accelerate/AccelerateCTypes.swift#CBLAS_ORDER	
c:@E@CBLAS_ORDER@CblasColMajor	implemented	test:full/accelerate/tests/agent/AccelerateTests.swift#testCBLASOrderValues	
c:@E@CBLAS_ORDER@CblasRowMajor	implemented	test:full/accelerate/tests/agent/AccelerateTests.swift#testCBLASOrderValues	
c:@E@CBLAS_SIDE	declared	source:full/accelerate/AccelerateCTypes.swift#CBLAS_SIDE	
c:@E@CBLAS_SIDE@CblasLeft	declared	source:full/accelerate/AccelerateCTypes.swift#CblasLeft	
c:@E@CBLAS_SIDE@CblasRight	declared	source:full/accelerate/AccelerateCTypes.swift#CblasRight	
c:@E@CBLAS_TRANSPOSE	declared	source:full/accelerate/AccelerateCTypes.swift#CBLAS_TRANSPOSE	
c:@E@CBLAS_TRANSPOSE@AtlasConj	declared	source:full/accelerate/AccelerateCTypes.swift#AtlasConj	
c:@E@CBLAS_TRANSPOSE@CblasConjTrans	declared	source:full/accelerate/AccelerateCTypes.swift#CblasConjTrans	
c:@E@CBLAS_TRANSPOSE@CblasNoTrans	implemented	test:full/accelerate/tests/agent/AccelerateTests.swift#testCBLASOrderValues	
c:@E@CBLAS_TRANSPOSE@CblasTrans	declared	source:full/accelerate/AccelerateCTypes.swift#CblasTrans	
c:@E@CBLAS_UPLO	declared	source:full/accelerate/AccelerateCTypes.swift#CBLAS_UPLO	
c:@E@CBLAS_UPLO@CblasLower	declared	source:full/accelerate/AccelerateCTypes.swift#CblasLower	
c:@E@CBLAS_UPLO@CblasUpper	declared	source:full/accelerate/AccelerateCTypes.swift#CblasUpper	
c:@E@vDSP_DCT_Type	declared	source:full/accelerate/AccelerateCTypes.swift#vDSP_DCT_Type	
c:@E@vDSP_DCT_Type@vDSP_DCT_II	declared	source:full/accelerate/AccelerateCTypes.swift#II	
c:@E@vDSP_DCT_Type@vDSP_DCT_III	declared	source:full/accelerate/AccelerateCTypes.swift#III	
c:@E@vDSP_DCT_Type@vDSP_DCT_IV	declared	source:full/accelerate/AccelerateCTypes.swift#IV	
c:@E@vDSP_DFT_Direction	declared	source:full/accelerate/AccelerateCTypes.swift#vDSP_DFT_Direction	
c:@E@vDSP_DFT_Direction@vDSP_DFT_FORWARD	declared	source:full/accelerate/AccelerateCTypes.swift#FORWARD	
c:@E@vDSP_DFT_Direction@vDSP_DFT_INVERSE	declared	source:full/accelerate/AccelerateCTypes.swift#INVERSE	
c:@E@vDSP_DFT_RealtoComplex	declared	source:full/accelerate/AccelerateCTypes.swift#vDSP_DFT_RealtoComplex	
c:@E@vDSP_DFT_RealtoComplex@vDSP_DFT_Interleaved_ComplextoComplex	declared	source:full/accelerate/AccelerateCTypes.swift#interleaved_ComplextoComplex	
c:@E@vDSP_DFT_RealtoComplex@vDSP_DFT_Interleaved_RealtoComplex	declared	source:full/accelerate/AccelerateCTypes.swift#interleaved_RealtoComplex	
c:@EA@BNNSActivationFunction	declared	source:full/accelerate/AccelerateCTypes.swift#BNNSActivationFunction	
c:@EA@BNNSActivationFunction@BNNSActivationFunctionCELU	declared	source:full/accelerate/AccelerateCTypes.swift#BNNSActivationFunctionCELU	
c:@EA@BNNSActivationFunction@BNNSActivationFunctionClampedLeakyRectifiedLinear	declared	source:full/accelerate/AccelerateCTypes.swift#BNNSActivationFunctionClampedLeakyRectifiedLinear	
