precise	status	evidence	notes
c:@ASErrorDomain	implemented	test:full/accessorysetupkit/tests/agent/ASErrorTests.swift#testASErrorDomain	
c:@ASPickerDisplaySettingsDiscoveryTimeoutLong	implemented	test:full/accessorysetupkit/tests/agent/ASValueTypeTests.swift#testASPickerDisplaySettingsDiscoveryTimeout	
c:@ASPickerDisplaySettingsDiscoveryTimeoutMedium	implemented	test:full/accessorysetupkit/tests/agent/ASValueTypeTests.swift#testASPickerDisplaySettingsDiscoveryTimeout	
c:@ASPickerDisplaySettingsDiscoveryTimeoutShort	implemented	test:full/accessorysetupkit/tests/agent/ASValueTypeTests.swift#testASPickerDisplaySettingsDiscoveryTimeout	
c:@ASPickerDisplaySettingsDiscoveryTimeoutUnbounded	implemented	test:full/accessorysetupkit/tests/agent/ASValueTypeTests.swift#testASPickerDisplaySettingsDiscoveryTimeout	
c:@E@ASAccessoryEventType	implemented	test:full/accessorysetupkit/tests/agent/ASEnumTests.swift#testASAccessoryEventTypeRawValues	
c:@E@ASAccessoryEventType@ASAccessoryEventTypeAccessoryAdded	implemented	test:full/accessorysetupkit/tests/agent/ASEnumTests.swift#testASAccessoryEventTypeRawValues	
c:@E@ASAccessoryEventType@ASAccessoryEventTypeAccessoryChanged	implemented	test:full/accessorysetupkit/tests/agent/ASEnumTests.swift#testASAccessoryEventTypeRawValues	
c:@E@ASAccessoryEventType@ASAccessoryEventTypeAccessoryDiscovered	implemented	test:full/accessorysetupkit/tests/agent/ASEnumTests.swift#testASAccessoryEventTypeRawValues	
c:@E@ASAccessoryEventType@ASAccessoryEventTypeAccessoryRemoved	implemented	test:full/accessorysetupkit/tests/agent/ASEnumTests.swift#testASAccessoryEventTypeRawValues	
c:@E@ASAccessoryEventType@ASAccessoryEventTypeActivated	implemented	test:full/accessorysetupkit/tests/agent/ASEnumTests.swift#testASAccessoryEventTypeRawValues	
c:@E@ASAccessoryEventType@ASAccessoryEventTypeInvalidated	implemented	test:full/accessorysetupkit/tests/agent/ASEnumTests.swift#testASAccessoryEventTypeRawValues	
c:@E@ASAccessoryEventType@ASAccessoryEventTypeMigrationComplete	implemented	test:full/accessorysetupkit/tests/agent/ASEnumTests.swift#testASAccessoryEventTypeRawValues	
c:@E@ASAccessoryEventType@ASAccessoryEventTypePickerDidDismiss	implemented	test:full/accessorysetupkit/tests/agent/ASEnumTests.swift#testASAccessoryEventTypeRawValues	
c:@E@ASAccessoryEventType@ASAccessoryEventTypePickerDidPresent	implemented	test:full/accessorysetupkit/tests/agent/ASEnumTests.swift#testASAccessoryEventTypeRawValues	
c:@E@ASAccessoryEventType@ASAccessoryEventTypePickerSetupBridging	implemented	test:full/accessorysetupkit/tests/agent/ASEnumTests.swift#testASAccessoryEventTypeRawValues	
