precise	payloadSHA256	graphPath	ownershipTier	occurrenceCount	canonicalSelection	kind	title	symbolPath	declaration
c:objc(cs)ASAccessorySession(im)failAuthorization:completionHandler:	2a1c325df946da86573e64a0b0de914f3291f4e91c3d57ffa4533650d8501cf6	reference/symbol-graphs/AccessorySetupKit.symbols.json	0	1	1	swift.method	failAuthorization(for:)	ASAccessorySession.failAuthorization(for:)	func failAuthorization(for accessory: ASAccessory) async throws
c:objc(cs)ASAccessorySession(im)failAuthorization:completionHandler:	dc1c9e96674b91cd663394608b2728529a6c3609b2f3760be0e6e5774e0d0311	reference/symbol-graphs/AccessorySetupKit.symbols.json	0	1	0	swift.method	failAuthorization(for:completionHandler:)	ASAccessorySession.failAuthorization(for:completionHandler:)	func failAuthorization(for accessory: ASAccessory, completionHandler: @escaping ((any Error)?) -> Void)
c:objc(cs)ASAccessorySession(im)finishAuthorization:settings:completionHandler:	35314f43bf294d13c0d630a0592d752341ba763a61148ddf70fdb7c9d67c9309	reference/symbol-graphs/AccessorySetupKit.symbols.json	0	1	1	swift.method	finishAuthorization(for:settings:)	ASAccessorySession.finishAuthorization(for:settings:)	func finishAuthorization(for accessory: ASAccessory, settings: ASAccessorySettings) async throws
c:objc(cs)ASAccessorySession(im)finishAuthorization:settings:completionHandler:	f67c89255779eb23218ae4f29b37e6b4a01621e146751aa8c509792e27c3cb79	reference/symbol-graphs/AccessorySetupKit.symbols.json	0	1	0	swift.method	finishAuthorization(for:settings:completionHandler:)	ASAccessorySession.finishAuthorization(for:settings:completionHandler:)	func finishAuthorization(for accessory: ASAccessory, settings: ASAccessorySettings, completionHandler: @escaping ((any Error)?) -> Void)
c:objc(cs)ASAccessorySession(im)finishPickerDiscovery:	81ee64b0a898dba16a120fb9986ad902d0e1a253eb297d5e631f5bb41aa0cdc4	reference/symbol-graphs/AccessorySetupKit.symbols.json	0	1	1	swift.method	finishPickerDiscovery(completionHandler:)	ASAccessorySession.finishPickerDiscovery(completionHandler:)	func finishPickerDiscovery(completionHandler: @escaping ((any Error)?) -> Void)
c:objc(cs)ASAccessorySession(im)finishPickerDiscovery:	3f3aa12947ade2f560c69b0dcc1e106b91fcdc8560726ac9f3fac09074c34a01	reference/symbol-graphs/AccessorySetupKit.symbols.json	0	1	0	swift.method	finishPickerDiscovery()	ASAccessorySession.finishPickerDiscovery()	func finishPickerDiscovery() async throws
c:objc(cs)ASAccessorySession(im)removeAccessory:completionHandler:	6b755b9d95d542bcb7989db56308f8ad85fda3cbbdaf22524aacfc3d02db7238	reference/symbol-graphs/AccessorySetupKit.symbols.json	0	1	1	swift.method	removeAccessory(_:)	ASAccessorySession.removeAccessory(_:)	func removeAccessory(_ accessory: ASAccessory) async throws
c:objc(cs)ASAccessorySession(im)removeAccessory:completionHandler:	90862945c95b5b70d19551b05eebbd07dbd809f3e341c1b0eae92a905b1daa9e	reference/symbol-graphs/AccessorySetupKit.symbols.json	0	1	0	swift.method	removeAccessory(_:completionHandler:)	ASAccessorySession.removeAccessory(_:completionHandler:)	func removeAccessory(_ accessory: ASAccessory, completionHandler: @escaping ((any Error)?) -> Void)
c:objc(cs)ASAccessorySession(im)renameAccessory:options:completionHandler:	02be91eac6cb10ff6cf66fca705886a8d2f598dc02b1e4dee630e2812f53fb21	reference/symbol-graphs/AccessorySetupKit.symbols.json	0	1	1	swift.method	renameAccessory(_:options:)	ASAccessorySession.renameAccessory(_:options:)	func renameAccessory(_ accessory: ASAccessory, options renameOptions: ASAccessory.RenameOptions = []) async throws
c:objc(cs)ASAccessorySession(im)renameAccessory:options:completionHandler:	521d8c7caf227297ce9678764edda1b64ba28351d3e7d5fa78f53353f9a482d8	reference/symbol-graphs/AccessorySetupKit.symbols.json	0	1	0	swift.method	renameAccessory(_:options:completionHandler:)	ASAccessorySession.renameAccessory(_:options:completionHandler:)	func renameAccessory(_ accessory: ASAccessory, options renameOptions: ASAccessory.RenameOptions = [], completionHandler: @escaping ((any Error)?) -> Void)
