precise	kind	title	path	declaration
c:@ACAccountStoreDidChangeNotification	swift.type.property	ACAccountStoreDidChange	NSNotification.Name.ACAccountStoreDidChange	static let ACAccountStoreDidChange: NSNotification.Name
c:@ACAccountTypeIdentifierFacebook	swift.var	ACAccountTypeIdentifierFacebook	ACAccountTypeIdentifierFacebook	let ACAccountTypeIdentifierFacebook: String
c:@ACAccountTypeIdentifierSinaWeibo	swift.var	ACAccountTypeIdentifierSinaWeibo	ACAccountTypeIdentifierSinaWeibo	let ACAccountTypeIdentifierSinaWeibo: String
c:@ACAccountTypeIdentifierTencentWeibo	swift.var	ACAccountTypeIdentifierTencentWeibo	ACAccountTypeIdentifierTencentWeibo	let ACAccountTypeIdentifierTencentWeibo: String
c:@ACAccountTypeIdentifierTwitter	swift.var	ACAccountTypeIdentifierTwitter	ACAccountTypeIdentifierTwitter	let ACAccountTypeIdentifierTwitter: String
c:@ACErrorDomain	swift.var	ACErrorDomain	ACErrorDomain	let ACErrorDomain: String
c:@ACFacebookAppIdKey	swift.var	ACFacebookAppIdKey	ACFacebookAppIdKey	let ACFacebookAppIdKey: String
c:@ACFacebookAudienceEveryone	swift.var	ACFacebookAudienceEveryone	ACFacebookAudienceEveryone	let ACFacebookAudienceEveryone: String
c:@ACFacebookAudienceFriends	swift.var	ACFacebookAudienceFriends	ACFacebookAudienceFriends	let ACFacebookAudienceFriends: String
c:@ACFacebookAudienceKey	swift.var	ACFacebookAudienceKey	ACFacebookAudienceKey	let ACFacebookAudienceKey: String
c:@ACFacebookAudienceOnlyMe	swift.var	ACFacebookAudienceOnlyMe	ACFacebookAudienceOnlyMe	let ACFacebookAudienceOnlyMe: String
c:@ACFacebookPermissionsKey	swift.var	ACFacebookPermissionsKey	ACFacebookPermissionsKey	let ACFacebookPermissionsKey: String
c:@ACTencentWeiboAppIdKey	swift.var	ACTencentWeiboAppIdKey	ACTencentWeiboAppIdKey	let ACTencentWeiboAppIdKey: String
c:@E@ACAccountCredentialRenewResult	swift.enum	ACAccountCredentialRenewResult	ACAccountCredentialRenewResult	enum ACAccountCredentialRenewResult
c:@E@ACAccountCredentialRenewResult@ACAccountCredentialRenewResultFailed	swift.enum.case	ACAccountCredentialRenewResult.failed	ACAccountCredentialRenewResult.failed	case failed
c:@E@ACAccountCredentialRenewResult@ACAccountCredentialRenewResultRejected	swift.enum.case	ACAccountCredentialRenewResult.rejected	ACAccountCredentialRenewResult.rejected	case rejected
c:@E@ACAccountCredentialRenewResult@ACAccountCredentialRenewResultRenewed	swift.enum.case	ACAccountCredentialRenewResult.renewed	ACAccountCredentialRenewResult.renewed	case renewed
c:@E@ACErrorCode	swift.struct	ACErrorCode	ACErrorCode	struct ACErrorCode
c:@E@ACErrorCode@ACErrorAccessDeniedByProtectionPolicy	swift.var	ACErrorAccessDeniedByProtectionPolicy	ACErrorAccessDeniedByProtectionPolicy	var ACErrorAccessDeniedByProtectionPolicy: ACErrorCode { get }
c:@E@ACErrorCode@ACErrorAccessInfoInvalid	swift.var	ACErrorAccessInfoInvalid	ACErrorAccessInfoInvalid	var ACErrorAccessInfoInvalid: ACErrorCode { get }
c:@E@ACErrorCode@ACErrorAccountAlreadyExists	swift.var	ACErrorAccountAlreadyExists	ACErrorAccountAlreadyExists	var ACErrorAccountAlreadyExists: ACErrorCode { get }
c:@E@ACErrorCode@ACErrorAccountAuthenticationFailed	swift.var	ACErrorAccountAuthenticationFailed	ACErrorAccountAuthenticationFailed	var ACErrorAccountAuthenticationFailed: ACErrorCode { get }
c:@E@ACErrorCode@ACErrorAccountMissingRequiredProperty	swift.var	ACErrorAccountMissingRequiredProperty	ACErrorAccountMissingRequiredProperty	var ACErrorAccountMissingRequiredProperty: ACErrorCode { get }
c:@E@ACErrorCode@ACErrorAccountNotFound	swift.var	ACErrorAccountNotFound	ACErrorAccountNotFound	var ACErrorAccountNotFound: ACErrorCode { get }
c:@E@ACErrorCode@ACErrorAccountTypeInvalid	swift.var	ACErrorAccountTypeInvalid	ACErrorAccountTypeInvalid	var ACErrorAccountTypeInvalid: ACErrorCode { get }
c:@E@ACErrorCode@ACErrorClientPermissionDenied	swift.var	ACErrorClientPermissionDenied	ACErrorClientPermissionDenied	var ACErrorClientPermissionDenied: ACErrorCode { get }
c:@E@ACErrorCode@ACErrorCoreDataSaveFailed	swift.var	ACErrorCoreDataSaveFailed	ACErrorCoreDataSaveFailed	var ACErrorCoreDataSaveFailed: ACErrorCode { get }
c:@E@ACErrorCode@ACErrorCredentialItemNotExpired	swift.var	ACErrorCredentialItemNotExpired	ACErrorCredentialItemNotExpired	var ACErrorCredentialItemNotExpired: ACErrorCode { get }
