precise	status	evidence	notes
s:10Foundation13CustomNSErrorPAAE11errorDomainSSvpZ::SYNTHESIZED::s:11ActivityKit0A18AuthorizationErrorO	implemented	tests/agent/ActivityKitRuntime.swift	All cases, equality, hash, LocalizedError strings, and Linux-local CustomNSError domain/codes exercised; Apple numeric codes remain unverified.
s:10Foundation13CustomNSErrorPAAE13errorUserInfoSDySSypGvp::SYNTHESIZED::s:11ActivityKit0A18AuthorizationErrorO	implemented	tests/agent/ActivityKitRuntime.swift	All cases, equality, hash, LocalizedError strings, and Linux-local CustomNSError domain/codes exercised; Apple numeric codes remain unverified.
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:11ActivityKit0A18AuthorizationErrorO	implemented	tests/agent/ActivityKitRuntime.swift	All cases, equality, hash, LocalizedError strings, and Linux-local CustomNSError domain/codes exercised; Apple numeric codes remain unverified.
s:10Foundation14LocalizedErrorPAAE16errorDescriptionSSSgvp::SYNTHESIZED::s:11ActivityKit0A18AuthorizationErrorO	implemented	tests/agent/ActivityKitRuntime.swift	All cases, equality, hash, LocalizedError strings, and Linux-local CustomNSError domain/codes exercised; Apple numeric codes remain unverified.
s:11ActivityKit0A0C	implemented	tests/agent/ActivityKitRuntime.swift	Empty process-local snapshot: no activities, nil push-to-start token, sequences complete without values.
s:11ActivityKit0A0C0A12StateUpdatesV	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C0A12StateUpdatesV13AsyncIteratora	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C0A12StateUpdatesV17makeAsyncIteratorAE0G0Vyx__GyF	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C0A12StateUpdatesV7Elementa	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C0A12StateUpdatesV8IteratorV	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C0A12StateUpdatesV8IteratorV4nextAA0aC0OSgyYaF	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C0A12StateUpdatesV8IteratorV7Elementa	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C0A7UpdatesV	implemented	tests/agent/ActivityKitRuntime.swift	Empty process-local snapshot: no activities, nil push-to-start token, sequences complete without values.
s:11ActivityKit0A0C0A7UpdatesV13AsyncIteratora	implemented	tests/agent/ActivityKitRuntime.swift	Empty process-local snapshot: no activities, nil push-to-start token, sequences complete without values.
s:11ActivityKit0A0C0A7UpdatesV17makeAsyncIteratorAE0F0Vyx__GyF	implemented	tests/agent/ActivityKitRuntime.swift	Empty process-local snapshot: no activities, nil push-to-start token, sequences complete without values.
s:11ActivityKit0A0C0A7UpdatesV7Elementa	implemented	tests/agent/ActivityKitRuntime.swift	Empty process-local snapshot: no activities, nil push-to-start token, sequences complete without values.
s:11ActivityKit0A0C0A7UpdatesV8IteratorV	implemented	tests/agent/ActivityKitRuntime.swift	Empty process-local snapshot: no activities, nil push-to-start token, sequences complete without values.
s:11ActivityKit0A0C0A7UpdatesV8IteratorV4nextACyxGSgyYaF	implemented	tests/agent/ActivityKitRuntime.swift	Empty process-local snapshot: no activities, nil push-to-start token, sequences complete without values.
s:11ActivityKit0A0C0A7UpdatesV8IteratorV7Elementa	implemented	tests/agent/ActivityKitRuntime.swift	Empty process-local snapshot: no activities, nil push-to-start token, sequences complete without values.
s:11ActivityKit0A0C10activitiesSayACyxGGvpZ	implemented	tests/agent/ActivityKitRuntime.swift	Empty process-local snapshot: no activities, nil push-to-start token, sequences complete without values.
s:11ActivityKit0A0C10attributesxvp	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C12ContentStatea	implemented	tests/agent/ActivityKitRuntime.swift	Constructed and compared in tests/agent/ActivityKitRuntime.swift against the public graph declarations.
s:11ActivityKit0A0C12contentState07ContentD0Qzvp	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C13activityStateAA0aD0Ovp	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C14ContentUpdatesV	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C14ContentUpdatesV13AsyncIteratora	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C14ContentUpdatesV17makeAsyncIteratorAE0G0Vyx__GyF	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C14ContentUpdatesV7Elementa	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C14ContentUpdatesV8IteratorV	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C14ContentUpdatesV8IteratorV4nextAA0aC0Vy0C5StateQzGSgyYaF	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C14ContentUpdatesV8IteratorV7Elementa	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C14contentUpdatesAC07ContentD0Vyx_Gvp	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C15activityUpdatesAC0aD0Vyx_GvpZ	implemented	tests/agent/ActivityKitRuntime.swift	Empty process-local snapshot: no activities, nil push-to-start token, sequences complete without values.
s:11ActivityKit0A0C16PushTokenUpdatesV	implemented	tests/agent/ActivityKitRuntime.swift	Empty process-local snapshot: no activities, nil push-to-start token, sequences complete without values.
s:11ActivityKit0A0C16PushTokenUpdatesV13AsyncIteratora	implemented	tests/agent/ActivityKitRuntime.swift	Empty process-local snapshot: no activities, nil push-to-start token, sequences complete without values.
s:11ActivityKit0A0C16PushTokenUpdatesV17makeAsyncIteratorAE0H0Vyx__GyF	implemented	tests/agent/ActivityKitRuntime.swift	Empty process-local snapshot: no activities, nil push-to-start token, sequences complete without values.
s:11ActivityKit0A0C16PushTokenUpdatesV7Elementa	implemented	tests/agent/ActivityKitRuntime.swift	Empty process-local snapshot: no activities, nil push-to-start token, sequences complete without values.
s:11ActivityKit0A0C16PushTokenUpdatesV8IteratorV	implemented	tests/agent/ActivityKitRuntime.swift	Empty process-local snapshot: no activities, nil push-to-start token, sequences complete without values.
s:11ActivityKit0A0C16PushTokenUpdatesV8IteratorV4next10Foundation4DataVSgyYaF	implemented	tests/agent/ActivityKitRuntime.swift	Empty process-local snapshot: no activities, nil push-to-start token, sequences complete without values.
s:11ActivityKit0A0C16PushTokenUpdatesV8IteratorV7Elementa	implemented	tests/agent/ActivityKitRuntime.swift	Empty process-local snapshot: no activities, nil push-to-start token, sequences complete without values.
s:11ActivityKit0A0C16pushToStartToken10Foundation4DataVSgvpZ	implemented	tests/agent/ActivityKitRuntime.swift	Empty process-local snapshot: no activities, nil push-to-start token, sequences complete without values.
s:11ActivityKit0A0C16pushTokenUpdatesAC04PushdE0Vyx_Gvp	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C19ContentStateUpdatesV	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C19ContentStateUpdatesV13AsyncIteratora	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C19ContentStateUpdatesV17makeAsyncIteratorAE0H0Vyx__GyF	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C19ContentStateUpdatesV7Elementa	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C19ContentStateUpdatesV8IteratorV	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C19ContentStateUpdatesV8IteratorV4next0cD0QzSgyYaF	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C19ContentStateUpdatesV8IteratorV7Elementa	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C19contentStateUpdatesAC07ContentdE0Vyx_Gvp	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C20activityStateUpdatesAC0adE0Vyx_Gvp	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C23pushToStartTokenUpdatesAC04PushfG0Vyx_GvpZ	implemented	tests/agent/ActivityKitRuntime.swift	Empty process-local snapshot: no activities, nil push-to-start token, sequences complete without values.
s:11ActivityKit0A0C2IDa	implemented	tests/agent/ActivityKitRuntime.swift	Empty process-local snapshot: no activities, nil push-to-start token, sequences complete without values.
s:11ActivityKit0A0C2idSSvp	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C3end5using15dismissalPolicyy12ContentStateQzSg_AA0a11UIDismissalF0VtYaF	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C3end_15dismissalPolicy9timestampyAA0A7ContentVy0G5StateQzGSg_AA0a11UIDismissalE0V10Foundation4DateVtYaF	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C3end_15dismissalPolicyyAA0A7ContentVy0F5StateQzGSg_AA0a11UIDismissalE0VtYaF	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C6update5using18alertConfigurationy12ContentStateQz_AA05AlertF0VSgtYaF	deferred		Deferred until an OPENUIKIT_GUEST build against real guest Foundation. Isolated toolchain Foundation does not publish LocalizedStringResource; AlertConfiguration and APIs that take it are omitted rather than given an ActivityKit fallback.
s:11ActivityKit0A0C6update5usingy12ContentStateQz_tYaF	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C6update_18alertConfiguration9timestampyAA0A7ContentVy0G5StateQzG_AA05AlertE0VSg10Foundation4DateVtYaF	deferred		Deferred until an OPENUIKIT_GUEST build against real guest Foundation. Isolated toolchain Foundation does not publish LocalizedStringResource; AlertConfiguration and APIs that take it are omitted rather than given an ActivityKit fallback.
s:11ActivityKit0A0C6update_18alertConfigurationyAA0A7ContentVy0F5StateQzG_AA05AlertE0VSgtYaF	deferred		Deferred until an OPENUIKIT_GUEST build against real guest Foundation. Isolated toolchain Foundation does not publish LocalizedStringResource; AlertConfiguration and APIs that take it are omitted rather than given an ActivityKit fallback.
s:11ActivityKit0A0C6updateyyAA0A7ContentVy0D5StateQzGYaF	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C7contentAA0A7ContentVy0D5StateQzGvp	declared	full/activitykit/ActivityKit.swift	Declared on Activity; Linux request() fails closed with unsupported so no instance exists to exercise.
s:11ActivityKit0A0C7request10attributes12contentState8pushTypeACyxGx_07ContentF0QzAA04PushH0VSgtKFZ	implemented	tests/agent/ActivityKitRuntime.swift	Fail-closed: throws ActivityAuthorizationError.unsupported; no Live Activity daemon or entitlement on Linux.
