precise	status	evidence	notes
c:@ABAddressBookErrorDomain	implemented	test:full/addressbook/tests/agent/AddressBookStoreTests.swift#testAuthorizationFailClosed	documented raw values / payloads
c:@E@ABAuthorizationStatus	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@E@ABAuthorizationStatus@kABAuthorizationStatusAuthorized	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@E@ABAuthorizationStatus@kABAuthorizationStatusDenied	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@E@ABAuthorizationStatus@kABAuthorizationStatusNotDetermined	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@E@ABAuthorizationStatus@kABAuthorizationStatusRestricted	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@EA@ABPersonImageFormat	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@EA@ABPersonImageFormat@kABPersonImageFormatOriginalSize	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@EA@ABPersonImageFormat@kABPersonImageFormatThumbnail	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@Ea@kABInvalidPropertyType@kABDateTimePropertyType	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@Ea@kABInvalidPropertyType@kABDictionaryPropertyType	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@Ea@kABInvalidPropertyType@kABIntegerPropertyType	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@Ea@kABInvalidPropertyType@kABInvalidPropertyType	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@Ea@kABInvalidPropertyType@kABMultiDateTimePropertyType	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@Ea@kABInvalidPropertyType@kABMultiDictionaryPropertyType	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@Ea@kABInvalidPropertyType@kABMultiIntegerPropertyType	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@Ea@kABInvalidPropertyType@kABMultiRealPropertyType	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@Ea@kABInvalidPropertyType@kABMultiStringPropertyType	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@Ea@kABInvalidPropertyType@kABRealPropertyType	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@Ea@kABInvalidPropertyType@kABStringPropertyType	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@Ea@kABOperationNotPermittedByStoreError@kABOperationNotPermittedByStoreError	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@Ea@kABOperationNotPermittedByStoreError@kABOperationNotPermittedByUserError	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@Ea@kABPersonCompositeNameFormatFirstNameFirst@kABPersonCompositeNameFormatFirstNameFirst	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@Ea@kABPersonCompositeNameFormatFirstNameFirst@kABPersonCompositeNameFormatLastNameFirst	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@Ea@kABPersonSortByFirstName@kABPersonSortByFirstName	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@Ea@kABPersonSortByFirstName@kABPersonSortByLastName	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@Ea@kABPersonType@kABGroupType	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@Ea@kABPersonType@kABPersonType	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
c:@Ea@kABPersonType@kABSourceType	implemented	test:full/addressbook/tests/agent/AddressBookConstantTests.swift#testConstantCatalog	documented raw values / payloads
