precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@ABAddressBookErrorDomain	swift.var	["ABAddressBookErrorDomain"]	unmatched	none	0	0		[]
c:@E@ABAuthorizationStatus	swift.enum	["ABAuthorizationStatus"]	unmatched	none	0	0		[]
c:@E@ABAuthorizationStatus@kABAuthorizationStatusAuthorized	swift.enum.case	["ABAuthorizationStatus","authorized"]	unmatched	none	0	0		[]
c:@E@ABAuthorizationStatus@kABAuthorizationStatusDenied	swift.enum.case	["ABAuthorizationStatus","denied"]	unmatched	none	0	0		[]
c:@E@ABAuthorizationStatus@kABAuthorizationStatusNotDetermined	swift.enum.case	["ABAuthorizationStatus","notDetermined"]	unmatched	none	0	0		[]
c:@E@ABAuthorizationStatus@kABAuthorizationStatusRestricted	swift.enum.case	["ABAuthorizationStatus","restricted"]	unmatched	none	0	0		[]
c:@EA@ABPersonImageFormat	swift.struct	["ABPersonImageFormat"]	unmatched	none	0	0		[]
c:@EA@ABPersonImageFormat@kABPersonImageFormatOriginalSize	swift.var	["kABPersonImageFormatOriginalSize"]	unmatched	none	0	0		[]
c:@EA@ABPersonImageFormat@kABPersonImageFormatThumbnail	swift.var	["kABPersonImageFormatThumbnail"]	unmatched	none	0	0		[]
c:@Ea@kABInvalidPropertyType@kABDateTimePropertyType	swift.var	["kABDateTimePropertyType"]	unmatched	none	0	0		[]
c:@Ea@kABInvalidPropertyType@kABDictionaryPropertyType	swift.var	["kABDictionaryPropertyType"]	unmatched	none	0	0		[]
c:@Ea@kABInvalidPropertyType@kABIntegerPropertyType	swift.var	["kABIntegerPropertyType"]	unmatched	none	0	0		[]
c:@Ea@kABInvalidPropertyType@kABInvalidPropertyType	swift.var	["kABInvalidPropertyType"]	unmatched	none	0	0		[]
c:@Ea@kABInvalidPropertyType@kABMultiDateTimePropertyType	swift.var	["kABMultiDateTimePropertyType"]	unmatched	none	0	0		[]
c:@Ea@kABInvalidPropertyType@kABMultiDictionaryPropertyType	swift.var	["kABMultiDictionaryPropertyType"]	unmatched	none	0	0		[]
c:@Ea@kABInvalidPropertyType@kABMultiIntegerPropertyType	swift.var	["kABMultiIntegerPropertyType"]	unmatched	none	0	0		[]
c:@Ea@kABInvalidPropertyType@kABMultiRealPropertyType	swift.var	["kABMultiRealPropertyType"]	unmatched	none	0	0		[]
c:@Ea@kABInvalidPropertyType@kABMultiStringPropertyType	swift.var	["kABMultiStringPropertyType"]	unmatched	none	0	0		[]
c:@Ea@kABInvalidPropertyType@kABRealPropertyType	swift.var	["kABRealPropertyType"]	unmatched	none	0	0		[]
c:@Ea@kABInvalidPropertyType@kABStringPropertyType	swift.var	["kABStringPropertyType"]	unmatched	none	0	0		[]
c:@Ea@kABOperationNotPermittedByStoreError@kABOperationNotPermittedByStoreError	swift.var	["kABOperationNotPermittedByStoreError"]	unmatched	none	0	0		[]
c:@Ea@kABOperationNotPermittedByStoreError@kABOperationNotPermittedByUserError	swift.var	["kABOperationNotPermittedByUserError"]	unmatched	none	0	0		[]
c:@Ea@kABPersonCompositeNameFormatFirstNameFirst@kABPersonCompositeNameFormatFirstNameFirst	swift.var	["kABPersonCompositeNameFormatFirstNameFirst"]	unmatched	none	0	0		[]
c:@Ea@kABPersonCompositeNameFormatFirstNameFirst@kABPersonCompositeNameFormatLastNameFirst	swift.var	["kABPersonCompositeNameFormatLastNameFirst"]	unmatched	none	0	0		[]
c:@Ea@kABPersonSortByFirstName@kABPersonSortByFirstName	swift.var	["kABPersonSortByFirstName"]	unmatched	none	0	0		[]
c:@Ea@kABPersonSortByFirstName@kABPersonSortByLastName	swift.var	["kABPersonSortByLastName"]	unmatched	none	0	0		[]
c:@Ea@kABPersonType@kABGroupType	swift.var	["kABGroupType"]	unmatched	none	0	0		[]
c:@Ea@kABPersonType@kABPersonType	swift.var	["kABPersonType"]	unmatched	none	0	0		[]
c:@Ea@kABPersonType@kABSourceType	swift.var	["kABSourceType"]	unmatched	none	0	0		[]
c:@Ea@kABSourceTypeLocal@kABSourceTypeCardDAV	swift.var	["kABSourceTypeCardDAV"]	unmatched	none	0	0		[]
c:@Ea@kABSourceTypeLocal@kABSourceTypeCardDAVSearch	swift.var	["kABSourceTypeCardDAVSearch"]	unmatched	none	0	0		[]
c:@Ea@kABSourceTypeLocal@kABSourceTypeExchange	swift.var	["kABSourceTypeExchange"]	unmatched	none	0	0		[]
c:@Ea@kABSourceTypeLocal@kABSourceTypeExchangeGAL	swift.var	["kABSourceTypeExchangeGAL"]	unmatched	none	0	0		[]
c:@Ea@kABSourceTypeLocal@kABSourceTypeLDAP	swift.var	["kABSourceTypeLDAP"]	unmatched	none	0	0		[]
c:@Ea@kABSourceTypeLocal@kABSourceTypeLocal	swift.var	["kABSourceTypeLocal"]	unmatched	none	0	0		[]
c:@Ea@kABSourceTypeLocal@kABSourceTypeMobileMe	swift.var	["kABSourceTypeMobileMe"]	unmatched	none	0	0		[]
c:@F@ABAddressBookAddRecord	swift.func	["ABAddressBookAddRecord(_:_:_:)"]	unmatched	none	0	0		[]
c:@F@ABAddressBookCopyArrayOfAllGroups	swift.func	["ABAddressBookCopyArrayOfAllGroups(_:)"]	unmatched	none	0	0		[]
c:@F@ABAddressBookCopyArrayOfAllGroupsInSource	swift.func	["ABAddressBookCopyArrayOfAllGroupsInSource(_:_:)"]	unmatched	none	0	0		[]
c:@F@ABAddressBookCopyArrayOfAllPeople	swift.func	["ABAddressBookCopyArrayOfAllPeople(_:)"]	unmatched	none	0	0		[]
c:@F@ABAddressBookCopyArrayOfAllPeopleInSource	swift.func	["ABAddressBookCopyArrayOfAllPeopleInSource(_:_:)"]	unmatched	none	0	0		[]
c:@F@ABAddressBookCopyArrayOfAllPeopleInSourceWithSortOrdering	swift.func	["ABAddressBookCopyArrayOfAllPeopleInSourceWithSortOrdering(_:_:_:)"]	unmatched	none	0	0		[]
c:@F@ABAddressBookCopyArrayOfAllSources	swift.func	["ABAddressBookCopyArrayOfAllSources(_:)"]	unmatched	none	0	0		[]
c:@F@ABAddressBookCopyDefaultSource	swift.func	["ABAddressBookCopyDefaultSource(_:)"]	unmatched	none	0	0		[]
c:@F@ABAddressBookCopyLocalizedLabel	swift.func	["ABAddressBookCopyLocalizedLabel(_:)"]	unmatched	none	0	0		[]
c:@F@ABAddressBookCopyPeopleWithName	swift.func	["ABAddressBookCopyPeopleWithName(_:_:)"]	unmatched	none	0	0		[]
c:@F@ABAddressBookCreate	swift.func	["ABAddressBookCreate()"]	unmatched	none	0	0		[]
c:@F@ABAddressBookCreateWithOptions	swift.func	["ABAddressBookCreateWithOptions(_:_:)"]	unmatched	none	0	0		[]
c:@F@ABAddressBookGetAuthorizationStatus	swift.func	["ABAddressBookGetAuthorizationStatus()"]	unmatched	none	0	0		[]
c:@F@ABAddressBookGetGroupCount	swift.func	["ABAddressBookGetGroupCount(_:)"]	unmatched	none	0	0		[]
