precise	kind	title	path	declaration
c:@ABAddressBookErrorDomain	swift.var	ABAddressBookErrorDomain	ABAddressBookErrorDomain	let ABAddressBookErrorDomain: CFString!
c:@E@ABAuthorizationStatus	swift.enum	ABAuthorizationStatus	ABAuthorizationStatus	enum ABAuthorizationStatus
c:@E@ABAuthorizationStatus@kABAuthorizationStatusAuthorized	swift.enum.case	ABAuthorizationStatus.authorized	ABAuthorizationStatus.authorized	case authorized
c:@E@ABAuthorizationStatus@kABAuthorizationStatusDenied	swift.enum.case	ABAuthorizationStatus.denied	ABAuthorizationStatus.denied	case denied
c:@E@ABAuthorizationStatus@kABAuthorizationStatusNotDetermined	swift.enum.case	ABAuthorizationStatus.notDetermined	ABAuthorizationStatus.notDetermined	case notDetermined
c:@E@ABAuthorizationStatus@kABAuthorizationStatusRestricted	swift.enum.case	ABAuthorizationStatus.restricted	ABAuthorizationStatus.restricted	case restricted
c:@EA@ABPersonImageFormat	swift.struct	ABPersonImageFormat	ABPersonImageFormat	struct ABPersonImageFormat
c:@EA@ABPersonImageFormat@kABPersonImageFormatOriginalSize	swift.var	kABPersonImageFormatOriginalSize	kABPersonImageFormatOriginalSize	var kABPersonImageFormatOriginalSize: ABPersonImageFormat { get }
c:@EA@ABPersonImageFormat@kABPersonImageFormatThumbnail	swift.var	kABPersonImageFormatThumbnail	kABPersonImageFormatThumbnail	var kABPersonImageFormatThumbnail: ABPersonImageFormat { get }
c:@Ea@kABInvalidPropertyType@kABDateTimePropertyType	swift.var	kABDateTimePropertyType	kABDateTimePropertyType	var kABDateTimePropertyType: Int { get }
c:@Ea@kABInvalidPropertyType@kABDictionaryPropertyType	swift.var	kABDictionaryPropertyType	kABDictionaryPropertyType	var kABDictionaryPropertyType: Int { get }
c:@Ea@kABInvalidPropertyType@kABIntegerPropertyType	swift.var	kABIntegerPropertyType	kABIntegerPropertyType	var kABIntegerPropertyType: Int { get }
c:@Ea@kABInvalidPropertyType@kABInvalidPropertyType	swift.var	kABInvalidPropertyType	kABInvalidPropertyType	var kABInvalidPropertyType: Int { get }
c:@Ea@kABInvalidPropertyType@kABMultiDateTimePropertyType	swift.var	kABMultiDateTimePropertyType	kABMultiDateTimePropertyType	var kABMultiDateTimePropertyType: Int { get }
c:@Ea@kABInvalidPropertyType@kABMultiDictionaryPropertyType	swift.var	kABMultiDictionaryPropertyType	kABMultiDictionaryPropertyType	var kABMultiDictionaryPropertyType: Int { get }
c:@Ea@kABInvalidPropertyType@kABMultiIntegerPropertyType	swift.var	kABMultiIntegerPropertyType	kABMultiIntegerPropertyType	var kABMultiIntegerPropertyType: Int { get }
c:@Ea@kABInvalidPropertyType@kABMultiRealPropertyType	swift.var	kABMultiRealPropertyType	kABMultiRealPropertyType	var kABMultiRealPropertyType: Int { get }
c:@Ea@kABInvalidPropertyType@kABMultiStringPropertyType	swift.var	kABMultiStringPropertyType	kABMultiStringPropertyType	var kABMultiStringPropertyType: Int { get }
c:@Ea@kABInvalidPropertyType@kABRealPropertyType	swift.var	kABRealPropertyType	kABRealPropertyType	var kABRealPropertyType: Int { get }
c:@Ea@kABInvalidPropertyType@kABStringPropertyType	swift.var	kABStringPropertyType	kABStringPropertyType	var kABStringPropertyType: Int { get }
c:@Ea@kABOperationNotPermittedByStoreError@kABOperationNotPermittedByStoreError	swift.var	kABOperationNotPermittedByStoreError	kABOperationNotPermittedByStoreError	var kABOperationNotPermittedByStoreError: Int { get }
c:@Ea@kABOperationNotPermittedByStoreError@kABOperationNotPermittedByUserError	swift.var	kABOperationNotPermittedByUserError	kABOperationNotPermittedByUserError	var kABOperationNotPermittedByUserError: Int { get }
c:@Ea@kABPersonCompositeNameFormatFirstNameFirst@kABPersonCompositeNameFormatFirstNameFirst	swift.var	kABPersonCompositeNameFormatFirstNameFirst	kABPersonCompositeNameFormatFirstNameFirst	var kABPersonCompositeNameFormatFirstNameFirst: Int { get }
c:@Ea@kABPersonCompositeNameFormatFirstNameFirst@kABPersonCompositeNameFormatLastNameFirst	swift.var	kABPersonCompositeNameFormatLastNameFirst	kABPersonCompositeNameFormatLastNameFirst	var kABPersonCompositeNameFormatLastNameFirst: Int { get }
c:@Ea@kABPersonSortByFirstName@kABPersonSortByFirstName	swift.var	kABPersonSortByFirstName	kABPersonSortByFirstName	var kABPersonSortByFirstName: Int { get }
c:@Ea@kABPersonSortByFirstName@kABPersonSortByLastName	swift.var	kABPersonSortByLastName	kABPersonSortByLastName	var kABPersonSortByLastName: Int { get }
c:@Ea@kABPersonType@kABGroupType	swift.var	kABGroupType	kABGroupType	var kABGroupType: Int { get }
c:@Ea@kABPersonType@kABPersonType	swift.var	kABPersonType	kABPersonType	var kABPersonType: Int { get }
c:@Ea@kABPersonType@kABSourceType	swift.var	kABSourceType	kABSourceType	var kABSourceType: Int { get }
c:@Ea@kABSourceTypeLocal@kABSourceTypeCardDAV	swift.var	kABSourceTypeCardDAV	kABSourceTypeCardDAV	var kABSourceTypeCardDAV: Int { get }
c:@Ea@kABSourceTypeLocal@kABSourceTypeCardDAVSearch	swift.var	kABSourceTypeCardDAVSearch	kABSourceTypeCardDAVSearch	var kABSourceTypeCardDAVSearch: Int { get }
c:@Ea@kABSourceTypeLocal@kABSourceTypeExchange	swift.var	kABSourceTypeExchange	kABSourceTypeExchange	var kABSourceTypeExchange: Int { get }
c:@Ea@kABSourceTypeLocal@kABSourceTypeExchangeGAL	swift.var	kABSourceTypeExchangeGAL	kABSourceTypeExchangeGAL	var kABSourceTypeExchangeGAL: Int { get }
c:@Ea@kABSourceTypeLocal@kABSourceTypeLDAP	swift.var	kABSourceTypeLDAP	kABSourceTypeLDAP	var kABSourceTypeLDAP: Int { get }
c:@Ea@kABSourceTypeLocal@kABSourceTypeLocal	swift.var	kABSourceTypeLocal	kABSourceTypeLocal	var kABSourceTypeLocal: Int { get }
c:@Ea@kABSourceTypeLocal@kABSourceTypeMobileMe	swift.var	kABSourceTypeMobileMe	kABSourceTypeMobileMe	var kABSourceTypeMobileMe: Int { get }
c:@F@ABAddressBookAddRecord	swift.func	ABAddressBookAddRecord(_:_:_:)	ABAddressBookAddRecord(_:_:_:)	func ABAddressBookAddRecord(_ addressBook: ABAddressBook!, _ record: ABRecord!, _ error: UnsafeMutablePointer<Unmanaged<CFError>?>!) -> Bool
