precise	status	evidence	notes
c:@AAAttributionErrorDomain	implemented	test:full/adservices/tests/agent/AdServicesTests.swift#testAttributionErrorDomain	Oracle domain string com.apple.ap.adservices.attributionError.
c:@E@AAAttributionErrorCode	implemented	test:full/adservices/tests/agent/AdServicesTests.swift#testAttributionErrorCodes	Int enum Code; macios/oracle raw values 1/2/3.
c:@E@AAAttributionErrorCode@AAAttributionErrorCodeInternalError	implemented	test:full/adservices/tests/agent/AdServicesTests.swift#testAttributionErrorCodes	Case internalError raw 2.
c:@E@AAAttributionErrorCode@AAAttributionErrorCodeNetworkError	implemented	test:full/adservices/tests/agent/AdServicesTests.swift#testAttributionErrorCodes	Case networkError raw 1.
c:@E@AAAttributionErrorCode@AAAttributionErrorCodePlatformNotSupported	implemented	test:full/adservices/tests/agent/AdServicesTests.swift#testAttributionErrorCodes	Case platformNotSupported raw 3; fail-closed token path.
c:objc(cs)AAAttribution	implemented	test:full/adservices/tests/agent/AdServicesTests.swift#testAttributionClassIdentity	open NSObject subclass. No fabricated token.
c:objc(cs)AAAttribution(cm)attributionTokenWithError:	implemented	test:full/adservices/tests/agent/AdServicesTests.swift#testAttributionTokenFailClosed	Throws platformNotSupported. Never returns a token.
s:10Foundation13CustomNSErrorPAAE11errorDomainSSvpZ::SYNTHESIZED::c:@E@AAAttributionErrorCode	implemented	test:full/adservices/tests/agent/AdServicesTests.swift#testAttributionErrorDomain	CustomNSError.errorDomain equals AAAttributionErrorDomain.
s:10Foundation13CustomNSErrorPAAE13errorUserInfoSDySSypGvp::SYNTHESIZED::c:@E@AAAttributionErrorCode	implemented	test:full/adservices/tests/agent/AdServicesTests.swift#testAttributionErrorEqualityAndHash	CustomNSError.errorUserInfo mirrors stored userInfo.
s:10Foundation13CustomNSErrorPAAE9errorCodeSivp::SYNTHESIZED::c:@E@AAAttributionErrorCode	implemented	test:full/adservices/tests/agent/AdServicesTests.swift#testAttributionErrorEqualityAndHash	CustomNSError.errorCode is the enum raw value.
s:10Foundation18_ErrorCodeProtocolPAAE2teoiySbx_s0B0_ptFZ::SYNTHESIZED::c:@E@AAAttributionErrorCode	implemented	test:full/adservices/tests/agent/AdServicesTests.swift#testAttributionErrorPatternMatch	Code ~= Error pattern match via _ErrorCodeProtocol.
s:10Foundation21_BridgedStoredNSErrorPAAE13errorUserInfoSDySSypGvp::SYNTHESIZED::c:@E@AAAttributionErrorCode	implemented	test:full/adservices/tests/agent/AdServicesTests.swift#testAttributionErrorEqualityAndHash	_BridgedStoredNSError.errorUserInfo.
