precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@AAAttributionErrorDomain	swift.var	["AAAttributionErrorDomain"]	unmatched	none	0	0		[]
c:@E@AAAttributionErrorCode	swift.enum	["AAAttributionError","Code"]	exact-usr	exact-usr	3	1	/ABIRoot/children/1/children/3	["/ABIRoot/children/1","/ABIRoot/children/1/children/3","/ABIRoot/children/1/children/3/children/3"]
c:@E@AAAttributionErrorCode@AAAttributionErrorCodeInternalError	swift.enum.case	["AAAttributionError","Code","internalError"]	exact-usr	exact-usr	2	1	/ABIRoot/children/1/children/3/children/5	["/ABIRoot/children/1/children/3/children/5","/ABIRoot/children/1/children/5"]
c:@E@AAAttributionErrorCode@AAAttributionErrorCodeNetworkError	swift.enum.case	["AAAttributionError","Code","networkError"]	exact-usr	exact-usr	2	1	/ABIRoot/children/1/children/3/children/4	["/ABIRoot/children/1/children/3/children/4","/ABIRoot/children/1/children/4"]
c:@E@AAAttributionErrorCode@AAAttributionErrorCodePlatformNotSupported	swift.enum.case	["AAAttributionError","Code","platformNotSupported"]	exact-usr	exact-usr	2	1	/ABIRoot/children/1/children/3/children/6	["/ABIRoot/children/1/children/3/children/6","/ABIRoot/children/1/children/6"]
c:objc(cs)AAAttribution	swift.class	["AAAttribution"]	import-name	exported-import-name	1	1	/ABIRoot/children/0	["/ABIRoot/children/0"]
c:objc(cs)AAAttribution(cm)attributionTokenWithError:	swift.type.method	["AAAttribution","attributionToken()"]	unmatched	none	0	0		[]
s:10Foundation13CustomNSErrorPAAE11errorDomainSSvpZ::SYNTHESIZED::c:@E@AAAttributionErrorCode	swift.type.property	["AAAttributionError","errorDomain"]	unmatched	none	0	0		[]
s:10Foundation13CustomNSErrorPAAE13errorUserInfoSDySSypGvp::SYNTHESIZED::c:@E@AAAttributionErrorCode	swift.property	["AAAttributionError","errorUserInfo"]	unmatched	none	0	0		[]
s:10Foundation13CustomNSErrorPAAE9errorCodeSivp::SYNTHESIZED::c:@E@AAAttributionErrorCode	swift.property	["AAAttributionError","errorCode"]	unmatched	none	0	0		[]
s:10Foundation18_ErrorCodeProtocolPAAE2teoiySbx_s0B0_ptFZ::SYNTHESIZED::c:@E@AAAttributionErrorCode	swift.func.op	["AAAttributionError","Code","~=(_:_:)"]	unmatched	none	0	0		[]
s:10Foundation21_BridgedStoredNSErrorPAAE13errorUserInfoSDySSypGvp::SYNTHESIZED::c:@E@AAAttributionErrorCode	swift.property	["AAAttributionError","errorUserInfo"]	unmatched	none	0	0		[]
s:10Foundation21_BridgedStoredNSErrorPAAE2eeoiySbx_xtFZ::SYNTHESIZED::c:@E@AAAttributionErrorCode	swift.func.op	["AAAttributionError","==(_:_:)"]	unmatched	none	0	0		[]
s:10Foundation21_BridgedStoredNSErrorPAAE4code4CodeQzvp::SYNTHESIZED::c:@E@AAAttributionErrorCode	swift.property	["AAAttributionError","code"]	unmatched	none	0	0		[]
s:10Foundation21_BridgedStoredNSErrorPAAE4hash4intoys6HasherVz_tF::SYNTHESIZED::c:@E@AAAttributionErrorCode	swift.method	["AAAttributionError","hash(into:)"]	unmatched	none	0	0		[]
s:10Foundation21_BridgedStoredNSErrorPAAE8userInfoSDySSypGvp::SYNTHESIZED::c:@E@AAAttributionErrorCode	swift.property	["AAAttributionError","userInfo"]	unmatched	none	0	0		[]
