precise	status	evidence	notes
s:8AlarmKit0A0V	implemented	test:full/alarmkit/tests/agent/AlarmKitValueTests.swift#testAlarmDecodeEncode	Codable Alarm record
s:8AlarmKit0A0V17CountdownDurationV	implemented	test:full/alarmkit/tests/agent/AlarmKitCountdownTests.swift#testCountdownDurationInitAndProperties	init and stored properties
s:8AlarmKit0A0V17CountdownDurationV2eeoiySbAE_AEtFZ	implemented	test:full/alarmkit/tests/agent/AlarmKitCountdownTests.swift#testCountdownDurationEquatable	Equatable
s:8AlarmKit0A0V17CountdownDurationV4fromAEs7Decoder_p_tKcfc	implemented	test:full/alarmkit/tests/agent/AlarmKitCountdownTests.swift#testCountdownDurationCodable	JSON round-trip
s:8AlarmKit0A0V17CountdownDurationV6encode2toys7Encoder_p_tKF	implemented	test:full/alarmkit/tests/agent/AlarmKitCountdownTests.swift#testCountdownDurationCodable	JSON round-trip
s:8AlarmKit0A0V17CountdownDurationV8preAlert04postF0AESdSg_AHtcfc	implemented	test:full/alarmkit/tests/agent/AlarmKitCountdownTests.swift#testCountdownDurationInitAndProperties	init and stored properties
s:8AlarmKit0A0V17CountdownDurationV8preAlertSdSgvp	implemented	test:full/alarmkit/tests/agent/AlarmKitCountdownTests.swift#testCountdownDurationInitAndProperties	init and stored properties
s:8AlarmKit0A0V17CountdownDurationV9postAlertSdSgvp	implemented	test:full/alarmkit/tests/agent/AlarmKitCountdownTests.swift#testCountdownDurationInitAndProperties	init and stored properties
s:8AlarmKit0A0V17countdownDurationAC09CountdownD0VSgvp	implemented	test:full/alarmkit/tests/agent/AlarmKitValueTests.swift#testAlarmDecodeEncode	Codable Alarm record
s:8AlarmKit0A0V2IDa	implemented	test:full/alarmkit/tests/agent/AlarmKitValueTests.swift#testAlarmIDTypealias	typealias ID = UUID
s:8AlarmKit0A0V2id10Foundation4UUIDVvp	implemented	test:full/alarmkit/tests/agent/AlarmKitValueTests.swift#testAlarmDecodeEncode	Codable Alarm record
s:8AlarmKit0A0V4fromACs7Decoder_p_tKcfc	implemented	test:full/alarmkit/tests/agent/AlarmKitValueTests.swift#testAlarmDecodeEncode	Codable Alarm record
s:8AlarmKit0A0V5StateO	implemented	test:full/alarmkit/tests/agent/AlarmKitStateTests.swift#testAlarmStateCases	table-driven state cases
s:8AlarmKit0A0V5StateO2eeoiySbAE_AEtFZ	implemented	test:full/alarmkit/tests/agent/AlarmKitStateTests.swift#testAlarmStateEquatableHashable	Equatable/Hashable
s:8AlarmKit0A0V5StateO4fromAEs7Decoder_p_tKcfc	implemented	test:full/alarmkit/tests/agent/AlarmKitStateTests.swift#testAlarmStateCodable	JSON round-trip
s:8AlarmKit0A0V5StateO4hash4intoys6HasherVz_tF	implemented	test:full/alarmkit/tests/agent/AlarmKitStateTests.swift#testAlarmStateEquatableHashable	Equatable/Hashable
s:8AlarmKit0A0V5StateO6encode2toys7Encoder_p_tKF	implemented	test:full/alarmkit/tests/agent/AlarmKitStateTests.swift#testAlarmStateCodable	JSON round-trip
s:8AlarmKit0A0V5StateO6pausedyA2EmF	implemented	test:full/alarmkit/tests/agent/AlarmKitStateTests.swift#testAlarmStateCases	table-driven state cases
s:8AlarmKit0A0V5StateO8alertingyA2EmF	implemented	test:full/alarmkit/tests/agent/AlarmKitStateTests.swift#testAlarmStateCases	table-driven state cases
s:8AlarmKit0A0V5StateO9countdownyA2EmF	implemented	test:full/alarmkit/tests/agent/AlarmKitStateTests.swift#testAlarmStateCases	table-driven state cases
s:8AlarmKit0A0V5StateO9hashValueSivp	implemented	test:full/alarmkit/tests/agent/AlarmKitStateTests.swift#testAlarmStateEquatableHashable	Equatable/Hashable
s:8AlarmKit0A0V5StateO9scheduledyA2EmF	implemented	test:full/alarmkit/tests/agent/AlarmKitStateTests.swift#testAlarmStateCases	table-driven state cases
s:8AlarmKit0A0V5stateAC5StateOvp	implemented	test:full/alarmkit/tests/agent/AlarmKitValueTests.swift#testAlarmDecodeEncode	Codable Alarm record
s:8AlarmKit0A0V6encode2toys7Encoder_p_tKF	implemented	test:full/alarmkit/tests/agent/AlarmKitValueTests.swift#testAlarmDecodeEncode	Codable Alarm record
s:8AlarmKit0A0V8ScheduleO	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleFixedAndRelativeCases	fixed vs relative
s:8AlarmKit0A0V8ScheduleO2eeoiySbAE_AEtFZ	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleFixedAndRelativeCases	fixed vs relative
s:8AlarmKit0A0V8ScheduleO4fromAEs7Decoder_p_tKcfc	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleCodable	JSON round-trip
s:8AlarmKit0A0V8ScheduleO4hash4intoys6HasherVz_tF	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleFixedAndRelativeCases	fixed vs relative
s:8AlarmKit0A0V8ScheduleO5fixedyAE10Foundation4DateVcAEmF	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleFixedAndRelativeCases	fixed vs relative
s:8AlarmKit0A0V8ScheduleO6encode2toys7Encoder_p_tKF	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleCodable	JSON round-trip
s:8AlarmKit0A0V8ScheduleO8RelativeV	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRelativeInit	time/repeats
s:8AlarmKit0A0V8ScheduleO8RelativeV10RecurrenceO	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRecurrenceCases	table-driven never/weekly
s:8AlarmKit0A0V8ScheduleO8RelativeV10RecurrenceO2eeoiySbAI_AItFZ	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRecurrenceCases	table-driven never/weekly
s:8AlarmKit0A0V8ScheduleO8RelativeV10RecurrenceO4fromAIs7Decoder_p_tKcfc	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRecurrenceCodable	JSON round-trip
s:8AlarmKit0A0V8ScheduleO8RelativeV10RecurrenceO4hash4intoys6HasherVz_tF	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRecurrenceCases	table-driven never/weekly
s:8AlarmKit0A0V8ScheduleO8RelativeV10RecurrenceO5neveryA2ImF	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRecurrenceCases	table-driven never/weekly
s:8AlarmKit0A0V8ScheduleO8RelativeV10RecurrenceO6encode2toys7Encoder_p_tKF	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRecurrenceCodable	JSON round-trip
s:8AlarmKit0A0V8ScheduleO8RelativeV10RecurrenceO6weeklyyAISay10Foundation6LocaleV7WeekdayOGcAImF	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRecurrenceCases	table-driven never/weekly
s:8AlarmKit0A0V8ScheduleO8RelativeV10RecurrenceO9hashValueSivp	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRecurrenceCases	table-driven never/weekly
s:8AlarmKit0A0V8ScheduleO8RelativeV2eeoiySbAG_AGtFZ	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRelativeInit	time/repeats
s:8AlarmKit0A0V8ScheduleO8RelativeV4TimeV	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRelativeTime	hour/minute identity
s:8AlarmKit0A0V8ScheduleO8RelativeV4TimeV2eeoiySbAI_AItFZ	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRelativeTime	hour/minute identity
s:8AlarmKit0A0V8ScheduleO8RelativeV4TimeV4fromAIs7Decoder_p_tKcfc	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRelativeTimeCodable	JSON round-trip
s:8AlarmKit0A0V8ScheduleO8RelativeV4TimeV4hash4intoys6HasherVz_tF	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRelativeTime	hour/minute identity
s:8AlarmKit0A0V8ScheduleO8RelativeV4TimeV4hour6minuteAISi_Sitcfc	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRelativeTime	hour/minute identity
s:8AlarmKit0A0V8ScheduleO8RelativeV4TimeV4hourSivp	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRelativeTime	hour/minute identity
s:8AlarmKit0A0V8ScheduleO8RelativeV4TimeV6encode2toys7Encoder_p_tKF	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRelativeTimeCodable	JSON round-trip
s:8AlarmKit0A0V8ScheduleO8RelativeV4TimeV6minuteSivp	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRelativeTime	hour/minute identity
s:8AlarmKit0A0V8ScheduleO8RelativeV4TimeV9hashValueSivp	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRelativeTime	hour/minute identity
s:8AlarmKit0A0V8ScheduleO8RelativeV4fromAGs7Decoder_p_tKcfc	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRelativeCodable	JSON round-trip
s:8AlarmKit0A0V8ScheduleO8RelativeV4hash4intoys6HasherVz_tF	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRelativeInit	time/repeats
s:8AlarmKit0A0V8ScheduleO8RelativeV4time7repeatsA2G4TimeV_AG10RecurrenceOtcfc	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRelativeInit	time/repeats
s:8AlarmKit0A0V8ScheduleO8RelativeV4timeAG4TimeVvp	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRelativeInit	time/repeats
s:8AlarmKit0A0V8ScheduleO8RelativeV6encode2toys7Encoder_p_tKF	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRelativeCodable	JSON round-trip
s:8AlarmKit0A0V8ScheduleO8RelativeV7repeatsAG10RecurrenceOvp	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRelativeInit	time/repeats
s:8AlarmKit0A0V8ScheduleO8RelativeV9hashValueSivp	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleRelativeInit	time/repeats
s:8AlarmKit0A0V8ScheduleO8relativeyA2E8RelativeVcAEmF	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleFixedAndRelativeCases	fixed vs relative
s:8AlarmKit0A0V8ScheduleO9hashValueSivp	implemented	test:full/alarmkit/tests/agent/AlarmKitScheduleTests.swift#testScheduleFixedAndRelativeCases	fixed vs relative
s:8AlarmKit0A0V8scheduleAC8ScheduleOSgvp	implemented	test:full/alarmkit/tests/agent/AlarmKitValueTests.swift#testAlarmDecodeEncode	Codable Alarm record
s:8AlarmKit0A10AttributesV	implemented	test:full/alarmkit/tests/agent/AlarmKitAttributesTests.swift#testAlarmAttributesInitAndContentState	presentation/metadata/tint
s:8AlarmKit0A10AttributesV12ContentStatea	implemented	test:full/alarmkit/tests/agent/AlarmKitAttributesTests.swift#testAlarmAttributesInitAndContentState	ContentState alias
s:8AlarmKit0A10AttributesV12presentation8metadata9tintColorACyxGAA0A12PresentationV_xSg7SwiftUI0G0Vtcfc	implemented	test:full/alarmkit/tests/agent/AlarmKitAttributesTests.swift#testAlarmAttributesInitAndContentState	presentation/metadata/tint
s:8AlarmKit0A10AttributesV12presentationAA0A12PresentationVvp	implemented	test:full/alarmkit/tests/agent/AlarmKitAttributesTests.swift#testAlarmAttributesInitAndContentState	presentation/metadata/tint
s:8AlarmKit0A10AttributesV4fromACyxGs7Decoder_p_tKcfc	implemented	test:full/alarmkit/tests/agent/AlarmKitAttributesTests.swift#testAlarmAttributesCodable	JSON round-trip
s:8AlarmKit0A10AttributesV6encode2toys7Encoder_p_tKF	implemented	test:full/alarmkit/tests/agent/AlarmKitAttributesTests.swift#testAlarmAttributesCodable	JSON round-trip
s:8AlarmKit0A10AttributesV8metadataxSgvp	implemented	test:full/alarmkit/tests/agent/AlarmKitAttributesTests.swift#testAlarmAttributesInitAndContentState	presentation/metadata/tint
