precise	kind	title	path	declaration
s:8AlarmKit0A0V	swift.struct	Alarm	Alarm	struct Alarm
s:8AlarmKit0A0V17CountdownDurationV	swift.struct	Alarm.CountdownDuration	Alarm.CountdownDuration	struct CountdownDuration
s:8AlarmKit0A0V17CountdownDurationV2eeoiySbAE_AEtFZ	swift.func.op	==(_:_:)	Alarm.CountdownDuration.==(_:_:)	static func == (a: Alarm.CountdownDuration, b: Alarm.CountdownDuration) -> Bool
s:8AlarmKit0A0V17CountdownDurationV4fromAEs7Decoder_p_tKcfc	swift.init	init(from:)	Alarm.CountdownDuration.init(from:)	init(from decoder: any Decoder) throws
s:8AlarmKit0A0V17CountdownDurationV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	Alarm.CountdownDuration.encode(to:)	func encode(to encoder: any Encoder) throws
s:8AlarmKit0A0V17CountdownDurationV8preAlert04postF0AESdSg_AHtcfc	swift.init	init(preAlert:postAlert:)	Alarm.CountdownDuration.init(preAlert:postAlert:)	init(preAlert: TimeInterval?, postAlert: TimeInterval?)
s:8AlarmKit0A0V17CountdownDurationV8preAlertSdSgvp	swift.property	preAlert	Alarm.CountdownDuration.preAlert	var preAlert: TimeInterval?
s:8AlarmKit0A0V17CountdownDurationV9postAlertSdSgvp	swift.property	postAlert	Alarm.CountdownDuration.postAlert	var postAlert: TimeInterval?
s:8AlarmKit0A0V17countdownDurationAC09CountdownD0VSgvp	swift.property	countdownDuration	Alarm.countdownDuration	var countdownDuration: Alarm.CountdownDuration?
s:8AlarmKit0A0V2IDa	swift.typealias	Alarm.ID	Alarm.ID	typealias ID = UUID
s:8AlarmKit0A0V2id10Foundation4UUIDVvp	swift.property	id	Alarm.id	var id: UUID
s:8AlarmKit0A0V4fromACs7Decoder_p_tKcfc	swift.init	init(from:)	Alarm.init(from:)	init(from decoder: any Decoder) throws
s:8AlarmKit0A0V5StateO	swift.enum	Alarm.State	Alarm.State	enum State
s:8AlarmKit0A0V5StateO2eeoiySbAE_AEtFZ	swift.func.op	==(_:_:)	Alarm.State.==(_:_:)	static func == (a: Alarm.State, b: Alarm.State) -> Bool
s:8AlarmKit0A0V5StateO4fromAEs7Decoder_p_tKcfc	swift.init	init(from:)	Alarm.State.init(from:)	init(from decoder: any Decoder) throws
s:8AlarmKit0A0V5StateO4hash4intoys6HasherVz_tF	swift.method	hash(into:)	Alarm.State.hash(into:)	func hash(into hasher: inout Hasher)
s:8AlarmKit0A0V5StateO6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	Alarm.State.encode(to:)	func encode(to encoder: any Encoder) throws
s:8AlarmKit0A0V5StateO6pausedyA2EmF	swift.enum.case	Alarm.State.paused	Alarm.State.paused	case paused
s:8AlarmKit0A0V5StateO8alertingyA2EmF	swift.enum.case	Alarm.State.alerting	Alarm.State.alerting	case alerting
s:8AlarmKit0A0V5StateO9countdownyA2EmF	swift.enum.case	Alarm.State.countdown	Alarm.State.countdown	case countdown
s:8AlarmKit0A0V5StateO9hashValueSivp	swift.property	hashValue	Alarm.State.hashValue	var hashValue: Int { get }
s:8AlarmKit0A0V5StateO9scheduledyA2EmF	swift.enum.case	Alarm.State.scheduled	Alarm.State.scheduled	case scheduled
s:8AlarmKit0A0V5stateAC5StateOvp	swift.property	state	Alarm.state	var state: Alarm.State
