precise	status	evidence	notes
c:@APActivationPayloadErrorDomain	implemented	test:full/appclip/tests/agent/AppClipErrorTests.swift#testErrorDomainConstant	macios ErrorDomain string APActivationPayloadErrorDomain.
c:@E@APActivationPayloadErrorCode	implemented	test:full/appclip/tests/agent/AppClipErrorTests.swift#testErrorCodeRawValues	Int enum Code; macios raw values 1/2.
c:@E@APActivationPayloadErrorCode@APActivationPayloadErrorCodeDisallowed	implemented	test:full/appclip/tests/agent/AppClipErrorTests.swift#testErrorCodeRawValues	Case disallowed raw 1.
c:@E@APActivationPayloadErrorCode@APActivationPayloadErrorCodeDoesNotMatch	implemented	test:full/appclip/tests/agent/AppClipErrorTests.swift#testErrorCodeRawValues	Case doesNotMatch raw 2.
c:objc(cs)APActivationPayload	implemented	test:full/appclip/tests/agent/AppClipPayloadTests.swift#testPayloadClassIdentity	open NSObject subclass. Empty host payload only.
c:objc(cs)APActivationPayload(im)confirmAcquiredInRegion:completionHandler:	unavailable		CoreLocation.CLRegion is not a declared dependency; a module-local lookalike is forbidden.
c:objc(cs)APActivationPayload(py)URL	implemented	test:full/appclip/tests/agent/AppClipPayloadTests.swift#testPayloadURLIsNil	Always nil; Linux has no App Clip invocation URL.
c:objc(cs)NSUserActivity(py)appClipActivationPayload	unavailable		Linux Foundation does not provide NSUserActivity; a module-local lookalike is forbidden.
c:objc(pl)NSCoding(im)initWithCoder:::SYNTHESIZED::c:objc(cs)APActivationPayload	implemented	test:full/appclip/tests/agent/AppClipPayloadTests.swift#testPayloadInitCoderFailClosed	Fail-closed; Apple archive keys are unobserved.
s:10Foundation13CustomNSErrorPAAE11errorDomainSSvpZ::SYNTHESIZED::c:@E@APActivationPayloadErrorCode	implemented	test:full/appclip/tests/agent/AppClipErrorTests.swift#testCustomNSErrorDomain	CustomNSError.errorDomain equals APActivationPayloadErrorDomain.
