precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@M@_AppIntents_UIKit@objc(cs)ShortcutsUIButton	swift.class	["ShortcutsUIButton"]	unmatched	none	0	0		[]
c:@M@_AppIntents_UIKit@objc(cs)ShortcutsUIButton(im)addTarget:action:forControlEvents:	swift.method	["ShortcutsUIButton","addTarget(_:action:for:)"]	unmatched	none	0	0		[]
c:@M@_AppIntents_UIKit@objc(cs)ShortcutsUIButton(im)sizeThatFits:	swift.method	["ShortcutsUIButton","sizeThatFits(_:)"]	unmatched	none	0	0		[]
c:@M@_AppIntents_UIKit@objc(cs)SiriTipUIView	swift.class	["SiriTipUIView"]	unmatched	none	0	0		[]
c:@M@_AppIntents_UIKit@objc(cs)SiriTipUIView(im)didMoveToWindow	swift.method	["SiriTipUIView","didMoveToWindow()"]	unmatched	none	0	0		[]
c:@M@_AppIntents_UIKit@objc(cs)SiriTipUIView(im)sizeThatFits:	swift.method	["SiriTipUIView","sizeThatFits(_:)"]	unmatched	none	0	0		[]
c:@M@_AppIntents_UIKit@objc(cs)SiriTipUIView(py)intrinsicContentSize	swift.property	["SiriTipUIView","intrinsicContentSize"]	unmatched	none	0	0		[]
c:@M@_AppIntents_UIKit@objc(cs)SiriTipUIView(py)isPresented	swift.property	["SiriTipUIView","isPresented"]	unmatched	none	0	0		[]
s:10AppIntents010DeprecatedA6IntentP	swift.protocol	["DeprecatedAppIntent"]	exact-usr	exact-usr	1	1	/ABIRoot/children/160	["/ABIRoot/children/160"]
s:10AppIntents010DeprecatedA6IntentP011ReplacementD0Qa	swift.associatedtype	["DeprecatedAppIntent","ReplacementIntent"]	exact-usr	exact-usr	1	1	/ABIRoot/children/160/children/0	["/ABIRoot/children/160/children/0"]
s:10AppIntents010DeprecatedA6IntentP11deprecationAA0D11DeprecationVy011ReplacementD0QzGvpZ	swift.type.property	["DeprecatedAppIntent","deprecation"]	exact-usr	exact-usr	1	1	/ABIRoot/children/160/children/1	["/ABIRoot/children/160/children/1"]
s:10AppIntents010DeprecatedA6IntentPAAE11deprecationAA0D11DeprecationVys5NeverOGvpZ	swift.type.property	["DeprecatedAppIntent","deprecation"]	exact-usr	exact-usr	1	1	/ABIRoot/children/160/children/2	["/ABIRoot/children/160/children/2"]
s:10AppIntents011FocusFilterA7ContextV	swift.struct	["FocusFilterAppContext"]	exact-usr	exact-usr	1	1	/ABIRoot/children/172	["/ABIRoot/children/172"]
s:10AppIntents011FocusFilterA7ContextV012notificationD9Predicate29targetContentIdentifierPrefixACSo11NSPredicateCSg_SSSgtcfc	swift.init	["FocusFilterAppContext","init(notificationFilterPredicate:targetContentIdentifierPrefix:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/172/children/3	["/ABIRoot/children/172/children/3"]
s:10AppIntents011FocusFilterA7ContextV012notificationD9PredicateACSo11NSPredicateCSg_tcfc	swift.init	["FocusFilterAppContext","init(notificationFilterPredicate:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/172/children/2	["/ABIRoot/children/172/children/2"]
s:10AppIntents011FocusFilterA7ContextV012notificationD9PredicateSo11NSPredicateCSgvp	swift.property	["FocusFilterAppContext","notificationFilterPredicate"]	exact-usr	exact-usr	1	1	/ABIRoot/children/172/children/0	["/ABIRoot/children/172/children/0"]
s:10AppIntents011FocusFilterA7ContextV29targetContentIdentifierPrefixSSSgvp	swift.property	["FocusFilterAppContext","targetContentIdentifierPrefix"]	exact-usr	exact-usr	1	1	/ABIRoot/children/172/children/1	["/ABIRoot/children/172/children/1"]
s:10AppIntents020AttributedStringFromD8ResolverV	swift.struct	["AttributedStringFromStringResolver"]	exact-usr	exact-usr	1	1	/ABIRoot/children/66	["/ABIRoot/children/66"]
s:10AppIntents020AttributedStringFromD8ResolverV2eeoiySbAC_ACtFZ	swift.func.op	["AttributedStringFromStringResolver","==(_:_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/66/children/1	["/ABIRoot/children/66/children/1"]
s:10AppIntents020AttributedStringFromD8ResolverV4hash4intoys6HasherVz_tF	swift.method	["AttributedStringFromStringResolver","hash(into:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/66/children/4	["/ABIRoot/children/66/children/4"]
s:10AppIntents020AttributedStringFromD8ResolverV5Inputa	swift.typealias	["AttributedStringFromStringResolver","Input"]	exact-usr	exact-usr	1	1	/ABIRoot/children/66/children/2	["/ABIRoot/children/66/children/2"]
s:10AppIntents020AttributedStringFromD8ResolverV6Outputa	swift.typealias	["AttributedStringFromStringResolver","Output"]	exact-usr	exact-usr	1	1	/ABIRoot/children/66/children/3	["/ABIRoot/children/66/children/3"]
s:10AppIntents020AttributedStringFromD8ResolverV7resolve4from7context10Foundation0cD0VSgSS_AA22IntentParameterContextVyAIGtYaKF	swift.method	["AttributedStringFromStringResolver","resolve(from:context:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/66/children/0	["/ABIRoot/children/66/children/0"]
s:10AppIntents020AttributedStringFromD8ResolverV9hashValueSivp	swift.property	["AttributedStringFromStringResolver","hashValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/66/children/5	["/ABIRoot/children/66/children/5"]
s:10AppIntents020CustomIntentMigratedaD0P	swift.protocol	["CustomIntentMigratedAppIntent"]	exact-usr	exact-usr	1	1	/ABIRoot/children/120	["/ABIRoot/children/120"]
s:10AppIntents020CustomIntentMigratedaD0P15intentClassNameSSvpZ	swift.type.property	["CustomIntentMigratedAppIntent","intentClassName"]	exact-usr	exact-usr	1	1	/ABIRoot/children/120/children/0	["/ABIRoot/children/120/children/0"]
s:10AppIntents020CustomIntentMigratedaD0PAAE20persistentIdentifierSSvpZ	swift.type.property	["CustomIntentMigratedAppIntent","persistentIdentifier"]	exact-usr	exact-usr	1	1	/ABIRoot/children/120/children/1	["/ABIRoot/children/120/children/1"]
s:10AppIntents024StringSearchCriteriaFromC25ResolverSpecificificationV	swift.struct	["StringSearchCriteriaFromStringResolverSpecificification"]	exact-usr	exact-usr	1	1	/ABIRoot/children/168	["/ABIRoot/children/168"]
s:10AppIntents024StringSearchCriteriaFromC25ResolverSpecificificationV2eeoiySbAC_ACtFZ	swift.func.op	["StringSearchCriteriaFromStringResolverSpecificification","==(_:_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/168/children/1	["/ABIRoot/children/168/children/1"]
s:10AppIntents024StringSearchCriteriaFromC25ResolverSpecificificationV4hash4intoys6HasherVz_tF	swift.method	["StringSearchCriteriaFromStringResolverSpecificification","hash(into:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/168/children/4	["/ABIRoot/children/168/children/4"]
s:10AppIntents024StringSearchCriteriaFromC25ResolverSpecificificationV5Inputa	swift.typealias	["StringSearchCriteriaFromStringResolverSpecificification","Input"]	exact-usr	exact-usr	1	1	/ABIRoot/children/168/children/2	["/ABIRoot/children/168/children/2"]
s:10AppIntents024StringSearchCriteriaFromC25ResolverSpecificificationV6Outputa	swift.typealias	["StringSearchCriteriaFromStringResolverSpecificification","Output"]	exact-usr	exact-usr	1	1	/ABIRoot/children/168/children/3	["/ABIRoot/children/168/children/3"]
s:10AppIntents024StringSearchCriteriaFromC25ResolverSpecificificationV7resolve4from7contextAA0cdE0VSgSS_AA22IntentParameterContextVyAHGtYaKF	swift.method	["StringSearchCriteriaFromStringResolverSpecificification","resolve(from:context:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/168/children/0	["/ABIRoot/children/168/children/0"]
s:10AppIntents024StringSearchCriteriaFromC25ResolverSpecificificationV9hashValueSivp	swift.property	["StringSearchCriteriaFromStringResolverSpecificification","hashValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/168/children/5	["/ABIRoot/children/168/children/5"]
s:10AppIntents06ShowInA19SearchResultsIntentP	swift.protocol	["ShowInAppSearchResultsIntent"]	exact-usr	exact-usr	1	1	/ABIRoot/children/227	["/ABIRoot/children/227"]
s:10AppIntents06ShowInA19SearchResultsIntentP12searchScopes8Criteria_0eI0QZvpZ	swift.type.property	["ShowInAppSearchResultsIntent","searchScopes"]	exact-usr	exact-usr	1	1	/ABIRoot/children/227/children/1	["/ABIRoot/children/227/children/1"]
s:10AppIntents06ShowInA19SearchResultsIntentP8CriteriaQa	swift.associatedtype	["ShowInAppSearchResultsIntent","Criteria"]	exact-usr	exact-usr	1	1	/ABIRoot/children/227/children/0	["/ABIRoot/children/227/children/0"]
s:10AppIntents06ShowInA19SearchResultsIntentP8criteria8CriteriaQzvp	swift.property	["ShowInAppSearchResultsIntent","criteria"]	exact-usr	exact-usr	1	1	/ABIRoot/children/227/children/2	["/ABIRoot/children/227/children/2"]
s:10AppIntents06ShowInA19SearchResultsIntentPA2A06StringE8CriteriaV0I0RtzrlE12searchScopesSayAA0hE5ScopeOGvpZ	swift.type.property	["ShowInAppSearchResultsIntent","searchScopes"]	exact-usr	exact-usr	1	1	/ABIRoot/children/227/children/4	["/ABIRoot/children/227/children/4"]
s:10AppIntents06ShowInA19SearchResultsIntentPAAE04openA7WhenRunSbvpZ	swift.type.property	["ShowInAppSearchResultsIntent","openAppWhenRun"]	exact-usr	exact-usr	1	1	/ABIRoot/children/227/children/5	["/ABIRoot/children/227/children/5"]
s:10AppIntents06ShowInA19SearchResultsIntentPAAyt8Criteria_0E6ScopesRTzrlE06searchI0ytvpZ	swift.type.property	["ShowInAppSearchResultsIntent","searchScopes"]	exact-usr	exact-usr	1	1	/ABIRoot/children/227/children/3	["/ABIRoot/children/227/children/3"]
s:10AppIntents06UniqueA11EntityQueryP	swift.protocol	["UniqueAppEntityQuery"]	exact-usr	exact-usr	1	1	/ABIRoot/children/22	["/ABIRoot/children/22"]
s:10AppIntents06UniqueA11EntityQueryP06uniqueD00D0QzyYaKF	swift.method	["UniqueAppEntityQuery","uniqueEntity()"]	exact-usr	exact-usr	1	1	/ABIRoot/children/22/children/1	["/ABIRoot/children/22/children/1"]
s:10AppIntents06UniqueA11EntityQueryP0C0Qa	swift.associatedtype	["UniqueAppEntityQuery","Unique"]	exact-usr	exact-usr	1	1	/ABIRoot/children/22/children/0	["/ABIRoot/children/22/children/0"]
s:10AppIntents06UniqueA11EntityQueryPAAE11allEntitiesSay0D0QzGyYaKF	swift.method	["UniqueAppEntityQuery","allEntities()"]	exact-usr	exact-usr	1	1	/ABIRoot/children/22/children/4	["/ABIRoot/children/22/children/4"]
s:10AppIntents06UniqueA11EntityQueryPAAE11allEntitiesSay0D0QzGyYaKF::SYNTHESIZED::s:10AppIntents06UniqueA14EntityProviderV	swift.method	["UniqueAppEntityProvider","allEntities()"]	unmatched	none	0	0		[]
s:10AppIntents06UniqueA11EntityQueryPAAE17suggestedEntitiesSay0D0QzGyYaKF	swift.method	["UniqueAppEntityQuery","suggestedEntities()"]	exact-usr	exact-usr	1	1	/ABIRoot/children/22/children/3	["/ABIRoot/children/22/children/3"]
s:10AppIntents06UniqueA11EntityQueryPAAE17suggestedEntitiesSay0D0QzGyYaKF::SYNTHESIZED::s:10AppIntents06UniqueA14EntityProviderV	swift.method	["UniqueAppEntityProvider","suggestedEntities()"]	unmatched	none	0	0		[]
s:10AppIntents06UniqueA11EntityQueryPAAE8entities3forSay0D0QzGSayAF_2IDQZG_tYaKF	swift.method	["UniqueAppEntityQuery","entities(for:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/22/children/2	["/ABIRoot/children/22/children/2"]
s:10AppIntents06UniqueA11EntityQueryPAAE8entities3forSay0D0QzGSayAF_2IDQZG_tYaKF::SYNTHESIZED::s:10AppIntents06UniqueA14EntityProviderV	swift.method	["UniqueAppEntityProvider","entities(for:)"]	unmatched	none	0	0		[]
s:10AppIntents06UniqueA14EntityProviderV	swift.struct	["UniqueAppEntityProvider"]	exact-usr	exact-usr	1	1	/ABIRoot/children/23	["/ABIRoot/children/23"]
s:10AppIntents06UniqueA14EntityProviderV06uniqueD0xyYaKF	swift.method	["UniqueAppEntityProvider","uniqueEntity()"]	exact-usr	exact-usr	1	1	/ABIRoot/children/23/children/2	["/ABIRoot/children/23/children/2"]
s:10AppIntents06UniqueA14EntityProviderV0C0a	swift.typealias	["UniqueAppEntityProvider","Unique"]	exact-usr	exact-usr	1	1	/ABIRoot/children/23/children/5	["/ABIRoot/children/23/children/5"]
s:10AppIntents06UniqueA14EntityProviderV12DefaultValuea	swift.typealias	["UniqueAppEntityProvider","DefaultValue"]	exact-usr	exact-usr	1	1	/ABIRoot/children/23/children/3	["/ABIRoot/children/23/children/3"]
s:10AppIntents06UniqueA14EntityProviderV6Resulta	swift.typealias	["UniqueAppEntityProvider","Result"]	exact-usr	exact-usr	1	1	/ABIRoot/children/23/children/4	["/ABIRoot/children/23/children/4"]
s:10AppIntents06UniqueA14EntityProviderVACyxGycfc	swift.init	["UniqueAppEntityProvider","init()"]	exact-usr	exact-usr	1	1	/ABIRoot/children/23/children/0	["/ABIRoot/children/23/children/0"]
s:10AppIntents06UniqueA14EntityProviderVyACyxGxyYaYbKccfc	swift.init	["UniqueAppEntityProvider","init(_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/23/children/1	["/ABIRoot/children/23/children/1"]
s:10AppIntents06UniqueA6EntityP	swift.protocol	["UniqueAppEntity"]	exact-usr	exact-usr	1	1	/ABIRoot/children/21	["/ABIRoot/children/21"]
s:10AppIntents06UniqueA6EntityPAAE21displayRepresentationAA07DisplayF0Vvp	swift.property	["UniqueAppEntity","displayRepresentation"]	exact-usr	exact-usr	1	1	/ABIRoot/children/21/children/0	["/ABIRoot/children/21/children/0"]
s:10AppIntents06UniqueA6EntityPAASS2IDRtzrlE2idSSvp	swift.property	["UniqueAppEntity","id"]	exact-usr	exact-usr	1	1	/ABIRoot/children/21/children/1	["/ABIRoot/children/21/children/1"]
