precise	kind	title	path	declaration
c:@M@_AppIntents_UIKit@objc(cs)ShortcutsUIButton	swift.class	ShortcutsUIButton	ShortcutsUIButton	@MainActor @objc @preconcurrency final class ShortcutsUIButton
c:@M@_AppIntents_UIKit@objc(cs)ShortcutsUIButton(im)addTarget:action:forControlEvents:	swift.method	addTarget(_:action:for:)	ShortcutsUIButton.addTarget(_:action:for:)	@MainActor @preconcurrency override final func addTarget(_ target: Any?, action: Selector, for controlEvents: UIControl.Event)
c:@M@_AppIntents_UIKit@objc(cs)ShortcutsUIButton(im)sizeThatFits:	swift.method	sizeThatFits(_:)	ShortcutsUIButton.sizeThatFits(_:)	@MainActor @preconcurrency override final func sizeThatFits(_ size: CGSize) -> CGSize
c:@M@_AppIntents_UIKit@objc(cs)SiriTipUIView	swift.class	SiriTipUIView	SiriTipUIView	@MainActor @objc @preconcurrency final class SiriTipUIView
c:@M@_AppIntents_UIKit@objc(cs)SiriTipUIView(im)didMoveToWindow	swift.method	didMoveToWindow()	SiriTipUIView.didMoveToWindow()	@MainActor @preconcurrency override final func didMoveToWindow()
c:@M@_AppIntents_UIKit@objc(cs)SiriTipUIView(im)sizeThatFits:	swift.method	sizeThatFits(_:)	SiriTipUIView.sizeThatFits(_:)	@MainActor @preconcurrency override final func sizeThatFits(_ size: CGSize) -> CGSize
c:@M@_AppIntents_UIKit@objc(cs)SiriTipUIView(py)intrinsicContentSize	swift.property	intrinsicContentSize	SiriTipUIView.intrinsicContentSize	@MainActor @preconcurrency override final var intrinsicContentSize: CGSize { get }
c:@M@_AppIntents_UIKit@objc(cs)SiriTipUIView(py)isPresented	swift.property	isPresented	SiriTipUIView.isPresented	@MainActor @objc @preconcurrency dynamic final var isPresented: Bool { get set }
s:10AppIntents010DeprecatedA6IntentP	swift.protocol	DeprecatedAppIntent	DeprecatedAppIntent	protocol DeprecatedAppIntent : AppIntent
s:10AppIntents010DeprecatedA6IntentP011ReplacementD0Qa	swift.associatedtype	ReplacementIntent	DeprecatedAppIntent.ReplacementIntent	associatedtype ReplacementIntent : AppIntent = Never
s:10AppIntents010DeprecatedA6IntentP11deprecationAA0D11DeprecationVy011ReplacementD0QzGvpZ	swift.type.property	deprecation	DeprecatedAppIntent.deprecation	static var deprecation: IntentDeprecation<Self.ReplacementIntent> { get }
s:10AppIntents010DeprecatedA6IntentPAAE11deprecationAA0D11DeprecationVys5NeverOGvpZ	swift.type.property	deprecation	DeprecatedAppIntent.deprecation	static var deprecation: IntentDeprecation<Never> { get }
s:10AppIntents011FocusFilterA7ContextV	swift.struct	FocusFilterAppContext	FocusFilterAppContext	struct FocusFilterAppContext
s:10AppIntents011FocusFilterA7ContextV012notificationD9Predicate29targetContentIdentifierPrefixACSo11NSPredicateCSg_SSSgtcfc	swift.init	init(notificationFilterPredicate:targetContentIdentifierPrefix:)	FocusFilterAppContext.init(notificationFilterPredicate:targetContentIdentifierPrefix:)	init(notificationFilterPredicate: NSPredicate? = nil, targetContentIdentifierPrefix: String? = nil)
s:10AppIntents011FocusFilterA7ContextV012notificationD9PredicateACSo11NSPredicateCSg_tcfc	swift.init	init(notificationFilterPredicate:)	FocusFilterAppContext.init(notificationFilterPredicate:)	init(notificationFilterPredicate: NSPredicate? = nil)
s:10AppIntents011FocusFilterA7ContextV012notificationD9PredicateSo11NSPredicateCSgvp	swift.property	notificationFilterPredicate	FocusFilterAppContext.notificationFilterPredicate	let notificationFilterPredicate: NSPredicate?
s:10AppIntents011FocusFilterA7ContextV29targetContentIdentifierPrefixSSSgvp	swift.property	targetContentIdentifierPrefix	FocusFilterAppContext.targetContentIdentifierPrefix	let targetContentIdentifierPrefix: String?
s:10AppIntents020AttributedStringFromD8ResolverV	swift.struct	AttributedStringFromStringResolver	AttributedStringFromStringResolver	struct AttributedStringFromStringResolver
s:10AppIntents020AttributedStringFromD8ResolverV2eeoiySbAC_ACtFZ	swift.func.op	==(_:_:)	AttributedStringFromStringResolver.==(_:_:)	static func == (a: AttributedStringFromStringResolver, b: AttributedStringFromStringResolver) -> Bool
s:10AppIntents020AttributedStringFromD8ResolverV4hash4intoys6HasherVz_tF	swift.method	hash(into:)	AttributedStringFromStringResolver.hash(into:)	func hash(into hasher: inout Hasher)
s:10AppIntents020AttributedStringFromD8ResolverV5Inputa	swift.typealias	AttributedStringFromStringResolver.Input	AttributedStringFromStringResolver.Input	typealias Input = String
s:10AppIntents020AttributedStringFromD8ResolverV6Outputa	swift.typealias	AttributedStringFromStringResolver.Output	AttributedStringFromStringResolver.Output	typealias Output = AttributedString
s:10AppIntents020AttributedStringFromD8ResolverV7resolve4from7context10Foundation0cD0VSgSS_AA22IntentParameterContextVyAIGtYaKF	swift.method	resolve(from:context:)	AttributedStringFromStringResolver.resolve(from:context:)	func resolve(from input: String, context: IntentParameterContext<AttributedString>) async throws -> AttributedString?
s:10AppIntents020AttributedStringFromD8ResolverV9hashValueSivp	swift.property	hashValue	AttributedStringFromStringResolver.hashValue	var hashValue: Int { get }
s:10AppIntents020CustomIntentMigratedaD0P	swift.protocol	CustomIntentMigratedAppIntent	CustomIntentMigratedAppIntent	protocol CustomIntentMigratedAppIntent : AppIntent
s:10AppIntents020CustomIntentMigratedaD0P15intentClassNameSSvpZ	swift.type.property	intentClassName	CustomIntentMigratedAppIntent.intentClassName	static var intentClassName: String { get }
s:10AppIntents020CustomIntentMigratedaD0PAAE20persistentIdentifierSSvpZ	swift.type.property	persistentIdentifier	CustomIntentMigratedAppIntent.persistentIdentifier	static var persistentIdentifier: String { get }
s:10AppIntents024StringSearchCriteriaFromC25ResolverSpecificificationV	swift.struct	StringSearchCriteriaFromStringResolverSpecificification	StringSearchCriteriaFromStringResolverSpecificification	struct StringSearchCriteriaFromStringResolverSpecificification
s:10AppIntents024StringSearchCriteriaFromC25ResolverSpecificificationV2eeoiySbAC_ACtFZ	swift.func.op	==(_:_:)	StringSearchCriteriaFromStringResolverSpecificification.==(_:_:)	static func == (a: StringSearchCriteriaFromStringResolverSpecificification, b: StringSearchCriteriaFromStringResolverSpecificification) -> Bool
s:10AppIntents024StringSearchCriteriaFromC25ResolverSpecificificationV4hash4intoys6HasherVz_tF	swift.method	hash(into:)	StringSearchCriteriaFromStringResolverSpecificification.hash(into:)	func hash(into hasher: inout Hasher)
s:10AppIntents024StringSearchCriteriaFromC25ResolverSpecificificationV5Inputa	swift.typealias	StringSearchCriteriaFromStringResolverSpecificification.Input	StringSearchCriteriaFromStringResolverSpecificification.Input	typealias Input = String
s:10AppIntents024StringSearchCriteriaFromC25ResolverSpecificificationV6Outputa	swift.typealias	StringSearchCriteriaFromStringResolverSpecificification.Output	StringSearchCriteriaFromStringResolverSpecificification.Output	typealias Output = StringSearchCriteria
