precise	status	evidence	notes
c:@ARBlendShapeLocationBrowDownLeft	implemented	test:full/arkit/tests/agent/ARKitBlendShapeTests.swift#testBlendShapeLocationValues	Focused Linux host assertion.
c:@ARBlendShapeLocationBrowDownRight	implemented	test:full/arkit/tests/agent/ARKitBlendShapeTests.swift#testBlendShapeLocationValues	Focused Linux host assertion.
c:@ARBlendShapeLocationBrowInnerUp	implemented	test:full/arkit/tests/agent/ARKitBlendShapeTests.swift#testBlendShapeLocationValues	Focused Linux host assertion.
c:@ARBlendShapeLocationBrowOuterUpLeft	implemented	test:full/arkit/tests/agent/ARKitBlendShapeTests.swift#testBlendShapeLocationValues	Focused Linux host assertion.
c:@ARBlendShapeLocationBrowOuterUpRight	implemented	test:full/arkit/tests/agent/ARKitBlendShapeTests.swift#testBlendShapeLocationValues	Focused Linux host assertion.
c:@ARBlendShapeLocationCheekPuff	implemented	test:full/arkit/tests/agent/ARKitBlendShapeTests.swift#testBlendShapeLocationValues	Focused Linux host assertion.
c:@ARBlendShapeLocationCheekSquintLeft	implemented	test:full/arkit/tests/agent/ARKitBlendShapeTests.swift#testBlendShapeLocationValues	Focused Linux host assertion.
c:@ARBlendShapeLocationCheekSquintRight	implemented	test:full/arkit/tests/agent/ARKitBlendShapeTests.swift#testBlendShapeLocationValues	Focused Linux host assertion.
c:@ARBlendShapeLocationEyeBlinkLeft	implemented	test:full/arkit/tests/agent/ARKitBlendShapeTests.swift#testBlendShapeLocationValues	Focused Linux host assertion.
c:@ARBlendShapeLocationEyeBlinkRight	implemented	test:full/arkit/tests/agent/ARKitBlendShapeTests.swift#testBlendShapeLocationValues	Focused Linux host assertion.
c:@ARBlendShapeLocationEyeLookDownLeft	implemented	test:full/arkit/tests/agent/ARKitBlendShapeTests.swift#testBlendShapeLocationValues	Focused Linux host assertion.
c:@ARBlendShapeLocationEyeLookDownRight	implemented	test:full/arkit/tests/agent/ARKitBlendShapeTests.swift#testBlendShapeLocationValues	Focused Linux host assertion.
c:@ARBlendShapeLocationEyeLookInLeft	implemented	test:full/arkit/tests/agent/ARKitBlendShapeTests.swift#testBlendShapeLocationValues	Focused Linux host assertion.
c:@ARBlendShapeLocationEyeLookInRight	implemented	test:full/arkit/tests/agent/ARKitBlendShapeTests.swift#testBlendShapeLocationValues	Focused Linux host assertion.
