category	sdkRelativePath	size	sha256
tbd	System/Library/Frameworks/ARKit.framework/ARKit.tbd	59811	112e8774fd5660e98fd12c4f59e782e66a9f94800f679ec332bdc14f1cff7673
header	System/Library/Frameworks/ARKit.framework/Headers/ARAnchor.h	3033	d4c41dbc892a78c8d7fb5cd70125890bca4ea66e024c6b18ac5bb1053bc949b5
header	System/Library/Frameworks/ARKit.framework/Headers/ARAppClipCodeAnchor.h	1764	5d3c8145644bf9a5a20a5c5cdd4cbf04208a79c1892c7b896e9681f35d933959
header	System/Library/Frameworks/ARKit.framework/Headers/ARBody2D.h	760	795f61f477ce8bad78783e3de6dc51d3bed18c3dd0f8b9b7d5b674639ef5c00d
header	System/Library/Frameworks/ARKit.framework/Headers/ARBodyAnchor.h	1518	02c22f63ef0f0b61735bf3cd097eea9c46bc1271d75376c7dcfc74a8e50db2ee
header	System/Library/Frameworks/ARKit.framework/Headers/ARCamera.h	5323	2c7052dcd562fe864392e222ce8b672fdc494bd401fa86cb99ed2ff884932294
header	System/Library/Frameworks/ARKit.framework/Headers/ARCoachingOverlayView.h	4729	d5240373212435dbc3324ea3f8e91412087567999a5aae5ca37de197205f219b
header	System/Library/Frameworks/ARKit.framework/Headers/ARCollaborationData.h	2004	fbd84451111722fc928e8e126478a5666cda81cac05423c8863ba67994f84bcc
header	System/Library/Frameworks/ARKit.framework/Headers/ARConfiguration.h	29813	464968605a266a549d4ce41cd0c9d43db2b55d38ea5cd72ad5cb8d03ffb3bd24
header	System/Library/Frameworks/ARKit.framework/Headers/ARDepthData.h	1229	59aef2c17b5afc7c13d2dd73e3c585ac0569c13aa5110f7d7cf017fcc5afd974
header	System/Library/Frameworks/ARKit.framework/Headers/AREnvironmentProbeAnchor.h	2193	7b6ce68796ea5556e93f06b43f257664ebeb361112edde528781ab6e50f081d8
header	System/Library/Frameworks/ARKit.framework/Headers/ARError.h	2946	3fde54b77f235be6cab12f0c027a63880585764d88aaaeecbdecc61b2ca95017
header	System/Library/Frameworks/ARKit.framework/Headers/ARFaceAnchor.h	7899	c44682e5bf8b1db44aa1f7f11a3a6277c3a12fe9703ada8f568ba3ef53245e59
header	System/Library/Frameworks/ARKit.framework/Headers/ARFaceGeometry.h	2182	6c787ec5bbe962b2f9c2f18ea96e55bdf4866a036c3c5c4893da5d10c1c0fb44
header	System/Library/Frameworks/ARKit.framework/Headers/ARFrame.h	9287	429ea122fd0cefe2efe31eef009a59ecdc519861057ad0c7d51f9d8b51d37d47
header	System/Library/Frameworks/ARKit.framework/Headers/ARGeoAnchor.h	3174	8a2db6fcc541a5c34e25a9e5948338b98c16203e69ee11a47e857328a81b73f5
header	System/Library/Frameworks/ARKit.framework/Headers/ARGeoTrackingTypes.h	4038	41dc816239dcf930a76e43064a3617ba660a0dd98d3407fd641cf6aa5f6637ce
header	System/Library/Frameworks/ARKit.framework/Headers/ARHitTestResult.h	2936	d8469c12dcfd55ea8bb73527786eb6ab2b9ca58ff644034631df413fd611085b
header	System/Library/Frameworks/ARKit.framework/Headers/ARImageAnchor.h	1354	12d1fdb8d721665c498cc6f42dfb46cee2887b55026155653a9ac0b7c16dc7a2
header	System/Library/Frameworks/ARKit.framework/Headers/ARKit.h	545	891803e110da041e7bb2c50f38d11af4e1af95a2e42f905ab72e3fd26f3d4e38
header	System/Library/Frameworks/ARKit.framework/Headers/ARKitCore.h	1458	2ff95551e3abf1b8cfcaa0e4f9dee251c94c7ce9daf756eba124ac0625583b4c
header	System/Library/Frameworks/ARKit.framework/Headers/ARKitFoundation.h	171	1c766d5152ff0305f3c69c655477d24d59528206b42a7b0347d7441b9bf9ba89
header	System/Library/Frameworks/ARKit.framework/Headers/ARKitUI.h	368	6dfb587940a8e7e050e5d1078e9a50dd1fbfcc958da1ab5799110356551950f6
header	System/Library/Frameworks/ARKit.framework/Headers/ARLightEstimate.h	2049	e332dd6b32998620c46f0d85e1e48ce7e85a316b0e5ae30be55fb3e9d41b6662
header	System/Library/Frameworks/ARKit.framework/Headers/ARMatteGenerator.h	3808	0df9be83048a6d02cacca996b39ce500f0385ce798771e818a846cbe8e9142af
header	System/Library/Frameworks/ARKit.framework/Headers/ARMeshAnchor.h	922	26a0a388697e525a2054fcbf221eed5d91fbd49e70aa12cfed2cba3c94105842
