precise	status	evidence	notes
s:11Assignables10AssignableP	implemented	test:full/assignables/tests/agent/AssignablesDocumentTests.swift#testAssignableDocumentInit	-
s:11Assignables10AssignableP24makeAssignedWorkDocument2idAA0deF0VSS_tKF	implemented	test:full/assignables/tests/agent/AssignablesDocumentTests.swift#testMakeAssignedWorkDocument	-
s:11Assignables10AssignableP24makeAssignedWorkDocumentAA0deF0VyKF	implemented	test:full/assignables/tests/agent/AssignablesDocumentTests.swift#testMakeAssignedWorkDocument	-
s:11Assignables10AssignableP6assign2toAA20AssignedWorkDocumentVAA15AnyUserIdentityV_tKF	implemented	test:full/assignables/tests/agent/AssignablesDocumentTests.swift#testAssignableAssign	-
s:11Assignables10AssignableP6assign2toAA20AssignedWorkDocumentVqd___tKAA12UserIdentityRd__lF	implemented	test:full/assignables/tests/agent/AssignablesDocumentTests.swift#testAssignableAssign	-
s:11Assignables10AssignablePAAE6assign2toAA20AssignedWorkDocumentVqd___tKAA12UserIdentityRd__lF	implemented	test:full/assignables/tests/agent/AssignablesDocumentTests.swift#testAssignableAssign	-
s:11Assignables12UserIdentityP	implemented	test:full/assignables/tests/agent/AssignablesIdentityTests.swift#testStringUserIdentity	-
s:11Assignables12UserIdentityP010eraseToAnybC0AA0fbC0VyF	implemented	test:full/assignables/tests/agent/AssignablesIdentityTests.swift#testAnyUserIdentityBoxing	-
s:11Assignables12UserIdentityP20stringRepresentationSSvp	implemented	test:full/assignables/tests/agent/AssignablesIdentityTests.swift#testStringUserIdentity	-
s:11Assignables12UserIdentityP6typeIDSSvp	implemented	test:full/assignables/tests/agent/AssignablesIdentityTests.swift#testStringUserIdentity	-
s:11Assignables12UserIdentityPAAE010eraseToAnybC0AA0fbC0VyF	implemented	test:full/assignables/tests/agent/AssignablesIdentityTests.swift#testAnyUserIdentityBoxing	-
s:11Assignables12UserIdentityPAAE010eraseToAnybC0AA0fbC0VyF::SYNTHESIZED::s:11Assignables15AnyUserIdentityV	implemented	test:full/assignables/tests/agent/AssignablesIdentityTests.swift#testAnyUserIdentityBoxing	-
s:11Assignables12UserIdentityPAAE010eraseToAnybC0AA0fbC0VyF::SYNTHESIZED::s:11Assignables18StringUserIdentityV	implemented	test:full/assignables/tests/agent/AssignablesIdentityTests.swift#testStringUserIdentity	-
s:11Assignables12UserIdentityPAAE010eraseToAnybC0AA0fbC0VyF::SYNTHESIZED::s:11Assignables21AnonymousUserIdentityV	implemented	test:full/assignables/tests/agent/AssignablesIdentityTests.swift#testAnonymousUserIdentity	-
s:11Assignables12UserIdentityPAAE2Asa	implemented	test:full/assignables/tests/agent/AssignablesIdentityTests.swift#testAnyUserIdentityBoxing	-
s:11Assignables12UserIdentityPAAE2Asa::SYNTHESIZED::s:11Assignables15AnyUserIdentityV	implemented	test:full/assignables/tests/agent/AssignablesIdentityTests.swift#testAnyUserIdentityBoxing	-
s:11Assignables12UserIdentityPAAE2Asa::SYNTHESIZED::s:11Assignables18StringUserIdentityV	implemented	test:full/assignables/tests/agent/AssignablesIdentityTests.swift#testStringUserIdentity	-
s:11Assignables12UserIdentityPAAE2Asa::SYNTHESIZED::s:11Assignables21AnonymousUserIdentityV	implemented	test:full/assignables/tests/agent/AssignablesIdentityTests.swift#testAnonymousUserIdentity	-
s:11Assignables12UserIdentityPAAE5scopeyqd__qd__yKXEKlF	implemented	test:full/assignables/tests/agent/AssignablesIdentityTests.swift#testUserIdentityScope	-
s:11Assignables12UserIdentityPAAE5scopeyqd__qd__yKXEKlF::SYNTHESIZED::s:11Assignables15AnyUserIdentityV	implemented	test:full/assignables/tests/agent/AssignablesIdentityTests.swift#testUserIdentityScope	-
s:11Assignables12UserIdentityPAAE5scopeyqd__qd__yKXEKlF::SYNTHESIZED::s:11Assignables18StringUserIdentityV	implemented	test:full/assignables/tests/agent/AssignablesIdentityTests.swift#testStringUserIdentity	-
s:11Assignables12UserIdentityPAAE5scopeyqd__qd__yKXEKlF::SYNTHESIZED::s:11Assignables21AnonymousUserIdentityV	implemented	test:full/assignables/tests/agent/AssignablesIdentityTests.swift#testAnonymousUserIdentity	-
s:11Assignables12UserIdentityPAAE5scopeyqd__qd__yYaKXEYaKlF	declared	source:full/assignables/UserIdentity.swift#scope	async overlay; sealed runner has no run loop
s:11Assignables12UserIdentityPAAE5scopeyqd__qd__yYaKXEYaKlF::SYNTHESIZED::s:11Assignables15AnyUserIdentityV	declared	source:full/assignables/UserIdentity.swift#scope	async overlay; sealed runner has no run loop
s:11Assignables12UserIdentityPAAE5scopeyqd__qd__yYaKXEYaKlF::SYNTHESIZED::s:11Assignables18StringUserIdentityV	declared	source:full/assignables/UserIdentity.swift#scope	async overlay; sealed runner has no run loop
s:11Assignables12UserIdentityPAAE5scopeyqd__qd__yYaKXEYaKlF::SYNTHESIZED::s:11Assignables21AnonymousUserIdentityV	declared	source:full/assignables/UserIdentity.swift#scope	async overlay; sealed runner has no run loop
s:11Assignables15AnyUserIdentityV	implemented	test:full/assignables/tests/agent/AssignablesIdentityTests.swift#testAnyUserIdentityBoxing	-
s:11Assignables15AnyUserIdentityV20stringRepresentationSSvp	implemented	test:full/assignables/tests/agent/AssignablesIdentityTests.swift#testAnyUserIdentityBoxing	-
s:11Assignables15AnyUserIdentityV2eeoiySbAC_ACtFZ	implemented	test:full/assignables/tests/agent/AssignablesIdentityTests.swift#testAnyUserIdentityBoxing	-
