precise	kind	title	path	declaration
c:@ASAuthorizationAppleIDProviderCredentialRevokedNotification	swift.type.property	credentialRevokedNotification	ASAuthorizationAppleIDProvider.credentialRevokedNotification	class let credentialRevokedNotification: NSNotification.Name
c:@ASAuthorizationErrorDomain	swift.var	ASAuthorizationErrorDomain	ASAuthorizationErrorDomain	let ASAuthorizationErrorDomain: String
c:@ASAuthorizationOperationImplicit	swift.type.property	operationImplicit	ASAuthorization.OpenIDOperation.operationImplicit	static let operationImplicit: ASAuthorization.OpenIDOperation
c:@ASAuthorizationOperationLogin	swift.type.property	operationLogin	ASAuthorization.OpenIDOperation.operationLogin	static let operationLogin: ASAuthorization.OpenIDOperation
c:@ASAuthorizationOperationLogout	swift.type.property	operationLogout	ASAuthorization.OpenIDOperation.operationLogout	static let operationLogout: ASAuthorization.OpenIDOperation
c:@ASAuthorizationOperationRefresh	swift.type.property	operationRefresh	ASAuthorization.OpenIDOperation.operationRefresh	static let operationRefresh: ASAuthorization.OpenIDOperation
c:@ASAuthorizationProviderAuthorizationOperationConfigurationRemoved	swift.type.property	configurationRemoved	ASAuthorizationProviderAuthorizationOperation.configurationRemoved	static let configurationRemoved: ASAuthorizationProviderAuthorizationOperation
c:@ASAuthorizationProviderAuthorizationOperationDirectRequest	swift.type.property	directRequest	ASAuthorizationProviderAuthorizationOperation.directRequest	static let directRequest: ASAuthorizationProviderAuthorizationOperation
c:@ASAuthorizationPublicKeyCredentialAttestationKindDirect	swift.type.property	direct	ASAuthorizationPublicKeyCredentialAttestationKind.direct	static let direct: ASAuthorizationPublicKeyCredentialAttestationKind
c:@ASAuthorizationPublicKeyCredentialAttestationKindEnterprise	swift.type.property	enterprise	ASAuthorizationPublicKeyCredentialAttestationKind.enterprise	static let enterprise: ASAuthorizationPublicKeyCredentialAttestationKind
c:@ASAuthorizationPublicKeyCredentialAttestationKindIndirect	swift.type.property	indirect	ASAuthorizationPublicKeyCredentialAttestationKind.indirect	static let indirect: ASAuthorizationPublicKeyCredentialAttestationKind
c:@ASAuthorizationPublicKeyCredentialAttestationKindNone	swift.type.property	none	ASAuthorizationPublicKeyCredentialAttestationKind.none	static let none: ASAuthorizationPublicKeyCredentialAttestationKind
c:@ASAuthorizationPublicKeyCredentialResidentKeyPreferenceDiscouraged	swift.type.property	discouraged	ASAuthorizationPublicKeyCredentialResidentKeyPreference.discouraged	static let discouraged: ASAuthorizationPublicKeyCredentialResidentKeyPreference
c:@ASAuthorizationPublicKeyCredentialResidentKeyPreferencePreferred	swift.type.property	preferred	ASAuthorizationPublicKeyCredentialResidentKeyPreference.preferred	static let preferred: ASAuthorizationPublicKeyCredentialResidentKeyPreference
c:@ASAuthorizationPublicKeyCredentialResidentKeyPreferenceRequired	swift.type.property	required	ASAuthorizationPublicKeyCredentialResidentKeyPreference.required	static let required: ASAuthorizationPublicKeyCredentialResidentKeyPreference
c:@ASAuthorizationPublicKeyCredentialUserVerificationPreferenceDiscouraged	swift.type.property	discouraged	ASAuthorizationPublicKeyCredentialUserVerificationPreference.discouraged	static let discouraged: ASAuthorizationPublicKeyCredentialUserVerificationPreference
c:@ASAuthorizationPublicKeyCredentialUserVerificationPreferencePreferred	swift.type.property	preferred	ASAuthorizationPublicKeyCredentialUserVerificationPreference.preferred	static let preferred: ASAuthorizationPublicKeyCredentialUserVerificationPreference
c:@ASAuthorizationPublicKeyCredentialUserVerificationPreferenceRequired	swift.type.property	required	ASAuthorizationPublicKeyCredentialUserVerificationPreference.required	static let required: ASAuthorizationPublicKeyCredentialUserVerificationPreference
c:@ASAuthorizationScopeEmail	swift.type.property	email	ASAuthorization.Scope.email	static let email: ASAuthorization.Scope
c:@ASAuthorizationScopeFullName	swift.type.property	fullName	ASAuthorization.Scope.fullName	static let fullName: ASAuthorization.Scope
c:@ASAuthorizationSecurityKeyPublicKeyCredentialDescriptorTransportBluetooth	swift.type.property	bluetooth	ASAuthorizationSecurityKeyPublicKeyCredentialDescriptor.Transport.bluetooth	static let bluetooth: ASAuthorizationSecurityKeyPublicKeyCredentialDescriptor.Transport
c:@ASAuthorizationSecurityKeyPublicKeyCredentialDescriptorTransportNFC	swift.type.property	nfc	ASAuthorizationSecurityKeyPublicKeyCredentialDescriptor.Transport.nfc	static let nfc: ASAuthorizationSecurityKeyPublicKeyCredentialDescriptor.Transport
c:@ASAuthorizationSecurityKeyPublicKeyCredentialDescriptorTransportUSB	swift.type.property	usb	ASAuthorizationSecurityKeyPublicKeyCredentialDescriptor.Transport.usb	static let usb: ASAuthorizationSecurityKeyPublicKeyCredentialDescriptor.Transport
c:@ASCOSEAlgorithmIdentifierES256	swift.type.property	ES256	ASCOSEAlgorithmIdentifier.ES256	static let ES256: ASCOSEAlgorithmIdentifier
c:@ASCOSEEllipticCurveIdentifierP256	swift.type.property	P256	ASCOSEEllipticCurveIdentifier.P256	static let P256: ASCOSEEllipticCurveIdentifier
c:@ASCredentialIdentityStoreErrorDomain	swift.var	ASCredentialIdentityStoreErrorDomain	ASCredentialIdentityStoreErrorDomain	let ASCredentialIdentityStoreErrorDomain: String
c:@ASExtensionErrorDomain	swift.var	ASExtensionErrorDomain	ASExtensionErrorDomain	let ASExtensionErrorDomain: String
c:@ASExtensionLocalizedFailureReasonErrorKey	swift.var	ASExtensionLocalizedFailureReasonErrorKey	ASExtensionLocalizedFailureReasonErrorKey	let ASExtensionLocalizedFailureReasonErrorKey: String
c:@ASWebAuthenticationSessionErrorDomain	swift.var	ASWebAuthenticationSessionErrorDomain	ASWebAuthenticationSessionErrorDomain	let ASWebAuthenticationSessionErrorDomain: String
c:@E@ASAuthorizationAppleIDButtonStyle	swift.enum	ASAuthorizationAppleIDButton.Style	ASAuthorizationAppleIDButton.Style	enum Style
c:@E@ASAuthorizationAppleIDButtonStyle@ASAuthorizationAppleIDButtonStyleBlack	swift.enum.case	ASAuthorizationAppleIDButton.Style.black	ASAuthorizationAppleIDButton.Style.black	case black
c:@E@ASAuthorizationAppleIDButtonStyle@ASAuthorizationAppleIDButtonStyleWhite	swift.enum.case	ASAuthorizationAppleIDButton.Style.white	ASAuthorizationAppleIDButton.Style.white	case white
c:@E@ASAuthorizationAppleIDButtonStyle@ASAuthorizationAppleIDButtonStyleWhiteOutline	swift.enum.case	ASAuthorizationAppleIDButton.Style.whiteOutline	ASAuthorizationAppleIDButton.Style.whiteOutline	case whiteOutline
