precise	payloadSHA256	graphPath	ownershipTier	occurrenceCount	canonicalSelection	kind	title	symbolPath	declaration
c:objc(cs)ASAccountAuthenticationModificationExtensionContext(im)getSignInWithAppleUpgradeAuthorizationWithState:nonce:completionHandler:	51d2f01707245e5ea8563c999fd0ecccfa6be13b9747124c7813f2a69aecfde6	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	1	swift.method	getSignInWithAppleUpgradeAuthorization(state:nonce:completionHandler:)	ASAccountAuthenticationModificationExtensionContext.getSignInWithAppleUpgradeAuthorization(state:nonce:completionHandler:)	func getSignInWithAppleUpgradeAuthorization(state: String?, nonce: String?, completionHandler: @escaping (ASAuthorizationAppleIDCredential?, (any Error)?) -> Void)
c:objc(cs)ASAccountAuthenticationModificationExtensionContext(im)getSignInWithAppleUpgradeAuthorizationWithState:nonce:completionHandler:	9d09dd03c5454b23645d8491a3a5511c990fc2c5453cf60662baa712f8b72e54	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	0	swift.method	requestSignInWithAppleUpgradeAuthorization(state:nonce:)	ASAccountAuthenticationModificationExtensionContext.requestSignInWithAppleUpgradeAuthorization(state:nonce:)	func requestSignInWithAppleUpgradeAuthorization(state: String?, nonce: String?) async throws -> ASAuthorizationAppleIDCredential
c:objc(cs)ASAuthorizationAppleIDProvider(im)getCredentialStateForUserID:completion:	f4240dce47811c59971bc776062c17ceb21d80fe5f2646fb057d60243246af3e	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	1	swift.method	credentialState(forUserID:)	ASAuthorizationAppleIDProvider.credentialState(forUserID:)	func credentialState(forUserID userID: String) async throws -> ASAuthorizationAppleIDProvider.CredentialState
c:objc(cs)ASAuthorizationAppleIDProvider(im)getCredentialStateForUserID:completion:	626a96878f3e07ee455b0072f82b21d000d95aead6b62b78f6eb18b309f274f8	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	0	swift.method	getCredentialState(forUserID:completion:)	ASAuthorizationAppleIDProvider.getCredentialState(forUserID:completion:)	func getCredentialState(forUserID userID: String, completion: @escaping (ASAuthorizationAppleIDProvider.CredentialState, (any Error)?) -> Void)
c:objc(cs)ASAuthorizationProviderExtensionAuthorizationRequest(im)presentAuthorizationViewControllerWithCompletion:	ba2216cc0eed59a68234612eb108dbe5545c0b0349b6977bb545f31581a336c0	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	1	swift.method	presentAuthorizationViewController(completion:)	ASAuthorizationProviderExtensionAuthorizationRequest.presentAuthorizationViewController(completion:)	func presentAuthorizationViewController(completion: @escaping (Bool, (any Error)?) -> Void)
c:objc(cs)ASAuthorizationProviderExtensionAuthorizationRequest(im)presentAuthorizationViewControllerWithCompletion:	c37a7656b78ce01cfe28be0f09a6c232ae00eb5fa148008ab51ca8d2783bd84d	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	0	swift.method	presentAuthorizationViewController()	ASAuthorizationProviderExtensionAuthorizationRequest.presentAuthorizationViewController()	func presentAuthorizationViewController() async throws
c:objc(cs)ASAuthorizationWebBrowserPublicKeyCredentialManager(im)requestAuthorizationForPublicKeyCredentials:	deaa5a65792c0d5c6edd5a23864f499068c6356df09e086de840fe1961dc78d5	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	1	swift.method	requestAuthorizationForPublicKeyCredentials(_:)	ASAuthorizationWebBrowserPublicKeyCredentialManager.requestAuthorizationForPublicKeyCredentials(_:)	func requestAuthorizationForPublicKeyCredentials(_ completionHandler: @escaping (ASAuthorizationWebBrowserPublicKeyCredentialManager.AuthorizationState) -> Void)
c:objc(cs)ASAuthorizationWebBrowserPublicKeyCredentialManager(im)requestAuthorizationForPublicKeyCredentials:	431713c86231f5b0d04d1dd695bd5c70cb735c37421564f513a9f49c95d85b3e	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	0	swift.method	requestAuthorizationForPublicKeyCredentials()	ASAuthorizationWebBrowserPublicKeyCredentialManager.requestAuthorizationForPublicKeyCredentials()	func requestAuthorizationForPublicKeyCredentials() async -> ASAuthorizationWebBrowserPublicKeyCredentialManager.AuthorizationState
c:objc(cs)ASCredentialIdentityStore(im)getCredentialIdentityStoreStateWithCompletion:	4d5efe7e5dab4d6d3f6ed607de69096642f3452ab63bb9b521462d974f95b8d3	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	1	swift.method	getState(_:)	ASCredentialIdentityStore.getState(_:)	func getState(_ completion: @escaping (ASCredentialIdentityStoreState) -> Void)
c:objc(cs)ASCredentialIdentityStore(im)getCredentialIdentityStoreStateWithCompletion:	7b90b7255955b1e8526b955037ca05e9a8e61e3dd74884d9ffd930d3f116cf94	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	0	swift.method	state()	ASCredentialIdentityStore.state()	func state() async -> ASCredentialIdentityStoreState
