precise	status	evidence	notes
c:@AEAssessmentErrorDomain	implemented	test:full/automaticassessmentconfiguration/tests/agent/AEAssessmentErrorTests.swift#testAEAssessmentErrorDomain	Linux domain string equals ObjC name
c:@E@AEAssessmentErrorCode	implemented	test:full/automaticassessmentconfiguration/tests/agent/AEAssessmentErrorTests.swift#testAEAssessmentErrorCodeType	Code type identity
c:@E@AEAssessmentErrorCode@AEAssessmentErrorConfigurationUpdatesNotSupported	implemented	test:full/automaticassessmentconfiguration/tests/agent/AEAssessmentErrorTests.swift#testErrorCodeRawValues	macios raw value 4
c:@E@AEAssessmentErrorCode@AEAssessmentErrorMultipleParticipantsNotSupported	implemented	test:full/automaticassessmentconfiguration/tests/agent/AEAssessmentErrorTests.swift#testErrorCodeRawValues	macios raw value 3
c:@E@AEAssessmentErrorCode@AEAssessmentErrorRequiredParticipantsNotAvailable	implemented	test:full/automaticassessmentconfiguration/tests/agent/AEAssessmentErrorTests.swift#testErrorCodeRawValues	macios raw value 5
c:@E@AEAssessmentErrorCode@AEAssessmentErrorUnknown	implemented	test:full/automaticassessmentconfiguration/tests/agent/AEAssessmentErrorTests.swift#testErrorCodeRawValues	macios raw value 1
c:@E@AEAssessmentErrorCode@AEAssessmentErrorUnsupportedPlatform	implemented	test:full/automaticassessmentconfiguration/tests/agent/AEAssessmentErrorTests.swift#testErrorCodeRawValues	macios raw value 2
c:@E@AEAutocorrectMode	implemented	test:full/automaticassessmentconfiguration/tests/agent/AutocorrectModeTests.swift#testAutocorrectModeType	OptionSet type identity
c:@E@AEAutocorrectMode@AEAutocorrectModePunctuation	implemented	test:full/automaticassessmentconfiguration/tests/agent/AutocorrectModeTests.swift#testAutocorrectModeRawValues	macios 1<<1
c:@E@AEAutocorrectMode@AEAutocorrectModeSpelling	implemented	test:full/automaticassessmentconfiguration/tests/agent/AutocorrectModeTests.swift#testAutocorrectModeRawValues	macios 1<<0
c:objc(cs)AEAssessmentApplication	implemented	test:full/automaticassessmentconfiguration/tests/agent/AEAssessmentApplicationTests.swift#testApplicationType	NSObject subclass
