category	sdkRelativePath	size	sha256
tbd	System/Library/Frameworks/AutomaticAssessmentConfiguration.framework/AutomaticAssessmentConfiguration.tbd	1156	5547c598da811a7949dca1fbf3220db0fcaa99869e72a52e14413e6f031aad42
tbd	System/Library/Frameworks/AutomaticAssessmentConfiguration.framework/Frameworks/AACClient.framework/AACClient.tbd	19871	d370f296798ea7e1e51de50e3c989bd029486fcd2372516106e7d0dc6b90c497
tbd	System/Library/Frameworks/AutomaticAssessmentConfiguration.framework/Frameworks/AACDependencies.framework/AACDependencies.tbd	462	d4862d2530d06d20a2ba10a0a34cf8e49b9d16901c2d05b3680577f0cab88c67
header	System/Library/Frameworks/AutomaticAssessmentConfiguration.framework/Headers/AEAssessmentApplication.h	1175	d17b77117a50a146df77c9e50e32b1b05b46455741eeb36bcc3bdd46972e8d91
header	System/Library/Frameworks/AutomaticAssessmentConfiguration.framework/Headers/AEAssessmentConfiguration.h	16718	577bf4078bbcbc045aedf20e129f96c5335104185ec0e59b6eb7d33ed09b95fb
header	System/Library/Frameworks/AutomaticAssessmentConfiguration.framework/Headers/AEAssessmentParticipantConfiguration.h	941	80d3ab8dfff9ec10f84e39de7d1457fa11fbcb95cc79f238f8c1d3b0ae864554
header	System/Library/Frameworks/AutomaticAssessmentConfiguration.framework/Headers/AEAssessmentSession.h	1338	f6afc71b3d777a0492034987d2854ae00224bae6974e33352f453be0b7bbf321
header	System/Library/Frameworks/AutomaticAssessmentConfiguration.framework/Headers/AEAssessmentSessionDelegate.h	1130	c116b6f1183d0b225ac78286d9e7a117db657880dac4f232cf4c70a5624f669b
header	System/Library/Frameworks/AutomaticAssessmentConfiguration.framework/Headers/AEErrors.h	1364	62659f6436de54476791348f162b1c79dfc832ec13bc09396deebcffb9685031
header	System/Library/Frameworks/AutomaticAssessmentConfiguration.framework/Headers/AEVisibility.h	568	2d1d32af61bd5906de5639b40f8d138b9737ebd7915735c1e4a3f8011ea7e6d1
header	System/Library/Frameworks/AutomaticAssessmentConfiguration.framework/Headers/AutomaticAssessmentConfiguration.h	612	1cf2b3dfde516f8a785f6046efce894a360d624dc2cb2221232bdcb7a53ae251
swiftinterface	System/Library/Frameworks/AutomaticAssessmentConfiguration.framework/Modules/AutomaticAssessmentConfiguration.swiftmodule/arm64e-apple-ios.swiftinterface	1110	999ae45305936ccf1b98e095342e23d1cd7c1f9c5d533393f63b3fa7788ea73b
modulemap	System/Library/Frameworks/AutomaticAssessmentConfiguration.framework/Modules/module.modulemap	138	6d8686a74af6f62b3348b77acb580e1a9136c7a431f790794f09a38f5cc8ce66
