precise	status	evidence	notes
c:@AVAudioApplicationInputMuteStateChangeNotification	declared	full/avfaudio/AVAudioApplication.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioApplicationMuteStateKey	declared	full/avfaudio/AVAudioApplication.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioBitRateStrategy_Constant	declared	full/avfaudio/AVFAudio.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioBitRateStrategy_LongTermAverage	declared	full/avfaudio/AVFAudio.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioBitRateStrategy_Variable	declared	full/avfaudio/AVFAudio.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioBitRateStrategy_VariableConstrained	declared	full/avfaudio/AVFAudio.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioEngineConfigurationChangeNotification	declared	full/avfaudio/AVAudioEngine.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioFileTypeKey	declared	full/avfaudio/AVAudioIO.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeyAlbum	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeyApproximateDurationInSeconds	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeyArtist	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeyChannelLayout	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeyComments	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeyComposer	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeyCopyright	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeyEncodingApplication	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeyGenre	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeyISRC	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeyKeySignature	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeyLyricist	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeyNominalBitRate	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeyRecordedDate	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeySourceBitDepth	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeySourceEncoder	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeySubTitle	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeyTempo	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeyTimeSignature	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeyTitle	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeyTrackNumber	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSequencerInfoDictionaryKeyYear	declared	full/avfaudio/AVAudioUnits.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSessionAvailableInputsChangeNotification	declared	full/avfaudio/AVAudioSession.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSessionCategoryAmbient	declared	full/avfaudio/AVAudioSession.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSessionCategoryAudioProcessing	declared	full/avfaudio/AVAudioSession.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSessionCategoryMultiRoute	declared	full/avfaudio/AVAudioSession.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSessionCategoryPlayAndRecord	implemented	tests/agent/AVFAudioRuntime.swift	Focused Linux runtime evidence in tests/agent/AVFAudioRuntime.swift; fail-closed host/hardware paths do not invent success.
c:@AVAudioSessionCategoryPlayback	implemented	tests/agent/AVFAudioRuntime.swift	Focused Linux runtime evidence in tests/agent/AVFAudioRuntime.swift; fail-closed host/hardware paths do not invent success.
c:@AVAudioSessionCategoryRecord	declared	full/avfaudio/AVAudioSession.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSessionCategorySoloAmbient	declared	full/avfaudio/AVAudioSession.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSessionInterruptionNotification	declared	full/avfaudio/AVAudioSession.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSessionInterruptionOptionKey	declared	full/avfaudio/AVAudioSession.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSessionInterruptionReasonKey	declared	full/avfaudio/AVAudioSession.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSessionInterruptionTypeKey	declared	full/avfaudio/AVAudioSession.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSessionInterruptionWasSuspendedKey	declared	full/avfaudio/AVAudioSession.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSessionLocationLower	declared	full/avfaudio/AVAudioSession.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSessionLocationUpper	declared	full/avfaudio/AVAudioSession.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSessionMediaServicesWereLostNotification	declared	full/avfaudio/AVAudioSession.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
c:@AVAudioSessionMediaServicesWereResetNotification	declared	full/avfaudio/AVAudioSession.swift	Compiling Linux declaration only. Exact Apple ABI, host-service success, and guessed constant values are not claimed.
