precise	payloadSHA256	graphPath	ownershipTier	occurrenceCount	canonicalSelection	kind	title	symbolPath	declaration
c:objc(cs)AVAsset(im)findUnusedTrackIDWithCompletionHandler:	c4d8cc2dff11306c31a8f27621ae3490800c89b7cf0660957d6dbe03546c9e6f	reference/symbol-graphs/AVFoundation.symbols.json	0	1	1	swift.method	findUnusedTrackID(completionHandler:)	AVAsset.findUnusedTrackID(completionHandler:)	func findUnusedTrackID(completionHandler: @escaping (CMPersistentTrackID, (any Error)?) -> Void)
c:objc(cs)AVAsset(im)findUnusedTrackIDWithCompletionHandler:	95b738d4335d0763a699e0177e5f26514b8fc65f9b3f3c03e570ddaea44510bd	reference/symbol-graphs/AVFoundation.symbols.json	0	1	0	swift.method	findUnusedTrackID()	AVAsset.findUnusedTrackID()	func findUnusedTrackID() async throws -> CMPersistentTrackID
c:objc(cs)AVAsset(im)loadChapterMetadataGroupsBestMatchingPreferredLanguages:completionHandler:	4f1e3d9450b1cb25929d43732cb170b6f90784e5d1c9eef23fa698bbb7511c9e	reference/symbol-graphs/AVFoundation.symbols.json	0	1	1	swift.method	loadChapterMetadataGroups(bestMatchingPreferredLanguages:)	AVAsset.loadChapterMetadataGroups(bestMatchingPreferredLanguages:)	func loadChapterMetadataGroups(bestMatchingPreferredLanguages preferredLanguages: [String]) async throws -> [AVTimedMetadataGroup]
c:objc(cs)AVAsset(im)loadChapterMetadataGroupsBestMatchingPreferredLanguages:completionHandler:	13d9d52b92c1f2098ce7876069e783e29bb15695ea1154f5f938fa7798adac38	reference/symbol-graphs/AVFoundation.symbols.json	0	1	0	swift.method	loadChapterMetadataGroups(bestMatchingPreferredLanguages:completionHandler:)	AVAsset.loadChapterMetadataGroups(bestMatchingPreferredLanguages:completionHandler:)	func loadChapterMetadataGroups(bestMatchingPreferredLanguages preferredLanguages: [String], completionHandler: @escaping ([AVTimedMetadataGroup]?, (any Error)?) -> Void)
c:objc(cs)AVAsset(im)loadMediaSelectionGroupForMediaCharacteristic:completionHandler:	1c00365a3d382e091af0016b857a70a4503f7628c806632035c90318694363c2	reference/symbol-graphs/AVFoundation.symbols.json	0	1	1	swift.method	loadMediaSelectionGroup(for:)	AVAsset.loadMediaSelectionGroup(for:)	func loadMediaSelectionGroup(for mediaCharacteristic: AVMediaCharacteristic) async throws -> AVMediaSelectionGroup?
c:objc(cs)AVAsset(im)loadMediaSelectionGroupForMediaCharacteristic:completionHandler:	973827a67173d99701540bff998a7584ab3bb58068123785ff4b15d3356cff13	reference/symbol-graphs/AVFoundation.symbols.json	0	1	0	swift.method	loadMediaSelectionGroup(for:completionHandler:)	AVAsset.loadMediaSelectionGroup(for:completionHandler:)	func loadMediaSelectionGroup(for mediaCharacteristic: AVMediaCharacteristic, completionHandler: @escaping (AVMediaSelectionGroup?, (any Error)?) -> Void)
c:objc(cs)AVAsset(im)loadMetadataForFormat:completionHandler:	c708e05bbd8b1b09e8ed44903cdf2322adbe5d71480e5cb70a606596a07dfa5f	reference/symbol-graphs/AVFoundation.symbols.json	0	1	1	swift.method	loadMetadata(for:)	AVAsset.loadMetadata(for:)	func loadMetadata(for format: AVMetadataFormat) async throws -> [AVMetadataItem]
c:objc(cs)AVAsset(im)loadMetadataForFormat:completionHandler:	d067b65e7d8a43074eb18f0b10ac0b1cbd67cf39b157fd0991df30a6a020dce5	reference/symbol-graphs/AVFoundation.symbols.json	0	1	0	swift.method	loadMetadata(for:completionHandler:)	AVAsset.loadMetadata(for:completionHandler:)	func loadMetadata(for format: AVMetadataFormat, completionHandler: @escaping ([AVMetadataItem]?, (any Error)?) -> Void)
c:objc(cs)AVAsset(im)loadTrackWithTrackID:completionHandler:	9340ee944612bafa2c2bdd1b0afc77eabbe90a104c711591e6cacb0ab57639d1	reference/symbol-graphs/AVFoundation.symbols.json	0	1	1	swift.method	loadTrack(withTrackID:)	AVAsset.loadTrack(withTrackID:)	func loadTrack(withTrackID trackID: CMPersistentTrackID) async throws -> AVAssetTrack?
c:objc(cs)AVAsset(im)loadTrackWithTrackID:completionHandler:	6a3220e2462c885bc6771176bd62b25ad81ad86f7019ab016cc3426b78c08f4d	reference/symbol-graphs/AVFoundation.symbols.json	0	1	0	swift.method	loadTrack(withTrackID:completionHandler:)	AVAsset.loadTrack(withTrackID:completionHandler:)	func loadTrack(withTrackID trackID: CMPersistentTrackID, completionHandler: @escaping (AVAssetTrack?, (any Error)?) -> Void)
