precise	kind	title	path	declaration
c:@AVKitErrorDomain	swift.var	AVKitErrorDomain	AVKitErrorDomain	let AVKitErrorDomain: String
c:@E@AVAudioSessionRouteSelection	swift.enum	AVAudioSession.RouteSelection	AVAudioSession.RouteSelection	enum RouteSelection
c:@E@AVAudioSessionRouteSelection@AVAudioSessionRouteSelectionExternal	swift.enum.case	AVAudioSession.RouteSelection.external	AVAudioSession.RouteSelection.external	case external
c:@E@AVAudioSessionRouteSelection@AVAudioSessionRouteSelectionLocal	swift.enum.case	AVAudioSession.RouteSelection.local	AVAudioSession.RouteSelection.local	case local
c:@E@AVAudioSessionRouteSelection@AVAudioSessionRouteSelectionNone	swift.enum.case	AVAudioSession.RouteSelection.none	AVAudioSession.RouteSelection.none	case none
c:@E@AVCaptureEventPhase	swift.enum	AVCaptureEventPhase	AVCaptureEventPhase	enum AVCaptureEventPhase
c:@E@AVCaptureEventPhase@AVCaptureEventPhaseBegan	swift.enum.case	AVCaptureEventPhase.began	AVCaptureEventPhase.began	case began
c:@E@AVCaptureEventPhase@AVCaptureEventPhaseCancelled	swift.enum.case	AVCaptureEventPhase.cancelled	AVCaptureEventPhase.cancelled	case cancelled
c:@E@AVCaptureEventPhase@AVCaptureEventPhaseEnded	swift.enum.case	AVCaptureEventPhase.ended	AVCaptureEventPhase.ended	case ended
c:@E@AVDisplayDynamicRange	swift.enum	AVDisplayDynamicRange	AVDisplayDynamicRange	enum AVDisplayDynamicRange
c:@E@AVDisplayDynamicRange@AVDisplayDynamicRangeAutomatic	swift.enum.case	AVDisplayDynamicRange.automatic	AVDisplayDynamicRange.automatic	case automatic
c:@E@AVDisplayDynamicRange@AVDisplayDynamicRangeConstrainedHigh	swift.enum.case	AVDisplayDynamicRange.constrainedHigh	AVDisplayDynamicRange.constrainedHigh	case constrainedHigh
c:@E@AVDisplayDynamicRange@AVDisplayDynamicRangeHigh	swift.enum.case	AVDisplayDynamicRange.high	AVDisplayDynamicRange.high	case high
c:@E@AVDisplayDynamicRange@AVDisplayDynamicRangeStandard	swift.enum.case	AVDisplayDynamicRange.standard	AVDisplayDynamicRange.standard	case standard
c:@E@AVKitError	swift.enum	AVKitError.Code	AVKitError.Code	enum Code
c:@E@AVKitError@AVKitErrorPictureInPictureStartFailed	swift.enum.case	AVKitError.Code.pictureInPictureStartFailed	AVKitError.Code.pictureInPictureStartFailed	case pictureInPictureStartFailed
c:@E@AVKitError@AVKitErrorUnknown	swift.enum.case	AVKitError.Code.unknown	AVKitError.Code.unknown	case unknown
c:@E@AVVideoFrameAnalysisType	swift.struct	AVVideoFrameAnalysisType	AVVideoFrameAnalysisType	struct AVVideoFrameAnalysisType
c:@E@AVVideoFrameAnalysisType@AVVideoFrameAnalysisTypeDefault	swift.type.property	default	AVVideoFrameAnalysisType.default	static var `default`: AVVideoFrameAnalysisType { get }
c:@E@AVVideoFrameAnalysisType@AVVideoFrameAnalysisTypeMachineReadableCode	swift.type.property	machineReadableCode	AVVideoFrameAnalysisType.machineReadableCode	static var machineReadableCode: AVVideoFrameAnalysisType { get }
