precise	payloadSHA256	graphPath	ownershipTier	occurrenceCount	canonicalSelection	kind	title	symbolPath	declaration
c:objc(cs)AVAudioSession(im)prepareRouteSelectionForPlaybackWithCompletionHandler:	b688b2b03c632e39d33a20cc0fb84e3dd21e97f2e68a78dabc8e9e7eea1df430	reference/symbol-graphs/AVKit@AVFAudio.symbols.json	1	1	1	swift.method	prepareRouteSelectionForPlayback(completionHandler:)	AVAudioSession.prepareRouteSelectionForPlayback(completionHandler:)	func prepareRouteSelectionForPlayback(completionHandler: @escaping (Bool, AVAudioSession.RouteSelection) -> Void)
c:objc(cs)AVAudioSession(im)prepareRouteSelectionForPlaybackWithCompletionHandler:	7931a98b351531cf6d8b92755b7205abbcec3c6fb4836f7f090bbb32e51af553	reference/symbol-graphs/AVKit@AVFAudio.symbols.json	1	1	0	swift.method	prepareRouteSelectionForPlayback()	AVAudioSession.prepareRouteSelectionForPlayback()	func prepareRouteSelectionForPlayback() async -> (Bool, AVAudioSession.RouteSelection)
c:objc(pl)AVPictureInPictureControllerDelegate(im)pictureInPictureController:restoreUserInterfaceForPictureInPictureStopWithCompletionHandler:	6fa7bf7c15d8e3842cfc88d0642aa06f9f7b116e6e289e4dd449070051aa3cd2	reference/symbol-graphs/AVKit.symbols.json	0	1	1	swift.method	pictureInPictureController(_:)	AVPictureInPictureControllerDelegate.pictureInPictureController(_:)	optional func pictureInPictureController(_ pictureInPictureController: AVPictureInPictureController) async -> Bool
c:objc(pl)AVPictureInPictureControllerDelegate(im)pictureInPictureController:restoreUserInterfaceForPictureInPictureStopWithCompletionHandler:	45678ef36f4eb96e0b566c14f3e08a404a1cf00bcca2735b99bb3eb0d8056880	reference/symbol-graphs/AVKit.symbols.json	0	1	0	swift.method	pictureInPictureController(_:restoreUserInterfaceForPictureInPictureStopWithCompletionHandler:)	AVPictureInPictureControllerDelegate.pictureInPictureController(_:restoreUserInterfaceForPictureInPictureStopWithCompletionHandler:)	optional func pictureInPictureController(_ pictureInPictureController: AVPictureInPictureController, restoreUserInterfaceForPictureInPictureStopWithCompletionHandler completionHandler: @escaping (Bool) -> Void)
c:objc(pl)AVPictureInPictureSampleBufferPlaybackDelegate(im)pictureInPictureController:skipByInterval:completionHandler:	9ced65824348b208131116fc8ef7642fed2f5d938e122b3c88d2e6b742dd1d35	reference/symbol-graphs/AVKit.symbols.json	0	1	1	swift.method	pictureInPictureController(_:skipByInterval:)	AVPictureInPictureSampleBufferPlaybackDelegate.pictureInPictureController(_:skipByInterval:)	func pictureInPictureController(_ pictureInPictureController: AVPictureInPictureController, skipByInterval skipInterval: CMTime) async
c:objc(pl)AVPictureInPictureSampleBufferPlaybackDelegate(im)pictureInPictureController:skipByInterval:completionHandler:	e2c59af8183cac01504fb0cad99c6c124da53a2877480beb69a34f6fdc1fdd14	reference/symbol-graphs/AVKit.symbols.json	0	1	0	swift.method	pictureInPictureController(_:skipByInterval:completion:)	AVPictureInPictureSampleBufferPlaybackDelegate.pictureInPictureController(_:skipByInterval:completion:)	func pictureInPictureController(_ pictureInPictureController: AVPictureInPictureController, skipByInterval skipInterval: CMTime, completion completionHandler: @escaping () -> Void)
c:objc(pl)AVPlayerViewControllerDelegate(im)playerViewController:restoreUserInterfaceForFullScreenExitWithCompletionHandler:	210a4488643bf8382ee43b0f721d8c3926d7b8327dec8dfb467ac07e0ae53150	reference/symbol-graphs/AVKit.symbols.json	0	1	1	swift.method	playerViewController(_:restoreUserInterfaceForFullScreenExitWithCompletionHandler:)	AVPlayerViewControllerDelegate.playerViewController(_:restoreUserInterfaceForFullScreenExitWithCompletionHandler:)	optional func playerViewController(_ playerViewController: AVPlayerViewController, restoreUserInterfaceForFullScreenExitWithCompletionHandler completionHandler: @escaping (Bool) -> Void)
c:objc(pl)AVPlayerViewControllerDelegate(im)playerViewController:restoreUserInterfaceForFullScreenExitWithCompletionHandler:	66aebb2c04551d6c3a0daf8bdfaf50c0924cdfa3afec1ac4c1f347e16bde9402	reference/symbol-graphs/AVKit.symbols.json	0	1	0	swift.method	playerViewControllerRestoreUserInterfaceForFullScreenExit(_:)	AVPlayerViewControllerDelegate.playerViewControllerRestoreUserInterfaceForFullScreenExit(_:)	optional func playerViewControllerRestoreUserInterfaceForFullScreenExit(_ playerViewController: AVPlayerViewController) async -> Bool
c:objc(pl)AVPlayerViewControllerDelegate(im)playerViewController:restoreUserInterfaceForPictureInPictureStopWithCompletionHandler:	39825b24459f21900217c98c4dda0bccb9aa1d4020d02df367c61d60f0551e73	reference/symbol-graphs/AVKit.symbols.json	0	1	1	swift.method	playerViewController(_:restoreUserInterfaceForPictureInPictureStopWithCompletionHandler:)	AVPlayerViewControllerDelegate.playerViewController(_:restoreUserInterfaceForPictureInPictureStopWithCompletionHandler:)	optional func playerViewController(_ playerViewController: AVPlayerViewController, restoreUserInterfaceForPictureInPictureStopWithCompletionHandler completionHandler: @escaping (Bool) -> Void)
c:objc(pl)AVPlayerViewControllerDelegate(im)playerViewController:restoreUserInterfaceForPictureInPictureStopWithCompletionHandler:	d03739692bdeb3c4aa52457998f045fdbea53d37d853b8fcadb1e1d043c60030	reference/symbol-graphs/AVKit.symbols.json	0	1	0	swift.method	playerViewControllerRestoreUserInterfaceForPictureInPictureStop(_:)	AVPlayerViewControllerDelegate.playerViewControllerRestoreUserInterfaceForPictureInPictureStop(_:)	optional func playerViewControllerRestoreUserInterfaceForPictureInPictureStop(_ playerViewController: AVPlayerViewController) async -> Bool
s:SQsE2neoiySbx_xtFZ::SYNTHESIZED::c:@E@AVKitError	363ec149c17c7e587316051fd571416a8884e7b7257951edf166d09b3695899f	reference/symbol-graphs/AVKit.symbols.json	0	1	1	swift.func.op	!=(_:_:)	AVKitError.!=(_:_:)	static func != (lhs: Self, rhs: Self) -> Bool
s:SQsE2neoiySbx_xtFZ::SYNTHESIZED::c:@E@AVKitError	594f119ef59570ecedd949d955f737def01019fdd015c173b5ad78079cd7ddc8	reference/symbol-graphs/AVKit.symbols.json	0	1	0	swift.func.op	!=(_:_:)	AVKitError.Code.!=(_:_:)	static func != (lhs: Self, rhs: Self) -> Bool
