precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@BADownloaderPriorityDefault	swift.type.property	["BADownload","Priority","default"]	unmatched	none	0	0		[]
c:@BADownloaderPriorityMax	swift.type.property	["BADownload","Priority","max"]	unmatched	none	0	0		[]
c:@BADownloaderPriorityMin	swift.type.property	["BADownload","Priority","min"]	unmatched	none	0	0		[]
c:@BAErrorDomain	swift.var	["BAErrorDomain"]	unmatched	none	0	0		[]
c:@E@BAContentRequest	swift.enum	["BAContentRequest"]	unmatched	none	0	0		[]
c:@E@BAContentRequest@BAContentRequestInstall	swift.enum.case	["BAContentRequest","install"]	unmatched	none	0	0		[]
c:@E@BAContentRequest@BAContentRequestPeriodic	swift.enum.case	["BAContentRequest","periodic"]	unmatched	none	0	0		[]
c:@E@BAContentRequest@BAContentRequestUpdate	swift.enum.case	["BAContentRequest","update"]	unmatched	none	0	0		[]
c:@E@BADownloadState	swift.enum	["BADownload","State"]	unmatched	none	0	0		[]
c:@E@BADownloadState@BADownloadStateCreated	swift.enum.case	["BADownload","State","created"]	unmatched	none	0	0		[]
c:@E@BADownloadState@BADownloadStateDownloading	swift.enum.case	["BADownload","State","downloading"]	unmatched	none	0	0		[]
c:@E@BADownloadState@BADownloadStateFailed	swift.enum.case	["BADownload","State","failed"]	unmatched	none	0	0		[]
c:@E@BADownloadState@BADownloadStateFinished	swift.enum.case	["BADownload","State","finished"]	unmatched	none	0	0		[]
c:@E@BADownloadState@BADownloadStateWaiting	swift.enum.case	["BADownload","State","waiting"]	unmatched	none	0	0		[]
c:@E@BAErrorCode	swift.enum	["BAErrorCode"]	unmatched	none	0	0		[]
c:@E@BAErrorCode@BAErrorCodeCallFromExtensionNotAllowed	swift.enum.case	["BAErrorCode","callFromExtensionNotAllowed"]	unmatched	none	0	0		[]
c:@E@BAErrorCode@BAErrorCodeCallFromInactiveProcessNotAllowed	swift.enum.case	["BAErrorCode","callFromInactiveProcessNotAllowed"]	unmatched	none	0	0		[]
c:@E@BAErrorCode@BAErrorCodeCallerConnectionInvalid	swift.enum.case	["BAErrorCode","callerConnectionInvalid"]	unmatched	none	0	0		[]
c:@E@BAErrorCode@BAErrorCodeCallerConnectionNotAccepted	swift.enum.case	["BAErrorCode","callerConnectionNotAccepted"]	unmatched	none	0	0		[]
c:@E@BAErrorCode@BAErrorCodeDownloadAlreadyFailed	swift.enum.case	["BAErrorCode","downloadAlreadyFailed"]	unmatched	none	0	0		[]
c:@E@BAErrorCode@BAErrorCodeDownloadAlreadyScheduled	swift.enum.case	["BAErrorCode","downloadAlreadyScheduled"]	unmatched	none	0	0		[]
c:@E@BAErrorCode@BAErrorCodeDownloadBackgroundActivityProhibited	swift.enum.case	["BAErrorCode","downloadBackgroundActivityProhibited"]	unmatched	none	0	0		[]
c:@E@BAErrorCode@BAErrorCodeDownloadDoesNotExist	swift.enum.case	["BAErrorCode","downloadDoesNotExist"]	unmatched	none	0	0		[]
c:@E@BAErrorCode@BAErrorCodeDownloadEssentialDownloadNotPermitted	swift.enum.case	["BAErrorCode","downloadEssentialDownloadNotPermitted"]	unmatched	none	0	0		[]
c:@E@BAErrorCode@BAErrorCodeDownloadFailedToStart	swift.enum.case	["BAErrorCode","downloadFailedToStart"]	unmatched	none	0	0		[]
c:@E@BAErrorCode@BAErrorCodeDownloadInvalid	swift.enum.case	["BAErrorCode","downloadInvalid"]	unmatched	none	0	0		[]
c:@E@BAErrorCode@BAErrorCodeDownloadNotScheduled	swift.enum.case	["BAErrorCode","downloadNotScheduled"]	unmatched	none	0	0		[]
c:@E@BAErrorCode@BAErrorCodeDownloadWouldExceedAllowance	swift.enum.case	["BAErrorCode","downloadWouldExceedAllowance"]	unmatched	none	0	0		[]
c:@E@BAErrorCode@BAErrorCodeSessionDownloadAllowanceExceeded	swift.enum.case	["BAErrorCode","sessionDownloadAllowanceExceeded"]	unmatched	none	0	0		[]
c:@E@BAErrorCode@BAErrorCodeSessionDownloadDisallowedByAllowance	swift.enum.case	["BAErrorCode","sessionDownloadDisallowedByAllowance"]	unmatched	none	0	0		[]
c:@E@BAErrorCode@BAErrorCodeSessionDownloadDisallowedByDomain	swift.enum.case	["BAErrorCode","sessionDownloadDisallowedByDomain"]	unmatched	none	0	0		[]
c:@E@BAErrorCode@BAErrorCodeSessionDownloadNotPermittedBeforeAppLaunch	swift.enum.case	["BAErrorCode","sessionDownloadNotPermittedBeforeAppLaunch"]	unmatched	none	0	0		[]
c:@T@BADownloaderPriority	swift.struct	["BADownload","Priority"]	unmatched	none	0	0		[]
c:objc(cs)BAAppExtensionInfo	swift.class	["BAAppExtensionInfo"]	exact-usr	exact-usr	1	1	/ABIRoot/children/34	["/ABIRoot/children/34"]
c:objc(cs)BADownload	swift.class	["BADownload"]	import-name	exported-import-name	1	1	/ABIRoot/children/3	["/ABIRoot/children/3"]
c:objc(cs)BADownload(im)copyAsNonEssential	swift.method	["BADownload","removingEssential()"]	unmatched	none	0	0		[]
c:objc(cs)BADownload(py)identifier	swift.property	["BADownload","identifier"]	unmatched	none	0	0		[]
c:objc(cs)BADownload(py)isEssential	swift.property	["BADownload","isEssential"]	unmatched	none	0	0		[]
c:objc(cs)BADownload(py)priority	swift.property	["BADownload","priority"]	unmatched	none	0	0		[]
c:objc(cs)BADownload(py)state	swift.property	["BADownload","state"]	unmatched	none	0	0		[]
c:objc(cs)BADownload(py)uniqueIdentifier	swift.property	["BADownload","uniqueIdentifier"]	unmatched	none	0	0		[]
c:objc(cs)BADownloadManager	swift.class	["BADownloadManager"]	import-name	exported-import-name	1	1	/ABIRoot/children/6	["/ABIRoot/children/6"]
c:objc(cs)BADownloadManager(cpy)sharedManager	swift.type.property	["BADownloadManager","shared"]	unmatched	none	0	0		[]
c:objc(cs)BADownloadManager(im)cancelDownload:error:	swift.method	["BADownloadManager","cancel(_:)"]	unmatched	none	0	0		[]
c:objc(cs)BADownloadManager(im)fetchCurrentDownloads:	swift.method	["BADownloadManager","fetchCurrentDownloads()"]	unmatched	none	0	0		[]
c:objc(cs)BADownloadManager(im)fetchCurrentDownloadsWithCompletionHandler:	swift.method	["BADownloadManager","fetchCurrentDownloads(completionHandler:)"]	unmatched	none	0	0		[]
c:objc(cs)BADownloadManager(im)performWithExclusiveControl:	swift.method	["BADownloadManager","withExclusiveControl(_:)"]	unmatched	none	0	0		[]
c:objc(cs)BADownloadManager(im)performWithExclusiveControlBeforeDate:performHandler:	swift.method	["BADownloadManager","withExclusiveControl(beforeDate:perform:)"]	unmatched	none	0	0		[]
c:objc(cs)BADownloadManager(im)scheduleDownload:error:	swift.method	["BADownloadManager","scheduleDownload(_:)"]	unmatched	none	0	0		[]
c:objc(cs)BADownloadManager(im)startForegroundDownload:error:	swift.method	["BADownloadManager","startForegroundDownload(_:)"]	unmatched	none	0	0		[]
c:objc(cs)BADownloadManager(py)delegate	swift.property	["BADownloadManager","delegate"]	unmatched	none	0	0		[]
c:objc(cs)BAURLDownload	swift.class	["BAURLDownload"]	import-name	exported-import-name	1	1	/ABIRoot/children/7	["/ABIRoot/children/7"]
c:objc(cs)BAURLDownload(im)initWithIdentifier:request:applicationGroupIdentifier:	swift.init	["BAURLDownload","init(identifier:request:applicationGroupIdentifier:)"]	unmatched	none	0	0		[]
c:objc(cs)BAURLDownload(im)initWithIdentifier:request:applicationGroupIdentifier:priority:	swift.init	["BAURLDownload","init(identifier:request:applicationGroupIdentifier:priority:)"]	unmatched	none	0	0		[]
c:objc(cs)BAURLDownload(im)initWithIdentifier:request:essential:fileSize:applicationGroupIdentifier:priority:	swift.init	["BAURLDownload","init(identifier:request:essential:fileSize:applicationGroupIdentifier:priority:)"]	unmatched	none	0	0		[]
c:objc(cs)BAURLDownload(im)initWithIdentifier:request:fileSize:applicationGroupIdentifier:	swift.init	["BAURLDownload","init(identifier:request:fileSize:applicationGroupIdentifier:)"]	unmatched	none	0	0		[]
c:objc(pl)BADownloadManagerDelegate	swift.protocol	["BADownloadManagerDelegate"]	unmatched	none	0	0		[]
c:objc(pl)BADownloadManagerDelegate(im)download:didReceiveChallenge:completionHandler:	swift.method	["BADownloadManagerDelegate","download(_:didReceive:)"]	unmatched	none	0	0		[]
c:objc(pl)BADownloadManagerDelegate(im)download:didWriteBytes:totalBytesWritten:totalBytesExpectedToWrite:	swift.method	["BADownloadManagerDelegate","download(_:didWriteBytes:totalBytesWritten:totalBytesExpectedToWrite:)"]	unmatched	none	0	0		[]
c:objc(pl)BADownloadManagerDelegate(im)download:failedWithError:	swift.method	["BADownloadManagerDelegate","download(_:failedWithError:)"]	unmatched	none	0	0		[]
c:objc(pl)BADownloadManagerDelegate(im)download:finishedWithFileURL:	swift.method	["BADownloadManagerDelegate","download(_:finishedWithFileURL:)"]	unmatched	none	0	0		[]
c:objc(pl)BADownloadManagerDelegate(im)downloadDidBegin:	swift.method	["BADownloadManagerDelegate","downloadDidBegin(_:)"]	unmatched	none	0	0		[]
c:objc(pl)BADownloadManagerDelegate(im)downloadDidPause:	swift.method	["BADownloadManagerDelegate","downloadDidPause(_:)"]	unmatched	none	0	0		[]
c:objc(pl)NSCoding(im)initWithCoder:::SYNTHESIZED::c:objc(cs)BAAppExtensionInfo	swift.init	["BAAppExtensionInfo","init(coder:)"]	unmatched	none	0	0		[]
c:objc(pl)NSCoding(im)initWithCoder:::SYNTHESIZED::c:objc(cs)BADownload	swift.init	["BADownload","init(coder:)"]	unmatched	none	0	0		[]
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:16BackgroundAssets07ManagedaB5ErrorO	swift.property	["ManagedBackgroundAssetsError","helpAnchor"]	unmatched	none	0	0		[]
s:10Foundation14LocalizedErrorPAAE13failureReasonSSSgvp::SYNTHESIZED::s:16BackgroundAssets07ManagedaB5ErrorO	swift.property	["ManagedBackgroundAssetsError","failureReason"]	unmatched	none	0	0		[]
s:10Foundation14LocalizedErrorPAAE18recoverySuggestionSSSgvp::SYNTHESIZED::s:16BackgroundAssets07ManagedaB5ErrorO	swift.property	["ManagedBackgroundAssetsError","recoverySuggestion"]	unmatched	none	0	0		[]
s:16BackgroundAssets07ManagedaB5ErrorO	swift.enum	["ManagedBackgroundAssetsError"]	exact-usr	exact-usr	1	1	/ABIRoot/children/30	["/ABIRoot/children/30"]
s:16BackgroundAssets07ManagedaB5ErrorO11descriptionSSvp	swift.property	["ManagedBackgroundAssetsError","description"]	exact-usr	exact-usr	1	1	/ABIRoot/children/30/children/2	["/ABIRoot/children/30/children/2"]
s:16BackgroundAssets07ManagedaB5ErrorO12fileNotFoundyAC6System8FilePathV_tcACmF	swift.enum.case	["ManagedBackgroundAssetsError","fileNotFound(at:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/30/children/1	["/ABIRoot/children/30/children/1"]
s:16BackgroundAssets07ManagedaB5ErrorO16errorDescriptionSSSgvp	swift.property	["ManagedBackgroundAssetsError","errorDescription"]	exact-usr	exact-usr	1	1	/ABIRoot/children/30/children/3	["/ABIRoot/children/30/children/3"]
s:16BackgroundAssets07ManagedaB5ErrorO17assetPackNotFoundyACSS_tcACmF	swift.enum.case	["ManagedBackgroundAssetsError","assetPackNotFound(withID:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/30/children/0	["/ABIRoot/children/30/children/0"]
s:16BackgroundAssets16AssetPackManagerC	swift.class	["AssetPackManager"]	exact-usr	exact-usr	1	1	/ABIRoot/children/29	["/ABIRoot/children/29"]
s:16BackgroundAssets16AssetPackManagerC03allC5PacksShyAA0cD0VGvp	swift.property	["AssetPackManager","allAssetPacks"]	exact-usr	exact-usr	1	1	/ABIRoot/children/29/children/3	["/ABIRoot/children/29/children/3"]
s:16BackgroundAssets16AssetPackManagerC05assetD06withIDAA0cD0VSS_tYaKF	swift.method	["AssetPackManager","assetPack(withID:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/29/children/4	["/ABIRoot/children/29/children/4"]
s:16BackgroundAssets16AssetPackManagerC10descriptor3for011searchingIncD6WithID6System14FileDescriptorVAG0M4PathV_SSSgtKF	swift.method	["AssetPackManager","descriptor(for:searchingInAssetPackWithID:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/29/children/10	["/ABIRoot/children/29/children/10"]
s:16BackgroundAssets16AssetPackManagerC13statusUpdates03forcD6WithIDQrSS_tF	swift.method	["AssetPackManager","statusUpdates(forAssetPackWithID:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/29/children/8	["/ABIRoot/children/29/children/8"]
s:16BackgroundAssets16AssetPackManagerC13statusUpdatesQrvp	swift.property	["AssetPackManager","statusUpdates"]	exact-usr	exact-usr	1	1	/ABIRoot/children/29/children/2	["/ABIRoot/children/29/children/2"]
s:16BackgroundAssets16AssetPackManagerC15checkForUpdatesShySSG11updatingIDs_AE07removedJ0tyYaKF	swift.method	["AssetPackManager","checkForUpdates()"]	exact-usr	exact-usr	1	1	/ABIRoot/children/29/children/7	["/ABIRoot/children/29/children/7"]
s:16BackgroundAssets16AssetPackManagerC15unownedExecutorScevp	swift.property	["AssetPackManager","unownedExecutor"]	exact-usr	exact-usr	1	1	/ABIRoot/children/29/children/13	["/ABIRoot/children/29/children/13"]
s:16BackgroundAssets16AssetPackManagerC20DownloadStatusUpdateO	swift.enum	["AssetPackManager","DownloadStatusUpdate"]	exact-usr	exact-usr	1	1	/ABIRoot/children/29/children/0	["/ABIRoot/children/29/children/0"]
s:16BackgroundAssets16AssetPackManagerC20DownloadStatusUpdateO11descriptionSSvp	swift.property	["AssetPackManager","DownloadStatusUpdate","description"]	exact-usr	exact-usr	1	1	/ABIRoot/children/29/children/0/children/5	["/ABIRoot/children/29/children/0/children/5"]
s:16BackgroundAssets16AssetPackManagerC20DownloadStatusUpdateO11downloadingyAeA0cD0V_So10NSProgressCtcAEmF	swift.enum.case	["AssetPackManager","DownloadStatusUpdate","downloading(_:_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/29/children/0/children/2	["/ABIRoot/children/29/children/0/children/2"]
s:16BackgroundAssets16AssetPackManagerC20DownloadStatusUpdateO5beganyAeA0cD0VcAEmF	swift.enum.case	["AssetPackManager","DownloadStatusUpdate","began(_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/29/children/0/children/0	["/ABIRoot/children/29/children/0/children/0"]
s:16BackgroundAssets16AssetPackManagerC20DownloadStatusUpdateO6failedyAeA0cD0V_s5Error_ptcAEmF	swift.enum.case	["AssetPackManager","DownloadStatusUpdate","failed(_:_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/29/children/0/children/4	["/ABIRoot/children/29/children/0/children/4"]
s:16BackgroundAssets16AssetPackManagerC20DownloadStatusUpdateO6pausedyAeA0cD0VcAEmF	swift.enum.case	["AssetPackManager","DownloadStatusUpdate","paused(_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/29/children/0/children/1	["/ABIRoot/children/29/children/0/children/1"]
s:16BackgroundAssets16AssetPackManagerC20DownloadStatusUpdateO8finishedyAeA0cD0VcAEmF	swift.enum.case	["AssetPackManager","DownloadStatusUpdate","finished(_:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/29/children/0/children/3	["/ABIRoot/children/29/children/0/children/3"]
s:16BackgroundAssets16AssetPackManagerC23ensureLocalAvailability2ofyAA0cD0V_tYaKF	swift.method	["AssetPackManager","ensureLocalAvailability(of:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/29/children/6	["/ABIRoot/children/29/children/6"]
s:16BackgroundAssets16AssetPackManagerC3url3for10Foundation3URLV6System8FilePathV_tKF	swift.method	["AssetPackManager","url(for:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/29/children/11	["/ABIRoot/children/29/children/11"]
s:16BackgroundAssets16AssetPackManagerC6remove05assetD6WithIDySS_tYaKF	swift.method	["AssetPackManager","remove(assetPackWithID:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/29/children/12	["/ABIRoot/children/29/children/12"]
s:16BackgroundAssets16AssetPackManagerC6sharedACvpZ	swift.type.property	["AssetPackManager","shared"]	exact-usr	exact-usr	1	1	/ABIRoot/children/29/children/1	["/ABIRoot/children/29/children/1"]
s:16BackgroundAssets16AssetPackManagerC6status02ofcD6WithIDAA0cD0V6StatusVSS_tYaKF	swift.method	["AssetPackManager","status(ofAssetPackWithID:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/29/children/5	["/ABIRoot/children/29/children/5"]
s:16BackgroundAssets16AssetPackManagerC8contents2at011searchingIncD6WithID7options10Foundation4DataV6System8FilePathV_SSSgSo20NSDataReadingOptionsVtKF	swift.method	["AssetPackManager","contents(at:searchingInAssetPackWithID:options:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/29/children/9	["/ABIRoot/children/29/children/9"]
s:16BackgroundAssets17AssetPackManifestV	swift.struct	["AssetPackManifest"]	exact-usr	exact-usr	1	1	/ABIRoot/children/33	["/ABIRoot/children/33"]
s:16BackgroundAssets17AssetPackManifestV10assetPacksShyAA0cD0VGvp	swift.property	["AssetPackManifest","assetPacks"]	exact-usr	exact-usr	1	1	/ABIRoot/children/33/children/1	["/ABIRoot/children/33/children/1"]
s:16BackgroundAssets17AssetPackManifestV10contentsOf10appGroupIDAC10Foundation3URLV_SStKcfc	swift.init	["AssetPackManifest","init(contentsOf:appGroupID:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/33/children/3	["/ABIRoot/children/33/children/3"]
s:16BackgroundAssets17AssetPackManifestV11descriptionSSvp	swift.property	["AssetPackManifest","description"]	exact-usr	exact-usr	1	1	/ABIRoot/children/33/children/2	["/ABIRoot/children/33/children/2"]
s:16BackgroundAssets17AssetPackManifestV12allDownloads3forShySo10BADownloadCGSo16BAContentRequestVSg_tF	swift.method	["AssetPackManifest","allDownloads(for:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/33/children/6	["/ABIRoot/children/33/children/6"]
s:16BackgroundAssets17AssetPackManifestV21DecodingConfigurationV	swift.struct	["AssetPackManifest","DecodingConfiguration"]	exact-usr	exact-usr	1	1	/ABIRoot/children/33/children/0	["/ABIRoot/children/33/children/0"]
