precise	kind	title	path	declaration
c:@F@be_kevent	swift.func	be_kevent(_:_:_:_:_:_:)	be_kevent(_:_:_:_:_:_:)	func be_kevent(_ kq: Int32, _ changelist: UnsafePointer<kevent>!, _ nchanges: Int32, _ eventlist: UnsafeMutablePointer<kevent>!, _ nevents: Int32, _ be_flags: UInt32) -> Int32
c:@F@be_kevent64	swift.func	be_kevent64(_:_:_:_:_:_:)	be_kevent64(_:_:_:_:_:_:)	func be_kevent64(_ kq: Int32, _ changelist: UnsafePointer<kevent64_s>!, _ nchanges: Int32, _ eventlist: UnsafeMutablePointer<kevent64_s>!, _ nevents: Int32, _ flags: UInt32) -> Int32
c:@M@BrowserEngineCore@objc(cs)BEAudioSession	swift.class	BEAudioSession	BEAudioSession	@objc(BEAudioSession) class BEAudioSession
c:@M@BrowserEngineCore@objc(cs)BEAudioSession(im)initWithAudioSession:	swift.init	init(audioSession:)	BEAudioSession.init(audioSession:)	@objc(initWithAudioSession:) init(audioSession: AVAudioSession)
c:@M@BrowserEngineCore@objc(cs)BEAudioSession(im)setPreferredOutput:error:	swift.method	setPreferredOutput(_:)	BEAudioSession.setPreferredOutput(_:)	@objc(setPreferredOutput:error:) func setPreferredOutput(_ outputPort: AVAudioSessionPortDescription?) throws
c:@M@BrowserEngineCore@objc(cs)BEAudioSession(py)availableOutputs	swift.property	availableOutputs	BEAudioSession.availableOutputs	@objc(availableOutputs) var availableOutputs: Array<AVAudioSessionPortDescription> { get }
c:@M@BrowserEngineCore@objc(cs)BEAudioSession(py)preferredOutput	swift.property	preferredOutput	BEAudioSession.preferredOutput	@objc(preferredOutput) var preferredOutput: AVAudioSessionPortDescription? { get }
c:@macro@BE_JIT_WRITE_PROTECT_TAG	swift.var	BE_JIT_WRITE_PROTECT_TAG	BE_JIT_WRITE_PROTECT_TAG	var BE_JIT_WRITE_PROTECT_TAG: Int { get }
c:@macro@BE_KEVENT_NO_FLAGS	swift.var	BE_KEVENT_NO_FLAGS	BE_KEVENT_NO_FLAGS	var BE_KEVENT_NO_FLAGS: Int32 { get }
c:@macro@BE_KEVENT_RETURN_IMMEDIATELY	swift.var	BE_KEVENT_RETURN_IMMEDIATELY	BE_KEVENT_RETURN_IMMEDIATELY	var BE_KEVENT_RETURN_IMMEDIATELY: Int32 { get }
c:objc(cs)BEAudioSession	swift.class	BEAudioSession	BEAudioSession	class BEAudioSession
c:objc(cs)BEAudioSession(im)initWithAudioSession:	swift.init	init(audioSession:)	BEAudioSession.init(audioSession:)	init(audioSession: AVAudioSession)
c:objc(cs)BEAudioSession(im)setPreferredOutput:error:	swift.method	setPreferredOutput(_:)	BEAudioSession.setPreferredOutput(_:)	func setPreferredOutput(_ outPort: AVAudioSessionPortDescription?) throws
c:objc(cs)BEAudioSession(py)availableOutputs	swift.property	availableOutputs	BEAudioSession.availableOutputs	var availableOutputs: [AVAudioSessionPortDescription]? { get }
c:objc(cs)BEAudioSession(py)preferredOutput	swift.property	preferredOutput	BEAudioSession.preferredOutput	var preferredOutput: AVAudioSessionPortDescription? { get }
