precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@BEAccessibilitySelectionChangedNotification	swift.type.property	["BEAccessibility","selectionChangedNotification"]	unmatched	none	0	0		[]
c:@BEAccessibilityTraitMenuItem	swift.type.property	["BEAccessibility","menuItem"]	unmatched	none	0	0		[]
c:@BEAccessibilityTraitPopUpButton	swift.type.property	["BEAccessibility","popUpButton"]	unmatched	none	0	0		[]
c:@BEAccessibilityTraitRadioButton	swift.type.property	["BEAccessibility","radioButton"]	unmatched	none	0	0		[]
c:@BEAccessibilityTraitReadOnly	swift.type.property	["BEAccessibility","readOnly"]	unmatched	none	0	0		[]
c:@BEAccessibilityTraitVisited	swift.type.property	["BEAccessibility","visited"]	unmatched	none	0	0		[]
c:@BEAccessibilityValueChangedNotification	swift.type.property	["BEAccessibility","valueChangedNotification"]	unmatched	none	0	0		[]
c:@E@BEAccessibilityContainerType	swift.struct	["BEAccessibilityContainerType"]	unmatched	none	0	0		[]
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeAlert	swift.type.property	["BEAccessibilityContainerType","alert"]	unmatched	none	0	0		[]
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeArticle	swift.type.property	["BEAccessibilityContainerType","article"]	unmatched	none	0	0		[]
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeDescriptionList	swift.type.property	["BEAccessibilityContainerType","descriptionList"]	unmatched	none	0	0		[]
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeDialog	swift.type.property	["BEAccessibilityContainerType","dialog"]	unmatched	none	0	0		[]
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeFieldset	swift.type.property	["BEAccessibilityContainerType","fieldset"]	unmatched	none	0	0		[]
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeFrame	swift.type.property	["BEAccessibilityContainerType","frame"]	unmatched	none	0	0		[]
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeLandmark	swift.type.property	["BEAccessibilityContainerType","landmark"]	unmatched	none	0	0		[]
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeList	swift.type.property	["BEAccessibilityContainerType","list"]	unmatched	none	0	0		[]
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeScrollArea	swift.type.property	["BEAccessibilityContainerType","scrollArea"]	unmatched	none	0	0		[]
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeSemanticGroup	swift.type.property	["BEAccessibilityContainerType","semanticGroup"]	unmatched	none	0	0		[]
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeTable	swift.type.property	["BEAccessibilityContainerType","table"]	unmatched	none	0	0		[]
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeTree	swift.type.property	["BEAccessibilityContainerType","tree"]	unmatched	none	0	0		[]
c:@E@BEAccessibilityPressedState	swift.enum	["BEAccessibilityPressedState"]	unmatched	none	0	0		[]
c:@E@BEAccessibilityPressedState@BEAccessibilityPressedStateFalse	swift.enum.case	["BEAccessibilityPressedState","false"]	unmatched	none	0	0		[]
c:@E@BEAccessibilityPressedState@BEAccessibilityPressedStateMixed	swift.enum.case	["BEAccessibilityPressedState","mixed"]	unmatched	none	0	0		[]
c:@E@BEAccessibilityPressedState@BEAccessibilityPressedStateTrue	swift.enum.case	["BEAccessibilityPressedState","true"]	unmatched	none	0	0		[]
c:@E@BEAccessibilityPressedState@BEAccessibilityPressedStateUndefined	swift.enum.case	["BEAccessibilityPressedState","undefined"]	unmatched	none	0	0		[]
c:@E@BEGestureType	swift.enum	["BEGestureType"]	unmatched	none	0	0		[]
c:@E@BEGestureType@BEGestureTypeDoubleTap	swift.enum.case	["BEGestureType","doubleTap"]	unmatched	none	0	0		[]
c:@E@BEGestureType@BEGestureTypeDoubleTapAndHold	swift.enum.case	["BEGestureType","doubleTapAndHold"]	unmatched	none	0	0		[]
c:@E@BEGestureType@BEGestureTypeForceTouch	swift.enum.case	["BEGestureType","forceTouch"]	unmatched	none	0	0		[]
c:@E@BEGestureType@BEGestureTypeIMPhraseBoundaryDrag	swift.enum.case	["BEGestureType","imPhraseBoundaryDrag"]	unmatched	none	0	0		[]
c:@E@BEGestureType@BEGestureTypeLoupe	swift.enum.case	["BEGestureType","loupe"]	unmatched	none	0	0		[]
c:@E@BEGestureType@BEGestureTypeOneFingerDoubleTap	swift.enum.case	["BEGestureType","oneFingerDoubleTap"]	unmatched	none	0	0		[]
c:@E@BEGestureType@BEGestureTypeOneFingerTap	swift.enum.case	["BEGestureType","oneFingerTap"]	unmatched	none	0	0		[]
c:@E@BEGestureType@BEGestureTypeOneFingerTripleTap	swift.enum.case	["BEGestureType","oneFingerTripleTap"]	unmatched	none	0	0		[]
c:@E@BEGestureType@BEGestureTypeTwoFingerRangedSelectGesture	swift.enum.case	["BEGestureType","twoFingerRangedSelectGesture"]	unmatched	none	0	0		[]
c:@E@BEGestureType@BEGestureTypeTwoFingerSingleTap	swift.enum.case	["BEGestureType","twoFingerSingleTap"]	unmatched	none	0	0		[]
c:@E@BEKeyModifierFlags	swift.enum	["BEKeyModifierFlags"]	unmatched	none	0	0		[]
c:@E@BEKeyModifierFlags@BEKeyModifierFlagCapsLock	swift.enum.case	["BEKeyModifierFlags","capsLock"]	unmatched	none	0	0		[]
c:@E@BEKeyModifierFlags@BEKeyModifierFlagNone	swift.enum.case	["BEKeyModifierFlags","none"]	unmatched	none	0	0		[]
c:@E@BEKeyModifierFlags@BEKeyModifierFlagShift	swift.enum.case	["BEKeyModifierFlags","shift"]	unmatched	none	0	0		[]
c:@E@BEKeyPressState	swift.enum	["BEKeyEntry","KeyPressState"]	unmatched	none	0	0		[]
c:@E@BEKeyPressState@BEKeyPressStateDown	swift.enum.case	["BEKeyEntry","KeyPressState","down"]	unmatched	none	0	0		[]
c:@E@BEKeyPressState@BEKeyPressStateUp	swift.enum.case	["BEKeyEntry","KeyPressState","up"]	unmatched	none	0	0		[]
c:@E@BEScrollViewScrollUpdatePhase	swift.enum	["BEScrollViewScrollUpdate","Phase"]	unmatched	none	0	0		[]
c:@E@BEScrollViewScrollUpdatePhase@BEScrollViewScrollUpdatePhaseBegan	swift.enum.case	["BEScrollViewScrollUpdate","Phase","began"]	unmatched	none	0	0		[]
c:@E@BEScrollViewScrollUpdatePhase@BEScrollViewScrollUpdatePhaseCancelled	swift.enum.case	["BEScrollViewScrollUpdate","Phase","cancelled"]	unmatched	none	0	0		[]
c:@E@BEScrollViewScrollUpdatePhase@BEScrollViewScrollUpdatePhaseChanged	swift.enum.case	["BEScrollViewScrollUpdate","Phase","changed"]	unmatched	none	0	0		[]
c:@E@BEScrollViewScrollUpdatePhase@BEScrollViewScrollUpdatePhaseEnded	swift.enum.case	["BEScrollViewScrollUpdate","Phase","ended"]	unmatched	none	0	0		[]
c:@E@BESelectionFlags	swift.struct	["BESelectionFlags"]	unmatched	none	0	0		[]
c:@E@BESelectionFlags@BEPhraseBoundaryChanged	swift.type.property	["BESelectionFlags","phraseBoundaryChanged"]	unmatched	none	0	0		[]
c:@E@BESelectionFlags@BESelectionFlipped	swift.type.property	["BESelectionFlags","selectionFlipped"]	unmatched	none	0	0		[]
c:@E@BESelectionFlags@BEWordIsNearTap	swift.type.property	["BESelectionFlags","wordIsNearTap"]	unmatched	none	0	0		[]
c:@E@BESelectionTouchPhase	swift.enum	["BESelectionTouchPhase"]	unmatched	none	0	0		[]
c:@E@BESelectionTouchPhase@BESelectionTouchPhaseEnded	swift.enum.case	["BESelectionTouchPhase","ended"]	unmatched	none	0	0		[]
c:@E@BESelectionTouchPhase@BESelectionTouchPhaseEndedMovingBackward	swift.enum.case	["BESelectionTouchPhase","endedMovingBackward"]	unmatched	none	0	0		[]
