precise	kind	title	path	declaration
c:@BEAccessibilitySelectionChangedNotification	swift.type.property	selectionChangedNotification	BEAccessibility.selectionChangedNotification	static var selectionChangedNotification: UIAccessibility.Notification
c:@BEAccessibilityTraitMenuItem	swift.type.property	menuItem	BEAccessibility.menuItem	static var menuItem: UIAccessibilityTraits
c:@BEAccessibilityTraitPopUpButton	swift.type.property	popUpButton	BEAccessibility.popUpButton	static var popUpButton: UIAccessibilityTraits
c:@BEAccessibilityTraitRadioButton	swift.type.property	radioButton	BEAccessibility.radioButton	static var radioButton: UIAccessibilityTraits
c:@BEAccessibilityTraitReadOnly	swift.type.property	readOnly	BEAccessibility.readOnly	static var readOnly: UIAccessibilityTraits
c:@BEAccessibilityTraitVisited	swift.type.property	visited	BEAccessibility.visited	static var visited: UIAccessibilityTraits
c:@BEAccessibilityValueChangedNotification	swift.type.property	valueChangedNotification	BEAccessibility.valueChangedNotification	static var valueChangedNotification: UIAccessibility.Notification
c:@E@BEAccessibilityContainerType	swift.struct	BEAccessibilityContainerType	BEAccessibilityContainerType	struct BEAccessibilityContainerType
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeAlert	swift.type.property	alert	BEAccessibilityContainerType.alert	static var alert: BEAccessibilityContainerType { get }
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeArticle	swift.type.property	article	BEAccessibilityContainerType.article	static var article: BEAccessibilityContainerType { get }
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeDescriptionList	swift.type.property	descriptionList	BEAccessibilityContainerType.descriptionList	static var descriptionList: BEAccessibilityContainerType { get }
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeDialog	swift.type.property	dialog	BEAccessibilityContainerType.dialog	static var dialog: BEAccessibilityContainerType { get }
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeFieldset	swift.type.property	fieldset	BEAccessibilityContainerType.fieldset	static var fieldset: BEAccessibilityContainerType { get }
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeFrame	swift.type.property	frame	BEAccessibilityContainerType.frame	static var frame: BEAccessibilityContainerType { get }
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeLandmark	swift.type.property	landmark	BEAccessibilityContainerType.landmark	static var landmark: BEAccessibilityContainerType { get }
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeList	swift.type.property	list	BEAccessibilityContainerType.list	static var list: BEAccessibilityContainerType { get }
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeScrollArea	swift.type.property	scrollArea	BEAccessibilityContainerType.scrollArea	static var scrollArea: BEAccessibilityContainerType { get }
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeSemanticGroup	swift.type.property	semanticGroup	BEAccessibilityContainerType.semanticGroup	static var semanticGroup: BEAccessibilityContainerType { get }
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeTable	swift.type.property	table	BEAccessibilityContainerType.table	static var table: BEAccessibilityContainerType { get }
c:@E@BEAccessibilityContainerType@BEAccessibilityContainerTypeTree	swift.type.property	tree	BEAccessibilityContainerType.tree	static var tree: BEAccessibilityContainerType { get }
c:@E@BEAccessibilityPressedState	swift.enum	BEAccessibilityPressedState	BEAccessibilityPressedState	enum BEAccessibilityPressedState
c:@E@BEAccessibilityPressedState@BEAccessibilityPressedStateFalse	swift.enum.case	BEAccessibilityPressedState.false	BEAccessibilityPressedState.false	case `false`
