precise	kind	title	path	declaration
c:@CXCallDirectoryPhoneNumberMax	swift.var	CXCallDirectoryPhoneNumberMax	CXCallDirectoryPhoneNumberMax	let CXCallDirectoryPhoneNumberMax: CXCallDirectoryPhoneNumber
c:@CXErrorDomain	swift.var	CXErrorDomain	CXErrorDomain	let CXErrorDomain: String
c:@CXErrorDomainCallDirectoryManager	swift.var	CXErrorDomainCallDirectoryManager	CXErrorDomainCallDirectoryManager	let CXErrorDomainCallDirectoryManager: String
c:@CXErrorDomainIncomingCall	swift.var	CXErrorDomainIncomingCall	CXErrorDomainIncomingCall	let CXErrorDomainIncomingCall: String
c:@CXErrorDomainNotificationServiceExtension	swift.var	CXErrorDomainNotificationServiceExtension	CXErrorDomainNotificationServiceExtension	let CXErrorDomainNotificationServiceExtension: String
c:@CXErrorDomainRequestTransaction	swift.var	CXErrorDomainRequestTransaction	CXErrorDomainRequestTransaction	let CXErrorDomainRequestTransaction: String
c:@E@CXCallDirectoryEnabledStatus	swift.enum	CXCallDirectoryManager.EnabledStatus	CXCallDirectoryManager.EnabledStatus	enum EnabledStatus
c:@E@CXCallDirectoryEnabledStatus@CXCallDirectoryEnabledStatusDisabled	swift.enum.case	CXCallDirectoryManager.EnabledStatus.disabled	CXCallDirectoryManager.EnabledStatus.disabled	case disabled
c:@E@CXCallDirectoryEnabledStatus@CXCallDirectoryEnabledStatusEnabled	swift.enum.case	CXCallDirectoryManager.EnabledStatus.enabled	CXCallDirectoryManager.EnabledStatus.enabled	case enabled
c:@E@CXCallDirectoryEnabledStatus@CXCallDirectoryEnabledStatusUnknown	swift.enum.case	CXCallDirectoryManager.EnabledStatus.unknown	CXCallDirectoryManager.EnabledStatus.unknown	case unknown
c:@E@CXCallEndedReason	swift.enum	CXCallEndedReason	CXCallEndedReason	enum CXCallEndedReason
c:@E@CXCallEndedReason@CXCallEndedReasonAnsweredElsewhere	swift.enum.case	CXCallEndedReason.answeredElsewhere	CXCallEndedReason.answeredElsewhere	case answeredElsewhere
c:@E@CXCallEndedReason@CXCallEndedReasonDeclinedElsewhere	swift.enum.case	CXCallEndedReason.declinedElsewhere	CXCallEndedReason.declinedElsewhere	case declinedElsewhere
c:@E@CXCallEndedReason@CXCallEndedReasonFailed	swift.enum.case	CXCallEndedReason.failed	CXCallEndedReason.failed	case failed
c:@E@CXCallEndedReason@CXCallEndedReasonRemoteEnded	swift.enum.case	CXCallEndedReason.remoteEnded	CXCallEndedReason.remoteEnded	case remoteEnded
c:@E@CXCallEndedReason@CXCallEndedReasonUnanswered	swift.enum.case	CXCallEndedReason.unanswered	CXCallEndedReason.unanswered	case unanswered
c:@E@CXErrorCode	swift.enum	CXError.Code	CXError.Code	enum Code
c:@E@CXErrorCode@CXErrorCodeInvalidArgument	swift.enum.case	CXError.Code.invalidArgument	CXError.Code.invalidArgument	case invalidArgument
