precise	status	evidence	notes
s:6CarKey0aB13RemoteControlC	implemented	test:full/carkey/tests/agent/CarKeySessionTests.swift#testRegisterAndUnregisterLaunchEvents	
s:6CarKey0aB13RemoteControlC019registerForLaunchOnaB5EventyyKFZ	implemented	test:full/carkey/tests/agent/CarKeySessionTests.swift#testRegisterAndUnregisterLaunchEvents	
s:6CarKey0aB13RemoteControlC021unregisterForLaunchOnaB5EventyyKFZ	implemented	test:full/carkey/tests/agent/CarKeySessionTests.swift#testRegisterAndUnregisterLaunchEvents	
s:6CarKey0aB13RemoteControlC5start8delegate17subscriptionRange4withAA0abcD7SessionCAA0abcdJ8Delegate_p_SNySiGSgSo17OS_dispatch_queueCSgtYaKFZ	declared	source:full/carkey/CarKeyRemoteControl.swift#start	async start(delegate:subscriptionRange:with:) cannot be awaited from the sealed sync runner
s:6CarKey0aB20RemoteControlSessionC	implemented	test:full/carkey/tests/agent/CarKeySessionTests.swift#testInactiveSessionVehicleReports	
s:6CarKey0aB20RemoteControlSessionC11AttestationV	implemented	test:full/carkey/tests/agent/CarKeySessionTests.swift#testAttestationStoredProperties	
s:6CarKey0aB20RemoteControlSessionC11AttestationV10signedData10Foundation0H0Vvp	implemented	test:full/carkey/tests/agent/CarKeySessionTests.swift#testAttestationStoredProperties	
s:6CarKey0aB20RemoteControlSessionC11AttestationV19appBundleIdentifierSSvp	implemented	test:full/carkey/tests/agent/CarKeySessionTests.swift#testAttestationStoredProperties	
s:6CarKey0aB20RemoteControlSessionC11AttestationV5nonce10Foundation4DataVvp	implemented	test:full/carkey/tests/agent/CarKeySessionTests.swift#testAttestationStoredProperties	
s:6CarKey0aB20RemoteControlSessionC11AttestationV9signature10Foundation4DataVvp	implemented	test:full/carkey/tests/agent/CarKeySessionTests.swift#testAttestationStoredProperties	
s:6CarKey0aB20RemoteControlSessionC14vehicleReportsSayAA13VehicleReportVGvp	implemented	test:full/carkey/tests/agent/CarKeySessionTests.swift#testInactiveSessionVehicleReports	
s:6CarKey0aB20RemoteControlSessionC19sendPassthroughData_9toVehicley10Foundation0H0V_SStKF	implemented	test:full/carkey/tests/agent/CarKeySessionTests.swift#testInactiveSessionSendPassthrough	
s:6CarKey0aB20RemoteControlSessionC20ContinuationStrategyO	implemented	test:full/carkey/tests/agent/CarKeyIdentifierTests.swift#testContinuationStrategy	
s:6CarKey0aB20RemoteControlSessionC20ContinuationStrategyO2eeoiySbAE_AEtFZ	implemented	test:full/carkey/tests/agent/CarKeyIdentifierTests.swift#testContinuationStrategy	
s:6CarKey0aB20RemoteControlSessionC20ContinuationStrategyO4hash4intoys6HasherVz_tF	implemented	test:full/carkey/tests/agent/CarKeyIdentifierTests.swift#testContinuationStrategy	
s:6CarKey0aB20RemoteControlSessionC20ContinuationStrategyO6manualyA2EmF	implemented	test:full/carkey/tests/agent/CarKeyIdentifierTests.swift#testContinuationStrategy	
s:6CarKey0aB20RemoteControlSessionC20ContinuationStrategyO9automaticyA2EmF	implemented	test:full/carkey/tests/agent/CarKeyIdentifierTests.swift#testContinuationStrategy	
s:6CarKey0aB20RemoteControlSessionC20ContinuationStrategyO9hashValueSivp	implemented	test:full/carkey/tests/agent/CarKeyIdentifierTests.swift#testContinuationStrategy	
s:6CarKey0aB20RemoteControlSessionC23isPassiveEntryAvailable10forVehicleSbSS_tKF	implemented	test:full/carkey/tests/agent/CarKeySessionTests.swift#testInactiveSessionPassiveEntry	
s:6CarKey0aB20RemoteControlSessionC3endyyKF	implemented	test:full/carkey/tests/agent/CarKeySessionTests.swift#testInactiveSessionEnd	
s:6CarKey0aB20RemoteControlSessionC4sign4data10forVehicleAC11AttestationV10Foundation4DataV_SStKF	implemented	test:full/carkey/tests/agent/CarKeySessionTests.swift#testInactiveSessionSign	
s:6CarKey0aB20RemoteControlSessionC7perform_20continuationStrategyAA0C38KeylessEntryConfigurableEnduringActionV0L16ExecutionRequestCAG_AC012ContinuationH0OtKF	implemented	test:full/carkey/tests/agent/CarKeySessionTests.swift#testInactiveSessionPerformConfigurableAction	
s:6CarKey0aB20RemoteControlSessionC7performyAA0C18KeylessEntryActionV16ExecutionRequestCAFKF	implemented	test:full/carkey/tests/agent/CarKeySessionTests.swift#testInactiveSessionPerformAction	
s:6CarKey0aB20RemoteControlSessionC7performyAA0C26KeylessEntryEnduringActionV0I16ExecutionRequestCAFKF	implemented	test:full/carkey/tests/agent/CarKeySessionTests.swift#testInactiveSessionPerformEnduringAction	
s:6CarKey0aB28RemoteControlSessionDelegateP	implemented	test:full/carkey/tests/agent/CarKeyDelegateTests.swift#testDelegateRequirements	
s:6CarKey0aB28RemoteControlSessionDelegateP06remotedE0_09didCreateB010forVehicleyAA0abcdE0C_S2StF	implemented	test:full/carkey/tests/agent/CarKeyDelegateTests.swift#testDelegateDefaultDidCreateKey	
s:6CarKey0aB28RemoteControlSessionDelegateP06remotedE0_22didInvalidateWithErroryAA0abcdE0C_AA0abK4CodeOtF	implemented	test:full/carkey/tests/agent/CarKeyDelegateTests.swift#testDelegateRequirements	
s:6CarKey0aB28RemoteControlSessionDelegateP06remotedE0_22vehicleDidUpdateReportyAA0abcdE0C_AA07VehicleK0VtF	implemented	test:full/carkey/tests/agent/CarKeyDelegateTests.swift#testDelegateRequirements	
s:6CarKey0aB28RemoteControlSessionDelegateP06remotedE0_25didReceivePassthroughData11fromVehicleyAA0abcdE0C_10Foundation0K0VSStF	implemented	test:full/carkey/tests/agent/CarKeyDelegateTests.swift#testDelegateRequirements	
s:6CarKey0aB28RemoteControlSessionDelegatePAAE06remotedE0_09didCreateB010forVehicleyAA0abcdE0C_S2StF	implemented	test:full/carkey/tests/agent/CarKeyDelegateTests.swift#testDelegateDefaultDidCreateKey	
s:6CarKey0aB9ErrorCodeO	implemented	test:full/carkey/tests/agent/CarKeyErrorTests.swift#testCarKeyErrorCodeEquality	
s:6CarKey0aB9ErrorCodeO14MessageTooLongyA2CmF	implemented	test:full/carkey/tests/agent/CarKeyErrorTests.swift#testCarKeyErrorCodeCases	
s:6CarKey0aB9ErrorCodeO15FunctionUnknownyA2CmF	implemented	test:full/carkey/tests/agent/CarKeyErrorTests.swift#testCarKeyErrorCodeCases	
s:6CarKey0aB9ErrorCodeO15RequestTimedOutyA2CmF	implemented	test:full/carkey/tests/agent/CarKeyErrorTests.swift#testCarKeyErrorCodeCases	
s:6CarKey0aB9ErrorCodeO15VehicleNotFoundyA2CmF	implemented	test:full/carkey/tests/agent/CarKeyErrorTests.swift#testCarKeyErrorCodeCases	
s:6CarKey0aB9ErrorCodeO16SessionNotActiveyA2CmF	implemented	test:full/carkey/tests/agent/CarKeyErrorTests.swift#testCarKeyErrorCodeCases	
s:6CarKey0aB9ErrorCodeO17SecurityViolationyA2CmF	implemented	test:full/carkey/tests/agent/CarKeyErrorTests.swift#testCarKeyErrorCodeCases	
s:6CarKey0aB9ErrorCodeO18ClientInBackgroundyA2CmF	implemented	test:full/carkey/tests/agent/CarKeyErrorTests.swift#testCarKeyErrorCodeCases	
s:6CarKey0aB9ErrorCodeO19FeatureNotSupportedyA2CmF	implemented	test:full/carkey/tests/agent/CarKeyErrorTests.swift#testCarKeyErrorCodeCases	
s:6CarKey0aB9ErrorCodeO19VehicleNotConnectedyA2CmF	implemented	test:full/carkey/tests/agent/CarKeyErrorTests.swift#testCarKeyErrorCodeCases	
s:6CarKey0aB9ErrorCodeO20RequestNotInProgressyA2CmF	implemented	test:full/carkey/tests/agent/CarKeyErrorTests.swift#testCarKeyErrorCodeCases	
s:6CarKey0aB9ErrorCodeO24AnotherRequestInProgressyA2CmF	implemented	test:full/carkey/tests/agent/CarKeyErrorTests.swift#testCarKeyErrorCodeCases	
s:6CarKey0aB9ErrorCodeO2eeoiySbAC_ACtFZ	implemented	test:full/carkey/tests/agent/CarKeyErrorTests.swift#testCarKeyErrorCodeEquality	
s:6CarKey0aB9ErrorCodeO31EnduringRequestUsingEventMethodyA2CmF	implemented	test:full/carkey/tests/agent/CarKeyErrorTests.swift#testCarKeyErrorCodeCases	
s:6CarKey0aB9ErrorCodeO4hash4intoys6HasherVz_tF	implemented	test:full/carkey/tests/agent/CarKeyErrorTests.swift#testCarKeyErrorCodeEquality	
s:6CarKey0aB9ErrorCodeO8InternalyA2CmF	implemented	test:full/carkey/tests/agent/CarKeyErrorTests.swift#testCarKeyErrorCodeCases	
s:6CarKey0aB9ErrorCodeO9hashValueSivp	implemented	test:full/carkey/tests/agent/CarKeyErrorTests.swift#testCarKeyErrorCodeEquality	
s:6CarKey13VehicleReportV	implemented	test:full/carkey/tests/agent/CarKeyReportTests.swift#testVehicleReportIdentifierAndConnection	
s:6CarKey13VehicleReportV10identifierSSvp	implemented	test:full/carkey/tests/agent/CarKeyReportTests.swift#testVehicleReportIdentifierAndConnection	
