precise	kind	title	path	declaration
s:6CarKey0aB13RemoteControlC	swift.class	CarKeyRemoteControl	CarKeyRemoteControl	class CarKeyRemoteControl
s:6CarKey0aB13RemoteControlC019registerForLaunchOnaB5EventyyKFZ	swift.type.method	registerForLaunchOnCarKeyEvent()	CarKeyRemoteControl.registerForLaunchOnCarKeyEvent()	class func registerForLaunchOnCarKeyEvent() throws
s:6CarKey0aB13RemoteControlC021unregisterForLaunchOnaB5EventyyKFZ	swift.type.method	unregisterForLaunchOnCarKeyEvent()	CarKeyRemoteControl.unregisterForLaunchOnCarKeyEvent()	class func unregisterForLaunchOnCarKeyEvent() throws
s:6CarKey0aB13RemoteControlC5start8delegate17subscriptionRange4withAA0abcD7SessionCAA0abcdJ8Delegate_p_SNySiGSgSo17OS_dispatch_queueCSgtYaKFZ	swift.type.method	start(delegate:subscriptionRange:with:)	CarKeyRemoteControl.start(delegate:subscriptionRange:with:)	class func start(delegate: any CarKeyRemoteControlSessionDelegate, subscriptionRange subscriptionFunctionIDRange: ClosedRange<Int>? = nil, with delegateCallbackQueue: DispatchQueue? = nil) async throws -> CarKeyRemoteControlSession
s:6CarKey0aB20RemoteControlSessionC	swift.class	CarKeyRemoteControlSession	CarKeyRemoteControlSession	class CarKeyRemoteControlSession
s:6CarKey0aB20RemoteControlSessionC11AttestationV	swift.struct	CarKeyRemoteControlSession.Attestation	CarKeyRemoteControlSession.Attestation	struct Attestation
s:6CarKey0aB20RemoteControlSessionC11AttestationV10signedData10Foundation0H0Vvp	swift.property	signedData	CarKeyRemoteControlSession.Attestation.signedData	let signedData: Data
s:6CarKey0aB20RemoteControlSessionC11AttestationV19appBundleIdentifierSSvp	swift.property	appBundleIdentifier	CarKeyRemoteControlSession.Attestation.appBundleIdentifier	let appBundleIdentifier: String
s:6CarKey0aB20RemoteControlSessionC11AttestationV5nonce10Foundation4DataVvp	swift.property	nonce	CarKeyRemoteControlSession.Attestation.nonce	let nonce: Data
s:6CarKey0aB20RemoteControlSessionC11AttestationV9signature10Foundation4DataVvp	swift.property	signature	CarKeyRemoteControlSession.Attestation.signature	let signature: Data
s:6CarKey0aB20RemoteControlSessionC14vehicleReportsSayAA13VehicleReportVGvp	swift.property	vehicleReports	CarKeyRemoteControlSession.vehicleReports	var vehicleReports: [VehicleReport] { get throws }
s:6CarKey0aB20RemoteControlSessionC19sendPassthroughData_9toVehicley10Foundation0H0V_SStKF	swift.method	sendPassthroughData(_:toVehicle:)	CarKeyRemoteControlSession.sendPassthroughData(_:toVehicle:)	func sendPassthroughData(_ passthroughData: Data, toVehicle vehicleID: String) throws
s:6CarKey0aB20RemoteControlSessionC20ContinuationStrategyO	swift.enum	CarKeyRemoteControlSession.ContinuationStrategy	CarKeyRemoteControlSession.ContinuationStrategy	enum ContinuationStrategy
s:6CarKey0aB20RemoteControlSessionC20ContinuationStrategyO2eeoiySbAE_AEtFZ	swift.func.op	==(_:_:)	CarKeyRemoteControlSession.ContinuationStrategy.==(_:_:)	static func == (a: CarKeyRemoteControlSession.ContinuationStrategy, b: CarKeyRemoteControlSession.ContinuationStrategy) -> Bool
s:6CarKey0aB20RemoteControlSessionC20ContinuationStrategyO4hash4intoys6HasherVz_tF	swift.method	hash(into:)	CarKeyRemoteControlSession.ContinuationStrategy.hash(into:)	func hash(into hasher: inout Hasher)
s:6CarKey0aB20RemoteControlSessionC20ContinuationStrategyO6manualyA2EmF	swift.enum.case	CarKeyRemoteControlSession.ContinuationStrategy.manual	CarKeyRemoteControlSession.ContinuationStrategy.manual	case manual
s:6CarKey0aB20RemoteControlSessionC20ContinuationStrategyO9automaticyA2EmF	swift.enum.case	CarKeyRemoteControlSession.ContinuationStrategy.automatic	CarKeyRemoteControlSession.ContinuationStrategy.automatic	case automatic
s:6CarKey0aB20RemoteControlSessionC20ContinuationStrategyO9hashValueSivp	swift.property	hashValue	CarKeyRemoteControlSession.ContinuationStrategy.hashValue	var hashValue: Int { get }
s:6CarKey0aB20RemoteControlSessionC23isPassiveEntryAvailable10forVehicleSbSS_tKF	swift.method	isPassiveEntryAvailable(forVehicle:)	CarKeyRemoteControlSession.isPassiveEntryAvailable(forVehicle:)	func isPassiveEntryAvailable(forVehicle vehicleID: String) throws -> Bool
s:6CarKey0aB20RemoteControlSessionC3endyyKF	swift.method	end()	CarKeyRemoteControlSession.end()	func end() throws
s:6CarKey0aB20RemoteControlSessionC4sign4data10forVehicleAC11AttestationV10Foundation4DataV_SStKF	swift.method	sign(data:forVehicle:)	CarKeyRemoteControlSession.sign(data:forVehicle:)	func sign(data: Data, forVehicle vehicleID: String) throws -> CarKeyRemoteControlSession.Attestation
