precise	kind	title	path	declaration
c:@E@CFHostInfoType	swift.enum	CFHostInfoType	CFHostInfoType	enum CFHostInfoType
c:@E@CFHostInfoType@kCFHostAddresses	swift.enum.case	CFHostInfoType.addresses	CFHostInfoType.addresses	case addresses
c:@E@CFHostInfoType@kCFHostNames	swift.enum.case	CFHostInfoType.names	CFHostInfoType.names	case names
c:@E@CFHostInfoType@kCFHostReachability	swift.enum.case	CFHostInfoType.reachability	CFHostInfoType.reachability	case reachability
c:@E@CFNetDiagnosticStatusValues	swift.enum	CFNetDiagnosticStatusValues	CFNetDiagnosticStatusValues	enum CFNetDiagnosticStatusValues
c:@E@CFNetDiagnosticStatusValues@kCFNetDiagnosticConnectionDown	swift.enum.case	CFNetDiagnosticStatusValues.connectionDown	CFNetDiagnosticStatusValues.connectionDown	case connectionDown
c:@E@CFNetDiagnosticStatusValues@kCFNetDiagnosticConnectionIndeterminate	swift.enum.case	CFNetDiagnosticStatusValues.connectionIndeterminate	CFNetDiagnosticStatusValues.connectionIndeterminate	case connectionIndeterminate
c:@E@CFNetDiagnosticStatusValues@kCFNetDiagnosticConnectionUp	swift.enum.case	CFNetDiagnosticStatusValues.connectionUp	CFNetDiagnosticStatusValues.connectionUp	case connectionUp
c:@E@CFNetDiagnosticStatusValues@kCFNetDiagnosticErr	swift.enum.case	CFNetDiagnosticStatusValues.err	CFNetDiagnosticStatusValues.err	case err
c:@E@CFNetDiagnosticStatusValues@kCFNetDiagnosticNoErr	swift.enum.case	CFNetDiagnosticStatusValues.noErr	CFNetDiagnosticStatusValues.noErr	case noErr
c:@E@CFNetServiceBrowserFlags	swift.struct	CFNetServiceBrowserFlags	CFNetServiceBrowserFlags	struct CFNetServiceBrowserFlags
c:@E@CFNetServiceBrowserFlags@kCFNetServiceFlagIsDefault	swift.type.property	isDefault	CFNetServiceBrowserFlags.isDefault	static var isDefault: CFNetServiceBrowserFlags { get }
c:@E@CFNetServiceBrowserFlags@kCFNetServiceFlagIsDomain	swift.type.property	isDomain	CFNetServiceBrowserFlags.isDomain	static var isDomain: CFNetServiceBrowserFlags { get }
c:@E@CFNetServiceBrowserFlags@kCFNetServiceFlagMoreComing	swift.type.property	moreComing	CFNetServiceBrowserFlags.moreComing	static var moreComing: CFNetServiceBrowserFlags { get }
c:@E@CFNetServiceBrowserFlags@kCFNetServiceFlagRemove	swift.type.property	remove	CFNetServiceBrowserFlags.remove	static var remove: CFNetServiceBrowserFlags { get }
c:@E@CFNetServiceMonitorType	swift.enum	CFNetServiceMonitorType	CFNetServiceMonitorType	enum CFNetServiceMonitorType
c:@E@CFNetServiceMonitorType@kCFNetServiceMonitorTXT	swift.enum.case	CFNetServiceMonitorType.TXT	CFNetServiceMonitorType.TXT	case TXT
c:@E@CFNetServiceRegisterFlags	swift.struct	CFNetServiceRegisterFlags	CFNetServiceRegisterFlags	struct CFNetServiceRegisterFlags
c:@E@CFNetServiceRegisterFlags@kCFNetServiceFlagNoAutoRename	swift.type.property	noAutoRename	CFNetServiceRegisterFlags.noAutoRename	static var noAutoRename: CFNetServiceRegisterFlags { get }
