precise	status	evidence	notes
s:10Foundation4DateV6ChartsE18PrimitivePlottablea	deferred		Stdlib overlay member; Charts only adds Plottable and does not redeclare inherited numeric protocol requirements.
s:6Charts10ChartProxyV	implemented	test:full/charts/tests/agent/ChartsTests.swift#testChartProxyFailClosed	-
s:6Charts10ChartProxyV10symbolSize3for14CoreFoundation7CGFloatVSgx_tAA9PlottableRzlF	implemented	test:full/charts/tests/agent/ChartsTests.swift#testMarkChartContentModifiers	-
s:6Charts10ChartProxyV12plotAreaSizeSo6CGSizeVvp	implemented	test:full/charts/tests/agent/ChartsTests.swift#testChartProxyFailClosed	-
s:6Charts10ChartProxyV12selectXRange4from2toy14CoreFoundation7CGFloatV_AItF	implemented	test:full/charts/tests/agent/ChartsTests.swift#testChartProxyFailClosed	-
s:6Charts10ChartProxyV12selectXValue2aty14CoreFoundation7CGFloatV_tF	implemented	test:full/charts/tests/agent/ChartsTests.swift#testChartProxyFailClosed	-
s:6Charts10ChartProxyV12selectYRange4from2toy14CoreFoundation7CGFloatV_AItF	implemented	test:full/charts/tests/agent/ChartsTests.swift#testChartProxyFailClosed	-
s:6Charts10ChartProxyV12selectYValue2aty14CoreFoundation7CGFloatV_tF	implemented	test:full/charts/tests/agent/ChartsTests.swift#testChartProxyFailClosed	-
s:6Charts10ChartProxyV12symbolDomain8dataTypeSayxGxm_tAA9PlottableRzlF	implemented	test:full/charts/tests/agent/ChartsDepthTests.swift#testChartProxyResolvedMapping	-
s:6Charts10ChartProxyV13plotAreaFrame7SwiftUI6AnchorVySo6CGRectVGvp	implemented	test:full/charts/tests/agent/ChartsTests.swift#testChartProxyLookupsFailClosed	-
s:6Charts10ChartProxyV13positionRange3forSo6CGRectVSgx1x_q_1yt_tAA9PlottableRzAaKR_r0_lF	implemented	test:full/charts/tests/agent/ChartsDepthTests.swift#testChartProxyResolvedMapping	-
s:6Charts10ChartProxyV13positionRange4forXSNy14CoreFoundation7CGFloatVGSgx_tAA9PlottableRzlF	implemented	test:full/charts/tests/agent/ChartsDepthTests.swift#testChartProxyResolvedMapping	-
s:6Charts10ChartProxyV13positionRange4forYSNy14CoreFoundation7CGFloatVGSgx_tAA9PlottableRzlF	implemented	test:full/charts/tests/agent/ChartsDepthTests.swift#testChartProxyResolvedMapping	-
s:6Charts10ChartProxyV15foregroundStyle3for7SwiftUI08AnyShapeE0VSgx_tAA9PlottableRzlF	implemented	test:full/charts/tests/agent/ChartsTests.swift#testChartProxyLookupsFailClosed	-
s:6Charts10ChartProxyV15lineStyleDomain8dataTypeSayxGxm_tAA9PlottableRzlF	implemented	test:full/charts/tests/agent/ChartsDepthTests.swift#testChartProxyResolvedMapping	-
