category	sdkRelativePath	size	sha256
tbd	System/Library/Frameworks/ClassKit.framework/ClassKit.tbd	15287	011879bd56df82abe221dbfdd960d54af05852598f8f199e5f4e7473df0b1c0e
header	System/Library/Frameworks/ClassKit.framework/Headers/CLSActivity.h	3673	dc3b5d29b437019206a121b6ab0fd90da10f3ee17a0865e42cd6713741c14ccc
header	System/Library/Frameworks/ClassKit.framework/Headers/CLSActivityItem.h	997	a5c6a69f2f4585d08d963e3ede2af147b4ec05deec2d0510b21db0023246ae0b
header	System/Library/Frameworks/ClassKit.framework/Headers/CLSBinaryItem.h	1637	5c3edcd16eee37ea9dcf4ab752886e80b45a8d8b5854462eee11b46655673de2
header	System/Library/Frameworks/ClassKit.framework/Headers/CLSContext.h	14901	273bb020185d06d6c8cdf82fdcf8d2f4c1e7dcc9e70cd3ee3c7e548312fc2ed3
header	System/Library/Frameworks/ClassKit.framework/Headers/CLSContextProvider.h	1148	3cd1f8b6c5a252e36cd0b9f491286a2fc2aff1b763216598babdba89deb725d8
header	System/Library/Frameworks/ClassKit.framework/Headers/CLSDataStore.h	5841	0dee6b03c8a97b7fef428791f7af8e7480b21eff158ef179eb1fe442ae749bf9
header	System/Library/Frameworks/ClassKit.framework/Headers/CLSDefines.h	4638	ef5cf52193e9dadec32e16645bdd6bb1676a9f6ca337eb48c8ba3afd3516e2d3
header	System/Library/Frameworks/ClassKit.framework/Headers/CLSObject.h	758	01ddad0db206706533ed7f0653f32ca948d78dfc941e5fd5c997dc1cceb30783
header	System/Library/Frameworks/ClassKit.framework/Headers/CLSProgressReportingCapability.h	2475	8ff4aff6706d5eb27f881acbd7c5a1781a169aecf54bd202395beccf7572f521
header	System/Library/Frameworks/ClassKit.framework/Headers/CLSQuantityItem.h	904	4f4a7ab1e4575c399eefb5951f425ba9bc91d8b2dee5cb744a3de60f7efe9276
header	System/Library/Frameworks/ClassKit.framework/Headers/CLSScoreItem.h	1363	a67063e447f54adcc2797c3913e2fb29a4b28842374227acada7097f559e54e2
header	System/Library/Frameworks/ClassKit.framework/Headers/ClassKit.h	545	329b3aa1923005aefe049ab045e283d56b548da59fa1eb52fdb58ef6cd4dd310
header	System/Library/Frameworks/ClassKit.framework/Headers/NSUserActivity+CLSDeepLinks.h	991	5154af94f71d0672f2030265e334d00c0d5f6973b685883d10939f8a4aa6fb88
modulemap	System/Library/Frameworks/ClassKit.framework/Modules/module.modulemap	111	2a564b1d8b18ae2dd6e0aedadbc8534c5e47f6c43025a779fa67a6fce2815cd1
