precise	status	evidence	notes
c:@CKAccountChangedNotification	implemented	test:full/cloudkit/tests/agent/CKFailClosedIdentityTests.swift#testCKPublicConstants	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@CKCurrentUserDefaultName	implemented	test:full/cloudkit/tests/agent/CKRecordIDZoneTests.swift#testCKRecordIDAndDefaultZoneRules	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@CKErrorDomain	implemented	test:full/cloudkit/tests/agent/CKErrorTests.swift#testCKErrorUserInfoAndPatternMatch	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@CKErrorRetryAfterKey	implemented	test:full/cloudkit/tests/agent/CKErrorTests.swift#testCKErrorUserInfoAndPatternMatch	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@CKErrorUserDidResetEncryptedDataKey	implemented	test:full/cloudkit/tests/agent/CKErrorTests.swift#testCKErrorUserInfoAndPatternMatch	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@CKOwnerDefaultName	implemented	test:full/cloudkit/tests/agent/CKRecordIDZoneTests.swift#testCKRecordIDAndDefaultZoneRules	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@CKPartialErrorsByItemIDKey	implemented	test:full/cloudkit/tests/agent/CKErrorTests.swift#testCKErrorUserInfoAndPatternMatch	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@CKQueryOperationMaximumResults	implemented	test:full/cloudkit/tests/agent/CKRecordIDZoneTests.swift#testCKQueryConstructionAndCopy	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@CKRecordChangedErrorAncestorRecordKey	implemented	test:full/cloudkit/tests/agent/CKErrorTests.swift#testCKErrorUserInfoAndPatternMatch	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@CKRecordChangedErrorClientRecordKey	implemented	test:full/cloudkit/tests/agent/CKErrorTests.swift#testCKErrorUserInfoAndPatternMatch	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@CKRecordChangedErrorServerRecordKey	implemented	test:full/cloudkit/tests/agent/CKErrorTests.swift#testCKErrorUserInfoAndPatternMatch	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@CKRecordNameZoneWideShare	implemented	test:full/cloudkit/tests/agent/CKNotificationShareTests.swift#testCKShareValueSemanticsAndFailClosedURL	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@E@CKAccountStatus	implemented	test:full/cloudkit/tests/agent/CKContainerDatabaseTests.swift#testCKContainerAccountStatusAndPermissions	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@E@CKAccountStatus@CKAccountStatusAvailable	implemented	test:full/cloudkit/tests/agent/CKContainerDatabaseTests.swift#testCKContainerAccountStatusAndPermissions	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@E@CKAccountStatus@CKAccountStatusCouldNotDetermine	implemented	test:full/cloudkit/tests/agent/CKContainerDatabaseTests.swift#testCKContainerAccountStatusAndPermissions	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@E@CKAccountStatus@CKAccountStatusNoAccount	implemented	test:full/cloudkit/tests/agent/CKContainerDatabaseTests.swift#testCKContainerAccountStatusAndPermissions	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@E@CKAccountStatus@CKAccountStatusRestricted	implemented	test:full/cloudkit/tests/agent/CKContainerDatabaseTests.swift#testCKContainerAccountStatusAndPermissions	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@E@CKAccountStatus@CKAccountStatusTemporarilyUnavailable	implemented	test:full/cloudkit/tests/agent/CKContainerDatabaseTests.swift#testCKContainerAccountStatusAndPermissions	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@E@CKApplicationPermissionStatus	implemented	test:full/cloudkit/tests/agent/CKContainerDatabaseTests.swift#testCKContainerAccountStatusAndPermissions	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@E@CKApplicationPermissionStatus@CKApplicationPermissionStatusCouldNotComplete	implemented	test:full/cloudkit/tests/agent/CKContainerDatabaseTests.swift#testCKContainerAccountStatusAndPermissions	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@E@CKApplicationPermissionStatus@CKApplicationPermissionStatusDenied	implemented	test:full/cloudkit/tests/agent/CKContainerDatabaseTests.swift#testCKContainerAccountStatusAndPermissions	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@E@CKApplicationPermissionStatus@CKApplicationPermissionStatusGranted	implemented	test:full/cloudkit/tests/agent/CKContainerDatabaseTests.swift#testCKContainerAccountStatusAndPermissions	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@E@CKApplicationPermissionStatus@CKApplicationPermissionStatusInitialState	implemented	test:full/cloudkit/tests/agent/CKContainerDatabaseTests.swift#testCKContainerAccountStatusAndPermissions	Focused family test of the simulated container or fail-closed identity/sharing boundary.
c:@E@CKApplicationPermissions	implemented	test:full/cloudkit/tests/agent/CKContainerDatabaseTests.swift#testCKContainerAccountStatusAndPermissions	Focused family test of the simulated container or fail-closed identity/sharing boundary.
