precise	status	evidence	notes
c:@E@ColorSyncAlphaInfo	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncAlphaInfoRawValues	struct ColorSyncAlphaInfo
c:@E@ColorSyncAlphaInfo@kColorSyncAlphaFirst	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncAlphaInfoRawValues	AlphaInfo member raw value
c:@E@ColorSyncAlphaInfo@kColorSyncAlphaLast	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncAlphaInfoRawValues	AlphaInfo member raw value
c:@E@ColorSyncAlphaInfo@kColorSyncAlphaNone	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncAlphaInfoRawValues	AlphaInfo member raw value
c:@E@ColorSyncAlphaInfo@kColorSyncAlphaNoneSkipFirst	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncAlphaInfoRawValues	AlphaInfo member raw value
c:@E@ColorSyncAlphaInfo@kColorSyncAlphaNoneSkipLast	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncAlphaInfoRawValues	AlphaInfo member raw value
c:@E@ColorSyncAlphaInfo@kColorSyncAlphaPremultipliedFirst	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncAlphaInfoRawValues	AlphaInfo member raw value
c:@E@ColorSyncAlphaInfo@kColorSyncAlphaPremultipliedLast	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncAlphaInfoRawValues	AlphaInfo member raw value
c:@E@ColorSyncDataDepth	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncDataDepthRawValues	struct ColorSyncDataDepth
c:@E@ColorSyncDataDepth@kColorSync10BitInteger	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncDataDepthRawValues	DataDepth member raw value
c:@E@ColorSyncDataDepth@kColorSync16BitFloat	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncDataDepthRawValues	DataDepth member raw value
c:@E@ColorSyncDataDepth@kColorSync16BitInteger	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncDataDepthRawValues	DataDepth member raw value
c:@E@ColorSyncDataDepth@kColorSync1BitGamut	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncDataDepthRawValues	DataDepth member raw value
c:@E@ColorSyncDataDepth@kColorSync32BitFloat	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncDataDepthRawValues	DataDepth member raw value
c:@E@ColorSyncDataDepth@kColorSync32BitInteger	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncDataDepthRawValues	DataDepth member raw value
c:@E@ColorSyncDataDepth@kColorSync32BitNamedColorIndex	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncDataDepthRawValues	DataDepth member raw value
c:@E@ColorSyncDataDepth@kColorSync8BitInteger	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncDataDepthRawValues	DataDepth member raw value
c:@Ea@kColorSyncAlphaInfoMask@kColorSyncAlphaInfoMask	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncByteOrderMasks	byte-order / alpha mask
c:@Ea@kColorSyncAlphaInfoMask@kColorSyncByteOrder16Big	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncByteOrderMasks	byte-order / alpha mask
c:@Ea@kColorSyncAlphaInfoMask@kColorSyncByteOrder16Little	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncByteOrderMasks	byte-order / alpha mask
c:@Ea@kColorSyncAlphaInfoMask@kColorSyncByteOrder32Big	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncByteOrderMasks	byte-order / alpha mask
c:@Ea@kColorSyncAlphaInfoMask@kColorSyncByteOrder32Little	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncByteOrderMasks	byte-order / alpha mask
c:@Ea@kColorSyncAlphaInfoMask@kColorSyncByteOrderDefault	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncByteOrderMasks	byte-order / alpha mask
c:@Ea@kColorSyncAlphaInfoMask@kColorSyncByteOrderMask	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncByteOrderMasks	byte-order / alpha mask
c:@F@ColorSyncAPIVersion	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncVersionMacros	ColorSyncAPIVersion matches COLORSYNC_API_VERSION
c:@F@ColorSyncCreateCodeFragment	implemented	test:full/colorsync/tests/agent/ColorSyncTransformTests.swift#testColorSyncCreateCodeFragmentFailClosed	Apple CMM code fragments fail closed
c:@F@ColorSyncIterateInstalledProfiles	implemented	test:full/colorsync/tests/agent/ColorSyncProfileTests.swift#testColorSyncIterateInstalledProfilesSeed	iterates built-in named profiles
c:@F@ColorSyncProfileContainsTag	implemented	test:full/colorsync/tests/agent/ColorSyncProfileTests.swift#testColorSyncProfileCreateWithNameSRGB	ContainsTag on named sRGB
c:@F@ColorSyncProfileCopyData	implemented	test:full/colorsync/tests/agent/ColorSyncProfileTests.swift#testColorSyncProfileCreateFromData	CopyData round-trips ICC bytes
c:@F@ColorSyncProfileCopyDescriptionString	implemented	test:full/colorsync/tests/agent/ColorSyncProfileTests.swift#testColorSyncProfileCreateWithNameSRGB	description of named sRGB
c:@F@ColorSyncProfileCopyHeader	implemented	test:full/colorsync/tests/agent/ColorSyncProfileTests.swift#testColorSyncProfileCopyHeaderAndSetHeader	host-endian 128-byte header
c:@F@ColorSyncProfileCopyTag	implemented	test:full/colorsync/tests/agent/ColorSyncProfileTests.swift#testColorSyncProfileCreateMutableAndTags	CopyTag after SetTag
c:@F@ColorSyncProfileCopyTagSignatures	implemented	test:full/colorsync/tests/agent/ColorSyncProfileTests.swift#testColorSyncProfileCopyTagSignatures	signature array matches tag count
c:@F@ColorSyncProfileCreate	implemented	test:full/colorsync/tests/agent/ColorSyncProfileTests.swift#testColorSyncProfileCreateFromData	Create from ICC data
c:@F@ColorSyncProfileCreateLink	implemented	test:full/colorsync/tests/agent/ColorSyncProfileTests.swift#testColorSyncProfileCreateLinkMatrix	link of two matrix RGB profiles
c:@F@ColorSyncProfileCreateMutable	implemented	test:full/colorsync/tests/agent/ColorSyncProfileTests.swift#testColorSyncProfileCreateMutableAndTags	empty mutable profile
c:@F@ColorSyncProfileCreateMutableCopy	implemented	test:full/colorsync/tests/agent/ColorSyncProfileTests.swift#testColorSyncProfileCreateMutableCopy	mutable copy is independent
c:@F@ColorSyncProfileCreateWithName	implemented	test:full/colorsync/tests/agent/ColorSyncProfileTests.swift#testColorSyncProfileCreateWithNameSRGB	CreateWithName sRGB
c:@F@ColorSyncProfileCreateWithURL	implemented	test:full/colorsync/tests/agent/ColorSyncProfileTests.swift#testColorSyncProfileCreateWithURLRoundTrip	CreateWithURL round-trip
c:@F@ColorSyncProfileCreateWithURLAndOptions	implemented	test:full/colorsync/tests/agent/ColorSyncProfileTests.swift#testColorSyncProfileCreateWithURLAndOptionsMissing	missing URL fail-closed
c:@F@ColorSyncProfileEstimateGamma	implemented	test:full/colorsync/tests/agent/ColorSyncProfileTests.swift#testColorSyncProfileEstimateGammaGray	gray gamma 2.2
c:@F@ColorSyncProfileGetMD5	implemented	test:full/colorsync/tests/agent/ColorSyncProfileTests.swift#testColorSyncProfileGetMD5Stable	ICC Profile ID MD5
c:@F@ColorSyncProfileGetTagCount	implemented	test:full/colorsync/tests/agent/ColorSyncProfileTests.swift#testColorSyncProfileCreateMutableAndTags	tag count after set/remove
c:@F@ColorSyncProfileGetTypeID	implemented	test:full/colorsync/tests/agent/ColorSyncTypeTests.swift#testColorSyncProfileTypeID	distinct CFTypeIDs
c:@F@ColorSyncProfileGetURL	implemented	test:full/colorsync/tests/agent/ColorSyncProfileTests.swift#testColorSyncProfileCreateWithURLRoundTrip	URL retained from CreateWithURL
c:@F@ColorSyncProfileIsHLGBased	implemented	test:full/colorsync/tests/agent/ColorSyncProfileTests.swift#testColorSyncProfileIsFlags	sRGB is not HLG
