precise	kind	title	path	declaration
c:@CCrfc3394_iv	swift.var	CCrfc3394_iv	CCrfc3394_iv	let CCrfc3394_iv: UnsafePointer<UInt8>!
c:@CCrfc3394_ivLen	swift.var	CCrfc3394_ivLen	CCrfc3394_ivLen	let CCrfc3394_ivLen: Int
c:@Ea@ccNoPadding@ccNoPadding	swift.var	ccNoPadding	ccNoPadding	var ccNoPadding: Int { get }
c:@Ea@ccNoPadding@ccPKCS7Padding	swift.var	ccPKCS7Padding	ccPKCS7Padding	var ccPKCS7Padding: Int { get }
c:@Ea@kCCAlgorithmAES128@kCCAlgorithm3DES	swift.var	kCCAlgorithm3DES	kCCAlgorithm3DES	var kCCAlgorithm3DES: Int { get }
c:@Ea@kCCAlgorithmAES128@kCCAlgorithmAES	swift.var	kCCAlgorithmAES	kCCAlgorithmAES	var kCCAlgorithmAES: Int { get }
c:@Ea@kCCAlgorithmAES128@kCCAlgorithmAES128	swift.var	kCCAlgorithmAES128	kCCAlgorithmAES128	var kCCAlgorithmAES128: Int { get }
c:@Ea@kCCAlgorithmAES128@kCCAlgorithmBlowfish	swift.var	kCCAlgorithmBlowfish	kCCAlgorithmBlowfish	var kCCAlgorithmBlowfish: Int { get }
c:@Ea@kCCAlgorithmAES128@kCCAlgorithmCAST	swift.var	kCCAlgorithmCAST	kCCAlgorithmCAST	var kCCAlgorithmCAST: Int { get }
c:@Ea@kCCAlgorithmAES128@kCCAlgorithmDES	swift.var	kCCAlgorithmDES	kCCAlgorithmDES	var kCCAlgorithmDES: Int { get }
c:@Ea@kCCAlgorithmAES128@kCCAlgorithmRC2	swift.var	kCCAlgorithmRC2	kCCAlgorithmRC2	var kCCAlgorithmRC2: Int { get }
c:@Ea@kCCAlgorithmAES128@kCCAlgorithmRC4	swift.var	kCCAlgorithmRC4	kCCAlgorithmRC4	var kCCAlgorithmRC4: Int { get }
c:@Ea@kCCBlockSizeAES128@kCCBlockSize3DES	swift.var	kCCBlockSize3DES	kCCBlockSize3DES	var kCCBlockSize3DES: Int { get }
c:@Ea@kCCBlockSizeAES128@kCCBlockSizeAES128	swift.var	kCCBlockSizeAES128	kCCBlockSizeAES128	var kCCBlockSizeAES128: Int { get }
c:@Ea@kCCBlockSizeAES128@kCCBlockSizeBlowfish	swift.var	kCCBlockSizeBlowfish	kCCBlockSizeBlowfish	var kCCBlockSizeBlowfish: Int { get }
c:@Ea@kCCBlockSizeAES128@kCCBlockSizeCAST	swift.var	kCCBlockSizeCAST	kCCBlockSizeCAST	var kCCBlockSizeCAST: Int { get }
c:@Ea@kCCBlockSizeAES128@kCCBlockSizeDES	swift.var	kCCBlockSizeDES	kCCBlockSizeDES	var kCCBlockSizeDES: Int { get }
c:@Ea@kCCBlockSizeAES128@kCCBlockSizeRC2	swift.var	kCCBlockSizeRC2	kCCBlockSizeRC2	var kCCBlockSizeRC2: Int { get }
c:@Ea@kCCContextSizeAES128@kCCContextSize3DES	swift.var	kCCContextSize3DES	kCCContextSize3DES	var kCCContextSize3DES: Int { get }
