precise	kind	title	path	declaration
c:@CM@Contacts@@objc(cs)CNContact(py)id	swift.property	id	CNContact.id	@objc dynamic var id: UUID { get }
c:@CNContactBirthdayKey	swift.var	CNContactBirthdayKey	CNContactBirthdayKey	let CNContactBirthdayKey: String
c:@CNContactDatesKey	swift.var	CNContactDatesKey	CNContactDatesKey	let CNContactDatesKey: String
c:@CNContactDepartmentNameKey	swift.var	CNContactDepartmentNameKey	CNContactDepartmentNameKey	let CNContactDepartmentNameKey: String
c:@CNContactEmailAddressesKey	swift.var	CNContactEmailAddressesKey	CNContactEmailAddressesKey	let CNContactEmailAddressesKey: String
c:@CNContactFamilyNameKey	swift.var	CNContactFamilyNameKey	CNContactFamilyNameKey	let CNContactFamilyNameKey: String
c:@CNContactGivenNameKey	swift.var	CNContactGivenNameKey	CNContactGivenNameKey	let CNContactGivenNameKey: String
c:@CNContactIdentifierKey	swift.var	CNContactIdentifierKey	CNContactIdentifierKey	let CNContactIdentifierKey: String
c:@CNContactImageDataAvailableKey	swift.var	CNContactImageDataAvailableKey	CNContactImageDataAvailableKey	let CNContactImageDataAvailableKey: String
c:@CNContactImageDataKey	swift.var	CNContactImageDataKey	CNContactImageDataKey	let CNContactImageDataKey: String
c:@CNContactInstantMessageAddressesKey	swift.var	CNContactInstantMessageAddressesKey	CNContactInstantMessageAddressesKey	let CNContactInstantMessageAddressesKey: String
c:@CNContactJobTitleKey	swift.var	CNContactJobTitleKey	CNContactJobTitleKey	let CNContactJobTitleKey: String
c:@CNContactMiddleNameKey	swift.var	CNContactMiddleNameKey	CNContactMiddleNameKey	let CNContactMiddleNameKey: String
c:@CNContactNamePrefixKey	swift.var	CNContactNamePrefixKey	CNContactNamePrefixKey	let CNContactNamePrefixKey: String
c:@CNContactNameSuffixKey	swift.var	CNContactNameSuffixKey	CNContactNameSuffixKey	let CNContactNameSuffixKey: String
c:@CNContactNicknameKey	swift.var	CNContactNicknameKey	CNContactNicknameKey	let CNContactNicknameKey: String
c:@CNContactNonGregorianBirthdayKey	swift.var	CNContactNonGregorianBirthdayKey	CNContactNonGregorianBirthdayKey	let CNContactNonGregorianBirthdayKey: String
c:@CNContactNoteKey	swift.var	CNContactNoteKey	CNContactNoteKey	let CNContactNoteKey: String
c:@CNContactOrganizationNameKey	swift.var	CNContactOrganizationNameKey	CNContactOrganizationNameKey	let CNContactOrganizationNameKey: String
c:@CNContactPhoneNumbersKey	swift.var	CNContactPhoneNumbersKey	CNContactPhoneNumbersKey	let CNContactPhoneNumbersKey: String
c:@CNContactPhoneticFamilyNameKey	swift.var	CNContactPhoneticFamilyNameKey	CNContactPhoneticFamilyNameKey	let CNContactPhoneticFamilyNameKey: String
c:@CNContactPhoneticGivenNameKey	swift.var	CNContactPhoneticGivenNameKey	CNContactPhoneticGivenNameKey	let CNContactPhoneticGivenNameKey: String
c:@CNContactPhoneticMiddleNameKey	swift.var	CNContactPhoneticMiddleNameKey	CNContactPhoneticMiddleNameKey	let CNContactPhoneticMiddleNameKey: String
c:@CNContactPhoneticOrganizationNameKey	swift.var	CNContactPhoneticOrganizationNameKey	CNContactPhoneticOrganizationNameKey	let CNContactPhoneticOrganizationNameKey: String
c:@CNContactPostalAddressesKey	swift.var	CNContactPostalAddressesKey	CNContactPostalAddressesKey	let CNContactPostalAddressesKey: String
c:@CNContactPreviousFamilyNameKey	swift.var	CNContactPreviousFamilyNameKey	CNContactPreviousFamilyNameKey	let CNContactPreviousFamilyNameKey: String
c:@CNContactPropertyAttribute	swift.var	CNContactPropertyAttribute	CNContactPropertyAttribute	let CNContactPropertyAttribute: String
c:@CNContactPropertyNotFetchedExceptionName	swift.var	CNContactPropertyNotFetchedExceptionName	CNContactPropertyNotFetchedExceptionName	let CNContactPropertyNotFetchedExceptionName: String
c:@CNContactRelationsKey	swift.var	CNContactRelationsKey	CNContactRelationsKey	let CNContactRelationsKey: String
c:@CNContactSocialProfilesKey	swift.var	CNContactSocialProfilesKey	CNContactSocialProfilesKey	let CNContactSocialProfilesKey: String
c:@CNContactStoreDidChangeNotification	swift.type.property	CNContactStoreDidChange	NSNotification.Name.CNContactStoreDidChange	static let CNContactStoreDidChange: NSNotification.Name
c:@CNContactThumbnailImageDataKey	swift.var	CNContactThumbnailImageDataKey	CNContactThumbnailImageDataKey	let CNContactThumbnailImageDataKey: String
c:@CNContactTypeKey	swift.var	CNContactTypeKey	CNContactTypeKey	let CNContactTypeKey: String
c:@CNContactUrlAddressesKey	swift.var	CNContactUrlAddressesKey	CNContactUrlAddressesKey	let CNContactUrlAddressesKey: String
c:@CNContainerIdentifierKey	swift.var	CNContainerIdentifierKey	CNContainerIdentifierKey	let CNContainerIdentifierKey: String
c:@CNContainerNameKey	swift.var	CNContainerNameKey	CNContainerNameKey	let CNContainerNameKey: String
c:@CNContainerTypeKey	swift.var	CNContainerTypeKey	CNContainerTypeKey	let CNContainerTypeKey: String
c:@CNErrorDomain	swift.var	CNErrorDomain	CNErrorDomain	let CNErrorDomain: String
c:@CNErrorUserInfoAffectedRecordIdentifiersKey	swift.var	CNErrorUserInfoAffectedRecordIdentifiersKey	CNErrorUserInfoAffectedRecordIdentifiersKey	let CNErrorUserInfoAffectedRecordIdentifiersKey: String
c:@CNErrorUserInfoAffectedRecordsKey	swift.var	CNErrorUserInfoAffectedRecordsKey	CNErrorUserInfoAffectedRecordsKey	let CNErrorUserInfoAffectedRecordsKey: String
c:@CNErrorUserInfoKeyPathsKey	swift.var	CNErrorUserInfoKeyPathsKey	CNErrorUserInfoKeyPathsKey	let CNErrorUserInfoKeyPathsKey: String
c:@CNErrorUserInfoValidationErrorsKey	swift.var	CNErrorUserInfoValidationErrorsKey	CNErrorUserInfoValidationErrorsKey	let CNErrorUserInfoValidationErrorsKey: String
c:@CNGroupIdentifierKey	swift.var	CNGroupIdentifierKey	CNGroupIdentifierKey	let CNGroupIdentifierKey: String
c:@CNGroupNameKey	swift.var	CNGroupNameKey	CNGroupNameKey	let CNGroupNameKey: String
c:@CNInstantMessageAddressServiceKey	swift.var	CNInstantMessageAddressServiceKey	CNInstantMessageAddressServiceKey	let CNInstantMessageAddressServiceKey: String
c:@CNInstantMessageAddressUsernameKey	swift.var	CNInstantMessageAddressUsernameKey	CNInstantMessageAddressUsernameKey	let CNInstantMessageAddressUsernameKey: String
c:@CNInstantMessageServiceAIM	swift.var	CNInstantMessageServiceAIM	CNInstantMessageServiceAIM	let CNInstantMessageServiceAIM: String
c:@CNInstantMessageServiceFacebook	swift.var	CNInstantMessageServiceFacebook	CNInstantMessageServiceFacebook	let CNInstantMessageServiceFacebook: String
c:@CNInstantMessageServiceGaduGadu	swift.var	CNInstantMessageServiceGaduGadu	CNInstantMessageServiceGaduGadu	let CNInstantMessageServiceGaduGadu: String
c:@CNInstantMessageServiceGoogleTalk	swift.var	CNInstantMessageServiceGoogleTalk	CNInstantMessageServiceGoogleTalk	let CNInstantMessageServiceGoogleTalk: String
c:@CNInstantMessageServiceICQ	swift.var	CNInstantMessageServiceICQ	CNInstantMessageServiceICQ	let CNInstantMessageServiceICQ: String
c:@CNInstantMessageServiceJabber	swift.var	CNInstantMessageServiceJabber	CNInstantMessageServiceJabber	let CNInstantMessageServiceJabber: String
c:@CNInstantMessageServiceMSN	swift.var	CNInstantMessageServiceMSN	CNInstantMessageServiceMSN	let CNInstantMessageServiceMSN: String
c:@CNInstantMessageServiceQQ	swift.var	CNInstantMessageServiceQQ	CNInstantMessageServiceQQ	let CNInstantMessageServiceQQ: String
c:@CNInstantMessageServiceSkype	swift.var	CNInstantMessageServiceSkype	CNInstantMessageServiceSkype	let CNInstantMessageServiceSkype: String
c:@CNInstantMessageServiceYahoo	swift.var	CNInstantMessageServiceYahoo	CNInstantMessageServiceYahoo	let CNInstantMessageServiceYahoo: String
c:@CNLabelContactRelationAssistant	swift.var	CNLabelContactRelationAssistant	CNLabelContactRelationAssistant	let CNLabelContactRelationAssistant: String
c:@CNLabelContactRelationAunt	swift.var	CNLabelContactRelationAunt	CNLabelContactRelationAunt	let CNLabelContactRelationAunt: String
