precise	kind	title	path	declaration
c:@CM@ContactsUI@@objc(cs)CNMutableContact(py)id	swift.property	id	CNMutableContact.id	override dynamic var id: UUID { get }
c:objc(cs)CNContactPickerViewController	swift.class	CNContactPickerViewController	CNContactPickerViewController	@MainActor class CNContactPickerViewController
c:objc(cs)CNContactPickerViewController(py)delegate	swift.property	delegate	CNContactPickerViewController.delegate	@MainActor weak var delegate: (any CNContactPickerDelegate)? { get set }
c:objc(cs)CNContactPickerViewController(py)displayedPropertyKeys	swift.property	displayedPropertyKeys	CNContactPickerViewController.displayedPropertyKeys	@MainActor var displayedPropertyKeys: [String]? { get set }
c:objc(cs)CNContactPickerViewController(py)predicateForEnablingContact	swift.property	predicateForEnablingContact	CNContactPickerViewController.predicateForEnablingContact	@NSCopying @MainActor var predicateForEnablingContact: NSPredicate? { get set }
c:objc(cs)CNContactPickerViewController(py)predicateForSelectionOfContact	swift.property	predicateForSelectionOfContact	CNContactPickerViewController.predicateForSelectionOfContact	@NSCopying @MainActor var predicateForSelectionOfContact: NSPredicate? { get set }
c:objc(cs)CNContactPickerViewController(py)predicateForSelectionOfProperty	swift.property	predicateForSelectionOfProperty	CNContactPickerViewController.predicateForSelectionOfProperty	@NSCopying @MainActor var predicateForSelectionOfProperty: NSPredicate? { get set }
c:objc(cs)CNContactViewController	swift.class	CNContactViewController	CNContactViewController	@MainActor class CNContactViewController
c:objc(cs)CNContactViewController(cm)descriptorForRequiredKeys	swift.type.method	descriptorForRequiredKeys()	CNContactViewController.descriptorForRequiredKeys()	@MainActor class func descriptorForRequiredKeys() -> any CNKeyDescriptor
c:objc(cs)CNContactViewController(cm)viewControllerForContact:	swift.init	init(for:)	CNContactViewController.init(for:)	@MainActor convenience init(for contact: CNContact)
c:objc(cs)CNContactViewController(cm)viewControllerForContact:::SYNTHESIZED::c:objc(cs)CNContactViewController	swift.init	init(forContact:)	CNContactViewController.init(forContact:)	@MainActor convenience init(forContact contact: CNContact)
