precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@CM@CoreAudioKit@objc(cs)AUGenericViewInternal(im)collectionView:willDisplayCell:forItemAtIndexPath:	swift.method	["AUGenericViewInternal","collectionView(_:willDisplay:forItemAt:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/23/children/10	["/ABIRoot/children/23/children/10"]
c:@CM@CoreAudioKit@objc(cs)AUGenericViewInternal(im)collectionView:willDisplaySupplementaryView:forElementKind:atIndexPath:	swift.method	["AUGenericViewInternal","collectionView(_:willDisplaySupplementaryView:forElementKind:at:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/23/children/9	["/ABIRoot/children/23/children/9"]
c:@M@CoreAudioKit@objc(cs)AUAppleCustomViewLoader	swift.class	["AUAppleCustomViewLoader"]	exact-usr	exact-usr	1	1	/ABIRoot/children/24	["/ABIRoot/children/24"]
c:@M@CoreAudioKit@objc(cs)AUAppleCustomViewLoader(im)customViewControllerFor:audioUnit:v3AU:	swift.method	["AUAppleCustomViewLoader","customViewController(for:audioUnit:v3AU:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/24/children/0	["/ABIRoot/children/24/children/0"]
c:@M@CoreAudioKit@objc(cs)AUAppleCustomViewLoader(im)init	swift.init	["AUAppleCustomViewLoader","init()"]	exact-usr	exact-usr	1	1	/ABIRoot/children/24/children/1	["/ABIRoot/children/24/children/1"]
c:@M@CoreAudioKit@objc(cs)AUGenericViewInternal	swift.class	["AUGenericViewInternal"]	exact-usr	exact-usr	1	1	/ABIRoot/children/23	["/ABIRoot/children/23"]
c:@M@CoreAudioKit@objc(cs)AUGenericViewInternal(im)initWithCoder:	swift.init	["AUGenericViewInternal","init(coder:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/23/children/5	["/ABIRoot/children/23/children/5"]
c:@M@CoreAudioKit@objc(cs)AUGenericViewInternal(im)initWithFrame:	swift.init	["AUGenericViewInternal","init(frame:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/23/children/4	["/ABIRoot/children/23/children/4"]
c:@M@CoreAudioKit@objc(cs)AUGenericViewInternal(im)removeFromSuperview	swift.method	["AUGenericViewInternal","removeFromSuperview()"]	exact-usr	exact-usr	1	1	/ABIRoot/children/23/children/7	["/ABIRoot/children/23/children/7"]
c:@M@CoreAudioKit@objc(cs)AUGenericViewInternal(im)removeScheduledUpdatesTimer	swift.method	["AUGenericViewInternal","removeScheduledUpdatesTimer()"]	exact-usr	exact-usr	1	1	/ABIRoot/children/23/children/8	["/ABIRoot/children/23/children/8"]
