precise	status	evidence	notes
c:@E@AVAudioSessionErrorCode	deferred		Requires the canonical AVAudioSession parent from AVFAudio/AVFoundation; CoreAudioTypes must not invent that dependency-owned type.
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeBadParam	deferred		Requires the canonical AVAudioSession parent from AVFAudio/AVFoundation; CoreAudioTypes must not invent that dependency-owned type.
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeCannotInterruptOthers	deferred		Requires the canonical AVAudioSession parent from AVFAudio/AVFoundation; CoreAudioTypes must not invent that dependency-owned type.
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeCannotStartPlaying	deferred		Requires the canonical AVAudioSession parent from AVFAudio/AVFoundation; CoreAudioTypes must not invent that dependency-owned type.
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeCannotStartRecording	deferred		Requires the canonical AVAudioSession parent from AVFAudio/AVFoundation; CoreAudioTypes must not invent that dependency-owned type.
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeExpiredSession	deferred		Requires the canonical AVAudioSession parent from AVFAudio/AVFoundation; CoreAudioTypes must not invent that dependency-owned type.
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeIncompatibleCategory	deferred		Requires the canonical AVAudioSession parent from AVFAudio/AVFoundation; CoreAudioTypes must not invent that dependency-owned type.
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeInsufficientPriority	deferred		Requires the canonical AVAudioSession parent from AVFAudio/AVFoundation; CoreAudioTypes must not invent that dependency-owned type.
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeIsBusy	deferred		Requires the canonical AVAudioSession parent from AVFAudio/AVFoundation; CoreAudioTypes must not invent that dependency-owned type.
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeMediaServicesFailed	deferred		Requires the canonical AVAudioSession parent from AVFAudio/AVFoundation; CoreAudioTypes must not invent that dependency-owned type.
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeMissingEntitlement	deferred		Requires the canonical AVAudioSession parent from AVFAudio/AVFoundation; CoreAudioTypes must not invent that dependency-owned type.
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeNone	deferred		Requires the canonical AVAudioSession parent from AVFAudio/AVFoundation; CoreAudioTypes must not invent that dependency-owned type.
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeResourceNotAvailable	deferred		Requires the canonical AVAudioSession parent from AVFAudio/AVFoundation; CoreAudioTypes must not invent that dependency-owned type.
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeSessionNotActive	deferred		Requires the canonical AVAudioSession parent from AVFAudio/AVFoundation; CoreAudioTypes must not invent that dependency-owned type.
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeSiriIsRecording	deferred		Requires the canonical AVAudioSession parent from AVFAudio/AVFoundation; CoreAudioTypes must not invent that dependency-owned type.
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeUnspecified	deferred		Requires the canonical AVAudioSession parent from AVFAudio/AVFoundation; CoreAudioTypes must not invent that dependency-owned type.
c:@E@AudioChannelBitmap	implemented	tests/agent/CoreAudioTypesRuntime.swift:optionSet	OptionSet raw-value round trip and set algebra exercised.
c:@E@AudioChannelBitmap@kAudioChannelBit_Center	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_CenterSurround	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_CenterTopFront	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_CenterTopMiddle	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_CenterTopRear	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_LFEScreen	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_Left	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_LeftCenter	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_LeftSurround	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_LeftSurroundDirect	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_LeftTopFront	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_LeftTopMiddle	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_LeftTopRear	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_Right	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_RightCenter	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_RightSurround	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_RightSurroundDirect	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_RightTopFront	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_RightTopMiddle	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_RightTopRear	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_TopBackCenter	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_TopBackLeft	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_TopBackRight	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_TopCenterSurround	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_VerticalHeightCenter	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_VerticalHeightLeft	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelBitmap@kAudioChannelBit_VerticalHeightRight	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelCoordinateIndex	implemented	tests/agent/CoreAudioTypesRuntime.swift:enum	Enum type identity, Equatable, and Hashable exercised.
c:@E@AudioChannelCoordinateIndex@kAudioChannelCoordinates_Azimuth	implemented	tests/agent/CoreAudioTypesRuntime.swift:enum	Alias identity tested against the matching enum case.
c:@E@AudioChannelCoordinateIndex@kAudioChannelCoordinates_BackFront	implemented	tests/agent/CoreAudioTypesRuntime.swift:enum	Case identity and UInt32 raw-value 0/1/2 round trip tested.
c:@E@AudioChannelCoordinateIndex@kAudioChannelCoordinates_Distance	implemented	tests/agent/CoreAudioTypesRuntime.swift:enum	Alias identity tested against the matching enum case.
c:@E@AudioChannelCoordinateIndex@kAudioChannelCoordinates_DownUp	implemented	tests/agent/CoreAudioTypesRuntime.swift:enum	Case identity and UInt32 raw-value 0/1/2 round trip tested.
c:@E@AudioChannelCoordinateIndex@kAudioChannelCoordinates_Elevation	implemented	tests/agent/CoreAudioTypesRuntime.swift:enum	Alias identity tested against the matching enum case.
c:@E@AudioChannelCoordinateIndex@kAudioChannelCoordinates_LeftRight	implemented	tests/agent/CoreAudioTypesRuntime.swift:enum	Case identity and UInt32 raw-value 0/1/2 round trip tested.
c:@E@AudioChannelFlags	implemented	tests/agent/CoreAudioTypesRuntime.swift:optionSet	OptionSet raw-value round trip and set algebra exercised.
c:@E@AudioChannelFlags@kAudioChannelFlags_Meters	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelFlags@kAudioChannelFlags_RectangularCoordinates	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioChannelFlags@kAudioChannelFlags_SphericalCoordinates	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioTimeStampFlags	implemented	tests/agent/CoreAudioTypesRuntime.swift:optionSet	OptionSet raw-value round trip and set algebra exercised.
c:@E@AudioTimeStampFlags@kAudioTimeStampHostTimeValid	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioTimeStampFlags@kAudioTimeStampRateScalarValid	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioTimeStampFlags@kAudioTimeStampSMPTETimeValid	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioTimeStampFlags@kAudioTimeStampSampleHostTimeValid	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioTimeStampFlags@kAudioTimeStampSampleTimeValid	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@AudioTimeStampFlags@kAudioTimeStampWordClockTimeValid	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@MPEG4ObjectID	implemented	tests/agent/CoreAudioTypesRuntime.swift:enum	Enum type identity, Equatable, and Hashable exercised.
c:@E@MPEG4ObjectID@kMPEG4Object_AAC_LC	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@MPEG4ObjectID@kMPEG4Object_AAC_LTP	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@MPEG4ObjectID@kMPEG4Object_AAC_Main	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@MPEG4ObjectID@kMPEG4Object_AAC_SBR	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@MPEG4ObjectID@kMPEG4Object_AAC_SSR	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@MPEG4ObjectID@kMPEG4Object_AAC_Scalable	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@MPEG4ObjectID@kMPEG4Object_CELP	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@MPEG4ObjectID@kMPEG4Object_HVXC	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@MPEG4ObjectID@kMPEG4Object_TwinVQ	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@SMPTETimeFlags	implemented	tests/agent/CoreAudioTypesRuntime.swift:optionSet	OptionSet raw-value round trip and set algebra exercised.
c:@E@SMPTETimeFlags@kSMPTETimeRunning	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@SMPTETimeFlags@kSMPTETimeValid	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@SMPTETimeType	implemented	tests/agent/CoreAudioTypesRuntime.swift:enum	Enum type identity, Equatable, and Hashable exercised.
c:@E@SMPTETimeType@kSMPTETimeType2398	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
c:@E@SMPTETimeType@kSMPTETimeType24	implemented	tests/agent/CoreAudioTypesAppleOracleRuntime.swift:value	Xcode 26.1 iPhoneOS oracle raw value is asserted by the ordinary-import runtime.
