precise	kind	title	path	declaration
c:@E@AVAudioSessionErrorCode	swift.enum	AVAudioSession.ErrorCode	AVAudioSession.ErrorCode	enum ErrorCode
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeBadParam	swift.enum.case	AVAudioSession.ErrorCode.badParam	AVAudioSession.ErrorCode.badParam	case badParam
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeCannotInterruptOthers	swift.enum.case	AVAudioSession.ErrorCode.cannotInterruptOthers	AVAudioSession.ErrorCode.cannotInterruptOthers	case cannotInterruptOthers
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeCannotStartPlaying	swift.enum.case	AVAudioSession.ErrorCode.cannotStartPlaying	AVAudioSession.ErrorCode.cannotStartPlaying	case cannotStartPlaying
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeCannotStartRecording	swift.enum.case	AVAudioSession.ErrorCode.cannotStartRecording	AVAudioSession.ErrorCode.cannotStartRecording	case cannotStartRecording
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeExpiredSession	swift.enum.case	AVAudioSession.ErrorCode.expiredSession	AVAudioSession.ErrorCode.expiredSession	case expiredSession
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeIncompatibleCategory	swift.enum.case	AVAudioSession.ErrorCode.incompatibleCategory	AVAudioSession.ErrorCode.incompatibleCategory	case incompatibleCategory
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeInsufficientPriority	swift.enum.case	AVAudioSession.ErrorCode.insufficientPriority	AVAudioSession.ErrorCode.insufficientPriority	case insufficientPriority
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeIsBusy	swift.enum.case	AVAudioSession.ErrorCode.isBusy	AVAudioSession.ErrorCode.isBusy	case isBusy
c:@E@AVAudioSessionErrorCode@AVAudioSessionErrorCodeMediaServicesFailed	swift.enum.case	AVAudioSession.ErrorCode.mediaServicesFailed	AVAudioSession.ErrorCode.mediaServicesFailed	case mediaServicesFailed
