precise	status	evidence	notes
c:@CBATTErrorDomain	implemented	tests/agent/CoreBluetoothRuntime.swift	focused Linux runtime evidence
c:@CBAdvertisementDataIsConnectable	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBAdvertisementDataLocalNameKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBAdvertisementDataManufacturerDataKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBAdvertisementDataOverflowServiceUUIDsKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBAdvertisementDataServiceDataKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBAdvertisementDataServiceUUIDsKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBAdvertisementDataSolicitedServiceUUIDsKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBAdvertisementDataTxPowerLevelKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBCentralManagerOptionDeviceAccessForMedia	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBCentralManagerOptionRestoreIdentifierKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBCentralManagerOptionShowPowerAlertKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBCentralManagerRestoredStatePeripheralsKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBCentralManagerRestoredStateScanOptionsKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBCentralManagerRestoredStateScanServicesKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBCentralManagerScanOptionAllowDuplicatesKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBCentralManagerScanOptionSolicitedServiceUUIDsKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBConnectPeripheralOptionEnableAutoReconnect	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBConnectPeripheralOptionEnableTransportBridgingKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBConnectPeripheralOptionNotifyOnConnectionKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBConnectPeripheralOptionNotifyOnDisconnectionKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBConnectPeripheralOptionNotifyOnNotificationKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBConnectPeripheralOptionRequiresANCS	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBConnectPeripheralOptionStartDelayKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBConnectionEventMatchingOptionPeripheralUUIDs	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBConnectionEventMatchingOptionServiceUUIDs	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBErrorDomain	implemented	tests/agent/CoreBluetoothRuntime.swift	focused Linux runtime evidence
c:@CBPeripheralManagerOptionRestoreIdentifierKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBPeripheralManagerOptionShowPowerAlertKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBPeripheralManagerRestoredStateAdvertisementDataKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBPeripheralManagerRestoredStateServicesKey	declared	CoreBluetooth.swift	symbol compiles; Apple binary payload is unobserved
c:@CBUUIDCharacteristicAggregateFormatString	implemented	tests/agent/CoreBluetoothRuntime.swift	focused Linux runtime evidence
c:@CBUUIDCharacteristicExtendedPropertiesString	implemented	tests/agent/CoreBluetoothRuntime.swift	focused Linux runtime evidence
c:@CBUUIDCharacteristicFormatString	implemented	tests/agent/CoreBluetoothRuntime.swift	focused Linux runtime evidence
