category	sdkRelativePath	size	sha256
tbd	System/Library/Frameworks/CoreImage.framework/CoreImage.tbd	20900	1a146a65a9e5b8b9c1c0f50a5a4885e53437e8c6cdd6d7d78fc53ebc71030a4d
header	System/Library/Frameworks/CoreImage.framework/Headers/CIBarcodeDescriptor.h	18977	9f3f9d63bd33c917d205a5c837492b18d3e72e64b71a9013bc65a94ec78f8089
header	System/Library/Frameworks/CoreImage.framework/Headers/CIColor.h	15060	4f0eaa3b68b23596f3a5227e91c364623c3a004b6b26d60904b61ef268bd0b9e
header	System/Library/Frameworks/CoreImage.framework/Headers/CIContext.h	47405	6b99b75ff91f87e4727260f8102ce818a72ffd193ae53dd5ef2b21a0ab90df34
header	System/Library/Frameworks/CoreImage.framework/Headers/CIDetector.h	11613	7f4e053079920b6c7d56b76c385b706519a59684eb12b08869b3ae0381d4e7de
header	System/Library/Frameworks/CoreImage.framework/Headers/CIFeature.h	14608	80903be7a3d67a0d380afc8f63c3f2b358fd38a82a17d55edfa1c17e553553ba
header	System/Library/Frameworks/CoreImage.framework/Headers/CIFilter.h	27089	8b869c3cf67be28c9241b1f053bc65bcbb9c0ba5a2c9618a089f69fae2629848
header	System/Library/Frameworks/CoreImage.framework/Headers/CIFilterBuiltins.h	130709	502f05a787379a17e60c042922b3a4b6757b79fa8d14b51bb945721976f02421
header	System/Library/Frameworks/CoreImage.framework/Headers/CIFilterConstructor.h	498	a682deb8c20e1fe1bdd888b7074ec9b1ec37f987468aa72cafb97383ae7f6bb9
header	System/Library/Frameworks/CoreImage.framework/Headers/CIFilterGenerator.h	7751	d27e023706d49e071103cff4b24d7cfbaa75d65ab159819bb8a848f2f93065ae
header	System/Library/Frameworks/CoreImage.framework/Headers/CIFilterShape.h	1858	1b861ef6808a5d62efb7f7661a8a869e54b62b43dbb52e1fb54fde4c93f56290
header	System/Library/Frameworks/CoreImage.framework/Headers/CIImage.h	41144	8c7f03c4f08d429d23783ae9d9fae77abffc14ccdded67aa926b3f6bc45a98a3
header	System/Library/Frameworks/CoreImage.framework/Headers/CIImageAccumulator.h	2224	3f45404e4b18b5ce6bb289bd1a06952cdeaba04b92fa768794f9f7b285994548
header	System/Library/Frameworks/CoreImage.framework/Headers/CIImageProcessor.h	26463	cd996cde3ff9c2ca084abd56745b9b469236338e8262dc8893c25988892dfa9a
header	System/Library/Frameworks/CoreImage.framework/Headers/CIImageProvider.h	9068	39f0e7279b7c904debabf4e4d137464e5dc30b842621c8c489b7d9437470558d
header	System/Library/Frameworks/CoreImage.framework/Headers/CIKernel.h	15683	c0aae1a9296b955d0e83db2ad27c1d79d49de660bddcf3183e3b3097459d0f3e
header	System/Library/Frameworks/CoreImage.framework/Headers/CIKernelMetalLib.h	12564	bcb60585fa133d8f4383d9c86e83ffa8893a446ec57aa5f812e3c6dc6a6c7438
header	System/Library/Frameworks/CoreImage.framework/Headers/CIPlugIn.h	1803	c10c47f6368b733e27dc020ff04dc10c3e21e01e80fba9d8f30f9b8f5c520728
header	System/Library/Frameworks/CoreImage.framework/Headers/CIPlugInInterface.h	1132	c3ef7fb7a41635e3cbc7d4ca946f31f882632e18d79d24921ecb70caacd695ef
header	System/Library/Frameworks/CoreImage.framework/Headers/CIRAWFilter.h	10795	dbed940c8a86de1dbabde19dd96535e0ca4075cfe0392cc6c191564af8132bc0
header	System/Library/Frameworks/CoreImage.framework/Headers/CIRAWFilter_Deprecated.h	15430	1009df21df0f1972946bce1a04f11c803e4561b9c236a9fbb11aee85b0265ab1
header	System/Library/Frameworks/CoreImage.framework/Headers/CIRenderDestination.h	12754	a54f88c23cb5cce60eb986cfc5dcb9f876d9ac436731350752be0f9d6a5e0c3f
header	System/Library/Frameworks/CoreImage.framework/Headers/CISampler.h	3134	6a25400244ebdbc9fd2632caabf1aa2c3b20cfeb3afd171e45b22ac55ab47757
header	System/Library/Frameworks/CoreImage.framework/Headers/CIVector.h	10375	34bae286d8b7eb84d2dabbc4bef2c80832cb88ee50b58f792d15103df1d044a8
header	System/Library/Frameworks/CoreImage.framework/Headers/CoreImage.apinotes	37585	9ac7c94e68d16e5e12a435f7b79fef7262a7b46bc45438ae33241e00d8c005ba
header	System/Library/Frameworks/CoreImage.framework/Headers/CoreImage.h	968	0311cd04c0acdf1c40fdc210915706112efa8483ad474598b9ac5fc311b0c2c0
header	System/Library/Frameworks/CoreImage.framework/Headers/CoreImageDefines.h	2358	51ff322239b9d432f55d9b58aaf3add7d3e4f5b9b3433b5568b618acee1d885b
modulemap	System/Library/Frameworks/CoreImage.framework/Modules/module.modulemap	200	0d7e8a5f00c1f188c4e61aa1dac842486e36fffe77f6f448f74de04b6263c545
