precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@CLLocationPushServiceErrorDomain	swift.var	["CLLocationPushServiceErrorDomain"]	unmatched	none	0	0		[]
c:@E@CLAccuracyAuthorization	swift.enum	["CLAccuracyAuthorization"]	unmatched	none	0	0		[]
c:@E@CLAccuracyAuthorization@CLAccuracyAuthorizationFullAccuracy	swift.enum.case	["CLAccuracyAuthorization","fullAccuracy"]	unmatched	none	0	0		[]
c:@E@CLAccuracyAuthorization@CLAccuracyAuthorizationReducedAccuracy	swift.enum.case	["CLAccuracyAuthorization","reducedAccuracy"]	unmatched	none	0	0		[]
c:@E@CLActivityType	swift.enum	["CLActivityType"]	unmatched	none	0	0		[]
c:@E@CLActivityType@CLActivityTypeAirborne	swift.enum.case	["CLActivityType","airborne"]	unmatched	none	0	0		[]
c:@E@CLActivityType@CLActivityTypeAutomotiveNavigation	swift.enum.case	["CLActivityType","automotiveNavigation"]	unmatched	none	0	0		[]
c:@E@CLActivityType@CLActivityTypeFitness	swift.enum.case	["CLActivityType","fitness"]	unmatched	none	0	0		[]
c:@E@CLActivityType@CLActivityTypeOther	swift.enum.case	["CLActivityType","other"]	unmatched	none	0	0		[]
c:@E@CLActivityType@CLActivityTypeOtherNavigation	swift.enum.case	["CLActivityType","otherNavigation"]	unmatched	none	0	0		[]
c:@E@CLAuthorizationStatus	swift.enum	["CLAuthorizationStatus"]	unmatched	none	0	0		[]
c:@E@CLAuthorizationStatus@kCLAuthorizationStatusAuthorized	swift.type.property	["CLAuthorizationStatus","authorized"]	unmatched	none	0	0		[]
c:@E@CLAuthorizationStatus@kCLAuthorizationStatusAuthorizedAlways	swift.enum.case	["CLAuthorizationStatus","authorizedAlways"]	unmatched	none	0	0		[]
c:@E@CLAuthorizationStatus@kCLAuthorizationStatusAuthorizedWhenInUse	swift.enum.case	["CLAuthorizationStatus","authorizedWhenInUse"]	unmatched	none	0	0		[]
c:@E@CLAuthorizationStatus@kCLAuthorizationStatusDenied	swift.enum.case	["CLAuthorizationStatus","denied"]	unmatched	none	0	0		[]
c:@E@CLAuthorizationStatus@kCLAuthorizationStatusNotDetermined	swift.enum.case	["CLAuthorizationStatus","notDetermined"]	unmatched	none	0	0		[]
c:@E@CLAuthorizationStatus@kCLAuthorizationStatusRestricted	swift.enum.case	["CLAuthorizationStatus","restricted"]	unmatched	none	0	0		[]
