precise	status	evidence	notes
c:@E@CMPackingType	implemented	test:full/coremedia/tests/agent/CMPackingProjectionTests.swift#testCMPackingProjectionStereoRawValues	focused runtime assertion
c:@E@CMPackingType@kCMPackingType_None	implemented	test:full/coremedia/tests/agent/CMPackingProjectionTests.swift#testCMPackingProjectionStereoRawValues	focused runtime assertion
c:@E@CMPackingType@kCMPackingType_OverUnder	implemented	test:full/coremedia/tests/agent/CMPackingProjectionTests.swift#testCMPackingProjectionStereoRawValues	focused runtime assertion
c:@E@CMPackingType@kCMPackingType_SideBySide	implemented	test:full/coremedia/tests/agent/CMPackingProjectionTests.swift#testCMPackingProjectionStereoRawValues	focused runtime assertion
c:@E@CMProjectionType	implemented	test:full/coremedia/tests/agent/CMPackingProjectionTests.swift#testCMPackingProjectionStereoRawValues	focused runtime assertion
c:@E@CMProjectionType@kCMProjectionType_Equirectangular	implemented	test:full/coremedia/tests/agent/CMPackingProjectionTests.swift#testCMPackingProjectionStereoRawValues	focused runtime assertion
c:@E@CMProjectionType@kCMProjectionType_Fisheye	implemented	test:full/coremedia/tests/agent/CMPackingProjectionTests.swift#testCMPackingProjectionStereoRawValues	focused runtime assertion
c:@E@CMProjectionType@kCMProjectionType_HalfEquirectangular	implemented	test:full/coremedia/tests/agent/CMPackingProjectionTests.swift#testCMPackingProjectionStereoRawValues	focused runtime assertion
c:@E@CMProjectionType@kCMProjectionType_ParametricImmersive	implemented	test:full/coremedia/tests/agent/CMPackingProjectionTests.swift#testCMPackingProjectionStereoRawValues	focused runtime assertion
c:@E@CMProjectionType@kCMProjectionType_Rectangular	implemented	test:full/coremedia/tests/agent/CMPackingProjectionTests.swift#testCMPackingProjectionStereoRawValues	focused runtime assertion
c:@E@CMStereoViewComponents	implemented	test:full/coremedia/tests/agent/CMPackingProjectionTests.swift#testCMPackingProjectionStereoRawValues	focused runtime assertion
c:@E@CMStereoViewComponents@kCMStereoView_LeftEye	implemented	test:full/coremedia/tests/agent/CMPackingProjectionTests.swift#testCMPackingProjectionStereoRawValues	focused runtime assertion
c:@E@CMStereoViewComponents@kCMStereoView_RightEye	implemented	test:full/coremedia/tests/agent/CMPackingProjectionTests.swift#testCMPackingProjectionStereoRawValues	focused runtime assertion
c:@E@CMStereoViewInterpretationOptions	implemented	test:full/coremedia/tests/agent/CMPackingProjectionTests.swift#testCMPackingProjectionStereoRawValues	focused runtime assertion
c:@E@CMStereoViewInterpretationOptions@kCMStereoViewInterpretation_AdditionalViews	implemented	test:full/coremedia/tests/agent/CMPackingProjectionTests.swift#testCMPackingProjectionStereoRawValues	focused runtime assertion
c:@E@CMStereoViewInterpretationOptions@kCMStereoViewInterpretation_StereoOrderReversed	implemented	test:full/coremedia/tests/agent/CMPackingProjectionTests.swift#testCMPackingProjectionStereoRawValues	focused runtime assertion
c:@E@CMTimeFlags	implemented	test:full/coremedia/tests/agent/CMTimeTests.swift#testCMTimeFlagsOptionSet	focused runtime assertion
c:@E@CMTimeFlags@kCMTimeFlags_HasBeenRounded	implemented	test:full/coremedia/tests/agent/CMTimeTests.swift#testCMTimeFlagsOptionSet	focused runtime assertion
c:@E@CMTimeFlags@kCMTimeFlags_ImpliedValueFlagsMask	implemented	test:full/coremedia/tests/agent/CMTimeTests.swift#testCMTimeFlagsOptionSet	focused runtime assertion
c:@E@CMTimeFlags@kCMTimeFlags_Indefinite	implemented	test:full/coremedia/tests/agent/CMTimeTests.swift#testCMTimeFlagsOptionSet	focused runtime assertion
c:@E@CMTimeFlags@kCMTimeFlags_NegativeInfinity	implemented	test:full/coremedia/tests/agent/CMTimeTests.swift#testCMTimeFlagsOptionSet	focused runtime assertion
c:@E@CMTimeFlags@kCMTimeFlags_PositiveInfinity	implemented	test:full/coremedia/tests/agent/CMTimeTests.swift#testCMTimeFlagsOptionSet	focused runtime assertion
c:@E@CMTimeFlags@kCMTimeFlags_Valid	implemented	test:full/coremedia/tests/agent/CMTimeTests.swift#testCMTimeFlagsOptionSet	focused runtime assertion
c:@E@CMTimeRoundingMethod	implemented	test:full/coremedia/tests/agent/CMTimeTests.swift#testCMTimeRoundingMethodRawValues	focused runtime assertion
c:@E@CMTimeRoundingMethod@kCMTimeRoundingMethod_Default	implemented	test:full/coremedia/tests/agent/CMTimeTests.swift#testCMTimeRoundingMethodRawValues	focused runtime assertion
c:@E@CMTimeRoundingMethod@kCMTimeRoundingMethod_QuickTime	implemented	test:full/coremedia/tests/agent/CMTimeTests.swift#testCMTimeRoundingMethodRawValues	focused runtime assertion
c:@E@CMTimeRoundingMethod@kCMTimeRoundingMethod_RoundAwayFromZero	implemented	test:full/coremedia/tests/agent/CMTimeTests.swift#testCMTimeRoundingMethodRawValues	focused runtime assertion
c:@E@CMTimeRoundingMethod@kCMTimeRoundingMethod_RoundHalfAwayFromZero	implemented	test:full/coremedia/tests/agent/CMTimeTests.swift#testCMTimeRoundingMethodRawValues	focused runtime assertion
c:@E@CMTimeRoundingMethod@kCMTimeRoundingMethod_RoundTowardNegativeInfinity	implemented	test:full/coremedia/tests/agent/CMTimeTests.swift#testCMTimeRoundingMethodRawValues	focused runtime assertion
c:@E@CMTimeRoundingMethod@kCMTimeRoundingMethod_RoundTowardPositiveInfinity	implemented	test:full/coremedia/tests/agent/CMTimeTests.swift#testCMTimeRoundingMethodRawValues	focused runtime assertion
c:@E@CMTimeRoundingMethod@kCMTimeRoundingMethod_RoundTowardZero	implemented	test:full/coremedia/tests/agent/CMTimeTests.swift#testCMTimeRoundingMethodRawValues	focused runtime assertion
c:@Ea@kCMAttachmentMode_ShouldNotPropagate@kCMAttachmentMode_ShouldNotPropagate	implemented	test:full/coremedia/tests/agent/CMFormatDescriptionTests.swift#testAttachmentModeConstants	focused runtime assertion
c:@Ea@kCMAttachmentMode_ShouldNotPropagate@kCMAttachmentMode_ShouldPropagate	implemented	test:full/coremedia/tests/agent/CMFormatDescriptionTests.swift#testAttachmentModeConstants	focused runtime assertion
c:@Ea@kCMAudioCodecType_AAC_LCProtected@kCMAudioCodecType_AAC_AudibleProtected	implemented	test:full/coremedia/tests/agent/CMAudioFormatAndConstantTests.swift#testCMAudioFormatDescriptionEqualSummaryAndMagicCookie	focused runtime assertion
c:@Ea@kCMAudioCodecType_AAC_LCProtected@kCMAudioCodecType_AAC_LCProtected	implemented	test:full/coremedia/tests/agent/CMAudioFormatAndConstantTests.swift#testCMAudioFormatDescriptionEqualSummaryAndMagicCookie	focused runtime assertion
c:@Ea@kCMAudioFormatDescriptionMask_StreamBasicDescription@kCMAudioFormatDescriptionMask_All	implemented	test:full/coremedia/tests/agent/CMAudioFormatAndConstantTests.swift#testCMAudioFormatDescriptionEqualSummaryAndMagicCookie	focused runtime assertion
c:@Ea@kCMAudioFormatDescriptionMask_StreamBasicDescription@kCMAudioFormatDescriptionMask_ChannelLayout	implemented	test:full/coremedia/tests/agent/CMAudioFormatAndConstantTests.swift#testCMAudioFormatDescriptionEqualSummaryAndMagicCookie	focused runtime assertion
c:@Ea@kCMAudioFormatDescriptionMask_StreamBasicDescription@kCMAudioFormatDescriptionMask_Extensions	implemented	test:full/coremedia/tests/agent/CMAudioFormatAndConstantTests.swift#testCMAudioFormatDescriptionEqualSummaryAndMagicCookie	focused runtime assertion
c:@Ea@kCMAudioFormatDescriptionMask_StreamBasicDescription@kCMAudioFormatDescriptionMask_MagicCookie	implemented	test:full/coremedia/tests/agent/CMAudioFormatAndConstantTests.swift#testCMAudioFormatDescriptionEqualSummaryAndMagicCookie	focused runtime assertion
c:@Ea@kCMAudioFormatDescriptionMask_StreamBasicDescription@kCMAudioFormatDescriptionMask_StreamBasicDescription	implemented	test:full/coremedia/tests/agent/CMAudioFormatAndConstantTests.swift#testCMAudioFormatDescriptionEqualSummaryAndMagicCookie	focused runtime assertion
c:@Ea@kCMBlockBufferAssureMemoryNowFlag@kCMBlockBufferAlwaysCopyDataFlag	implemented	test:full/coremedia/tests/agent/CMAudioFormatAndConstantTests.swift#testCMBlockBufferFlagAndErrorConstants	focused runtime assertion
c:@Ea@kCMBlockBufferAssureMemoryNowFlag@kCMBlockBufferAssureMemoryNowFlag	implemented	test:full/coremedia/tests/agent/CMBufferTests.swift#testCMBlockBufferCreateCopyFill	focused runtime assertion
c:@Ea@kCMBlockBufferAssureMemoryNowFlag@kCMBlockBufferDontOptimizeDepthFlag	implemented	test:full/coremedia/tests/agent/CMAudioFormatAndConstantTests.swift#testCMBlockBufferFlagAndErrorConstants	focused runtime assertion
c:@Ea@kCMBlockBufferAssureMemoryNowFlag@kCMBlockBufferPermitEmptyReferenceFlag	implemented	test:full/coremedia/tests/agent/CMAudioFormatAndConstantTests.swift#testCMBlockBufferFlagAndErrorConstants	focused runtime assertion
c:@Ea@kCMBlockBufferCustomBlockSourceVersion@kCMBlockBufferCustomBlockSourceVersion	implemented	test:full/coremedia/tests/agent/CMAudioFormatAndConstantTests.swift#testCMBlockBufferFlagAndErrorConstants	focused runtime assertion
c:@Ea@kCMBlockBufferNoErr@kCMBlockBufferBadCustomBlockSourceErr	implemented	test:full/coremedia/tests/agent/CMAudioFormatAndConstantTests.swift#testCMBlockBufferFlagAndErrorConstants	focused runtime assertion
c:@Ea@kCMBlockBufferNoErr@kCMBlockBufferBadLengthParameterErr	implemented	test:full/coremedia/tests/agent/CMAudioFormatAndConstantTests.swift#testCMBlockBufferFlagAndErrorConstants	focused runtime assertion
c:@Ea@kCMBlockBufferNoErr@kCMBlockBufferBadOffsetParameterErr	implemented	test:full/coremedia/tests/agent/CMAudioFormatAndConstantTests.swift#testCMBlockBufferFlagAndErrorConstants	focused runtime assertion
c:@Ea@kCMBlockBufferNoErr@kCMBlockBufferBadPointerParameterErr	implemented	test:full/coremedia/tests/agent/CMAudioFormatAndConstantTests.swift#testCMBlockBufferFlagAndErrorConstants	focused runtime assertion
c:@Ea@kCMBlockBufferNoErr@kCMBlockBufferBlockAllocationFailedErr	implemented	test:full/coremedia/tests/agent/CMAudioFormatAndConstantTests.swift#testCMBlockBufferFlagAndErrorConstants	focused runtime assertion
c:@Ea@kCMBlockBufferNoErr@kCMBlockBufferEmptyBBufErr	implemented	test:full/coremedia/tests/agent/CMAudioFormatAndConstantTests.swift#testCMBlockBufferFlagAndErrorConstants	focused runtime assertion
