precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@E@CMPackingType	swift.enum	["CMPackingType"]	unmatched	none	0	0		[]
c:@E@CMPackingType@kCMPackingType_None	swift.enum.case	["CMPackingType","none"]	unmatched	none	0	0		[]
c:@E@CMPackingType@kCMPackingType_OverUnder	swift.enum.case	["CMPackingType","overUnder"]	unmatched	none	0	0		[]
c:@E@CMPackingType@kCMPackingType_SideBySide	swift.enum.case	["CMPackingType","sideBySide"]	unmatched	none	0	0		[]
c:@E@CMProjectionType	swift.enum	["CMProjectionType"]	unmatched	none	0	0		[]
c:@E@CMProjectionType@kCMProjectionType_Equirectangular	swift.enum.case	["CMProjectionType","equirectangular"]	unmatched	none	0	0		[]
c:@E@CMProjectionType@kCMProjectionType_Fisheye	swift.enum.case	["CMProjectionType","fisheye"]	unmatched	none	0	0		[]
c:@E@CMProjectionType@kCMProjectionType_HalfEquirectangular	swift.enum.case	["CMProjectionType","halfEquirectangular"]	unmatched	none	0	0		[]
c:@E@CMProjectionType@kCMProjectionType_ParametricImmersive	swift.enum.case	["CMProjectionType","parametricImmersive"]	unmatched	none	0	0		[]
c:@E@CMProjectionType@kCMProjectionType_Rectangular	swift.enum.case	["CMProjectionType","rectangular"]	unmatched	none	0	0		[]
c:@E@CMStereoViewComponents	swift.struct	["CMStereoViewComponents"]	unmatched	none	0	0		[]
c:@E@CMStereoViewComponents@kCMStereoView_LeftEye	swift.type.property	["CMStereoViewComponents","leftEye"]	unmatched	none	0	0		[]
c:@E@CMStereoViewComponents@kCMStereoView_RightEye	swift.type.property	["CMStereoViewComponents","rightEye"]	unmatched	none	0	0		[]
c:@E@CMStereoViewInterpretationOptions	swift.struct	["CMStereoViewInterpretationOptions"]	unmatched	none	0	0		[]
c:@E@CMStereoViewInterpretationOptions@kCMStereoViewInterpretation_AdditionalViews	swift.type.property	["CMStereoViewInterpretationOptions","additionalViews"]	unmatched	none	0	0		[]
c:@E@CMStereoViewInterpretationOptions@kCMStereoViewInterpretation_StereoOrderReversed	swift.type.property	["CMStereoViewInterpretationOptions","stereoOrderReversed"]	unmatched	none	0	0		[]
c:@E@CMTimeFlags	swift.struct	["CMTimeFlags"]	unmatched	none	0	0		[]
c:@E@CMTimeFlags@kCMTimeFlags_HasBeenRounded	swift.type.property	["CMTimeFlags","hasBeenRounded"]	unmatched	none	0	0		[]
c:@E@CMTimeFlags@kCMTimeFlags_ImpliedValueFlagsMask	swift.type.property	["CMTimeFlags","impliedValueFlagsMask"]	unmatched	none	0	0		[]
c:@E@CMTimeFlags@kCMTimeFlags_Indefinite	swift.type.property	["CMTimeFlags","indefinite"]	unmatched	none	0	0		[]
c:@E@CMTimeFlags@kCMTimeFlags_NegativeInfinity	swift.type.property	["CMTimeFlags","negativeInfinity"]	unmatched	none	0	0		[]
c:@E@CMTimeFlags@kCMTimeFlags_PositiveInfinity	swift.type.property	["CMTimeFlags","positiveInfinity"]	unmatched	none	0	0		[]
c:@E@CMTimeFlags@kCMTimeFlags_Valid	swift.type.property	["CMTimeFlags","valid"]	unmatched	none	0	0		[]
c:@E@CMTimeRoundingMethod	swift.enum	["CMTimeRoundingMethod"]	unmatched	none	0	0		[]
c:@E@CMTimeRoundingMethod@kCMTimeRoundingMethod_Default	swift.type.property	["CMTimeRoundingMethod","default"]	unmatched	none	0	0		[]
c:@E@CMTimeRoundingMethod@kCMTimeRoundingMethod_QuickTime	swift.enum.case	["CMTimeRoundingMethod","quickTime"]	unmatched	none	0	0		[]
c:@E@CMTimeRoundingMethod@kCMTimeRoundingMethod_RoundAwayFromZero	swift.enum.case	["CMTimeRoundingMethod","roundAwayFromZero"]	unmatched	none	0	0		[]
