precise	kind	title	path	declaration
c:@E@MIDICICategoryOptions	swift.struct	MIDICICategoryOptions	MIDICICategoryOptions	struct MIDICICategoryOptions
c:@E@MIDICICategoryOptions@kMIDICICategoryOptionsProcessInquirySupported	swift.type.property	processInquirySupported	MIDICICategoryOptions.processInquirySupported	static var processInquirySupported: MIDICICategoryOptions { get }
c:@E@MIDICICategoryOptions@kMIDICICategoryOptionsProfileConfigurationSupported	swift.type.property	profileConfigurationSupported	MIDICICategoryOptions.profileConfigurationSupported	static var profileConfigurationSupported: MIDICICategoryOptions { get }
c:@E@MIDICICategoryOptions@kMIDICICategoryOptionsPropertyExchangeSupported	swift.type.property	propertyExchangeSupported	MIDICICategoryOptions.propertyExchangeSupported	static var propertyExchangeSupported: MIDICICategoryOptions { get }
c:@E@MIDICICategoryOptions@kMIDICICategoryOptionsProtocolNegotiation	swift.type.property	protocolNegotiation	MIDICICategoryOptions.protocolNegotiation	static var protocolNegotiation: MIDICICategoryOptions { get }
c:@E@MIDICIDeviceType	swift.enum	MIDICIDeviceType	MIDICIDeviceType	enum MIDICIDeviceType
c:@E@MIDICIDeviceType@kMIDICIDeviceTypeLegacyMIDI1	swift.enum.case	MIDICIDeviceType.legacyMIDI1	MIDICIDeviceType.legacyMIDI1	case legacyMIDI1
c:@E@MIDICIDeviceType@kMIDICIDeviceTypeUSBMIDI	swift.enum.case	MIDICIDeviceType.usbMIDI	MIDICIDeviceType.usbMIDI	case usbMIDI
c:@E@MIDICIDeviceType@kMIDICIDeviceTypeUnknown	swift.enum.case	MIDICIDeviceType.unknown	MIDICIDeviceType.unknown	case unknown
c:@E@MIDICIDeviceType@kMIDICIDeviceTypeVirtual	swift.enum.case	MIDICIDeviceType.virtual	MIDICIDeviceType.virtual	case virtual
c:@E@MIDICIManagementMessageType	swift.enum	MIDICIManagementMessageType	MIDICIManagementMessageType	enum MIDICIManagementMessageType
c:@E@MIDICIManagementMessageType@kMIDICIManagementMessageTypeDiscovery	swift.enum.case	MIDICIManagementMessageType.discovery	MIDICIManagementMessageType.discovery	case discovery
c:@E@MIDICIManagementMessageType@kMIDICIManagementMessageTypeInquiryEndpointInformation	swift.enum.case	MIDICIManagementMessageType.inquiryEndpointInformation	MIDICIManagementMessageType.inquiryEndpointInformation	case inquiryEndpointInformation
c:@E@MIDICIManagementMessageType@kMIDICIManagementMessageTypeInvalidateMUID	swift.enum.case	MIDICIManagementMessageType.invalidateMUID	MIDICIManagementMessageType.invalidateMUID	case invalidateMUID
c:@E@MIDICIManagementMessageType@kMIDICIManagementMessageTypeMIDICIACK	swift.enum.case	MIDICIManagementMessageType.midiCIACK	MIDICIManagementMessageType.midiCIACK	case midiCIACK
c:@E@MIDICIManagementMessageType@kMIDICIManagementMessageTypeMIDICINAK	swift.enum.case	MIDICIManagementMessageType.midiNAK	MIDICIManagementMessageType.midiNAK	case midiNAK
c:@E@MIDICIManagementMessageType@kMIDICIManagementMessageTypeReplyToDiscovery	swift.enum.case	MIDICIManagementMessageType.replyToDiscovery	MIDICIManagementMessageType.replyToDiscovery	case replyToDiscovery
c:@E@MIDICIManagementMessageType@kMIDICIManagementMessageTypeReplyToEndpointInformation	swift.enum.case	MIDICIManagementMessageType.replyToEndpointInformation	MIDICIManagementMessageType.replyToEndpointInformation	case replyToEndpointInformation
c:@E@MIDICIProcessInquiryMessageType	swift.enum	MIDICIProcessInquiryMessageType	MIDICIProcessInquiryMessageType	enum MIDICIProcessInquiryMessageType
c:@E@MIDICIProcessInquiryMessageType@kMIDICIProcessInquiryMessageTypeEndOfMIDIMessageReport	swift.enum.case	MIDICIProcessInquiryMessageType.endOfMIDIMessageReport	MIDICIProcessInquiryMessageType.endOfMIDIMessageReport	case endOfMIDIMessageReport
c:@E@MIDICIProcessInquiryMessageType@kMIDICIProcessInquiryMessageTypeInquiryMIDIMessageReport	swift.enum.case	MIDICIProcessInquiryMessageType.inquiryMIDIMessageReport	MIDICIProcessInquiryMessageType.inquiryMIDIMessageReport	case inquiryMIDIMessageReport
c:@E@MIDICIProcessInquiryMessageType@kMIDICIProcessInquiryMessageTypeInquiryProcessInquiryCapabilities	swift.enum.case	MIDICIProcessInquiryMessageType.inquiryProcessInquiryCapabilities	MIDICIProcessInquiryMessageType.inquiryProcessInquiryCapabilities	case inquiryProcessInquiryCapabilities
c:@E@MIDICIProcessInquiryMessageType@kMIDICIProcessInquiryMessageTypeReplyToMIDIMessageReport	swift.enum.case	MIDICIProcessInquiryMessageType.replyToMIDIMessageReport	MIDICIProcessInquiryMessageType.replyToMIDIMessageReport	case replyToMIDIMessageReport
c:@E@MIDICIProcessInquiryMessageType@kMIDICIProcessInquiryMessageTypeReplyToProcessInquiryCapabilities	swift.enum.case	MIDICIProcessInquiryMessageType.replyToProcessInquiryCapabilities	MIDICIProcessInquiryMessageType.replyToProcessInquiryCapabilities	case replyToProcessInquiryCapabilities
c:@E@MIDICIProfileMessageType	swift.enum	MIDICIProfileMessageType	MIDICIProfileMessageType	enum MIDICIProfileMessageType
c:@E@MIDICIProfileMessageType@kMIDICIProfileMessageTypeDetailsInquiry	swift.enum.case	MIDICIProfileMessageType.detailsInquiry	MIDICIProfileMessageType.detailsInquiry	case detailsInquiry
c:@E@MIDICIProfileMessageType@kMIDICIProfileMessageTypeProfileAdded	swift.enum.case	MIDICIProfileMessageType.profileAdded	MIDICIProfileMessageType.profileAdded	case profileAdded
c:@E@MIDICIProfileMessageType@kMIDICIProfileMessageTypeProfileDisabledReport	swift.enum.case	MIDICIProfileMessageType.profileDisabledReport	MIDICIProfileMessageType.profileDisabledReport	case profileDisabledReport
c:@E@MIDICIProfileMessageType@kMIDICIProfileMessageTypeProfileEnabledReport	swift.enum.case	MIDICIProfileMessageType.profileEnabledReport	MIDICIProfileMessageType.profileEnabledReport	case profileEnabledReport
c:@E@MIDICIProfileMessageType@kMIDICIProfileMessageTypeProfileInquiry	swift.enum.case	MIDICIProfileMessageType.profileInquiry	MIDICIProfileMessageType.profileInquiry	case profileInquiry
c:@E@MIDICIProfileMessageType@kMIDICIProfileMessageTypeProfileRemoved	swift.enum.case	MIDICIProfileMessageType.profileRemoved	MIDICIProfileMessageType.profileRemoved	case profileRemoved
c:@E@MIDICIProfileMessageType@kMIDICIProfileMessageTypeProfileSpecificData	swift.enum.case	MIDICIProfileMessageType.profileSpecificData	MIDICIProfileMessageType.profileSpecificData	case profileSpecificData
c:@E@MIDICIProfileMessageType@kMIDICIProfileMessageTypeReplyToDetailsInquiry	swift.enum.case	MIDICIProfileMessageType.replyToDetailsInquiry	MIDICIProfileMessageType.replyToDetailsInquiry	case replyToDetailsInquiry
c:@E@MIDICIProfileMessageType@kMIDICIProfileMessageTypeReplyToProfileInquiry	swift.enum.case	MIDICIProfileMessageType.replyToProfileInquiry	MIDICIProfileMessageType.replyToProfileInquiry	case replyToProfileInquiry
c:@E@MIDICIProfileMessageType@kMIDICIProfileMessageTypeSetProfileOff	swift.enum.case	MIDICIProfileMessageType.setProfileOff	MIDICIProfileMessageType.setProfileOff	case setProfileOff
c:@E@MIDICIProfileMessageType@kMIDICIProfileMessageTypeSetProfileOn	swift.enum.case	MIDICIProfileMessageType.setProfileOn	MIDICIProfileMessageType.setProfileOn	case setProfileOn
c:@E@MIDICIProfileType	swift.enum	MIDICIProfileType	MIDICIProfileType	enum MIDICIProfileType
c:@E@MIDICIProfileType@kMIDICIProfileTypeFunctionBlock	swift.enum.case	MIDICIProfileType.functionBlock	MIDICIProfileType.functionBlock	case functionBlock
c:@E@MIDICIProfileType@kMIDICIProfileTypeGroup	swift.enum.case	MIDICIProfileType.group	MIDICIProfileType.group	case group
c:@E@MIDICIProfileType@kMIDICIProfileTypeMultichannel	swift.enum.case	MIDICIProfileType.multichannel	MIDICIProfileType.multichannel	case multichannel
c:@E@MIDICIProfileType@kMIDICIProfileTypeSingleChannel	swift.enum.case	MIDICIProfileType.singleChannel	MIDICIProfileType.singleChannel	case singleChannel
c:@E@MIDICIPropertyExchangeMessageType	swift.enum	MIDICIPropertyExchangeMessageType	MIDICIPropertyExchangeMessageType	enum MIDICIPropertyExchangeMessageType
c:@E@MIDICIPropertyExchangeMessageType@kMIDICIPropertyExchangeMessageTypeInquiryGetPropertyData	swift.enum.case	MIDICIPropertyExchangeMessageType.inquiryGetPropertyData	MIDICIPropertyExchangeMessageType.inquiryGetPropertyData	case inquiryGetPropertyData
c:@E@MIDICIPropertyExchangeMessageType@kMIDICIPropertyExchangeMessageTypeInquiryHasPropertyData_Reserved	swift.enum.case	MIDICIPropertyExchangeMessageType.inquiryHasPropertyData_Reserved	MIDICIPropertyExchangeMessageType.inquiryHasPropertyData_Reserved	case inquiryHasPropertyData_Reserved
c:@E@MIDICIPropertyExchangeMessageType@kMIDICIPropertyExchangeMessageTypeInquiryPropertyExchangeCapabilities	swift.enum.case	MIDICIPropertyExchangeMessageType.inquiryPropertyExchangeCapabilities	MIDICIPropertyExchangeMessageType.inquiryPropertyExchangeCapabilities	case inquiryPropertyExchangeCapabilities
c:@E@MIDICIPropertyExchangeMessageType@kMIDICIPropertyExchangeMessageTypeInquiryReplyToHasPropertyData_Reserved	swift.enum.case	MIDICIPropertyExchangeMessageType.inquiryReplyToHasPropertyData_Reserved	MIDICIPropertyExchangeMessageType.inquiryReplyToHasPropertyData_Reserved	case inquiryReplyToHasPropertyData_Reserved
c:@E@MIDICIPropertyExchangeMessageType@kMIDICIPropertyExchangeMessageTypeInquirySetPropertyData	swift.enum.case	MIDICIPropertyExchangeMessageType.inquirySetPropertyData	MIDICIPropertyExchangeMessageType.inquirySetPropertyData	case inquirySetPropertyData
c:@E@MIDICIPropertyExchangeMessageType@kMIDICIPropertyExchangeMessageTypeNotify	swift.enum.case	MIDICIPropertyExchangeMessageType.notify	MIDICIPropertyExchangeMessageType.notify	case notify
c:@E@MIDICIPropertyExchangeMessageType@kMIDICIPropertyExchangeMessageTypeReplyToGetProperty	swift.enum.case	MIDICIPropertyExchangeMessageType.replyToGetProperty	MIDICIPropertyExchangeMessageType.replyToGetProperty	case replyToGetProperty
c:@E@MIDICIPropertyExchangeMessageType@kMIDICIPropertyExchangeMessageTypeReplyToPropertyExchangeCapabilities	swift.enum.case	MIDICIPropertyExchangeMessageType.replyToPropertyExchangeCapabilities	MIDICIPropertyExchangeMessageType.replyToPropertyExchangeCapabilities	case replyToPropertyExchangeCapabilities
c:@E@MIDICIPropertyExchangeMessageType@kMIDICIPropertyExchangeMessageTypeReplyToSetPropertyData	swift.enum.case	MIDICIPropertyExchangeMessageType.replyToSetPropertyData	MIDICIPropertyExchangeMessageType.replyToSetPropertyData	case replyToSetPropertyData
c:@E@MIDICIPropertyExchangeMessageType@kMIDICIPropertyExchangeMessageTypeReplyToSubscription	swift.enum.case	MIDICIPropertyExchangeMessageType.replyToSubscription	MIDICIPropertyExchangeMessageType.replyToSubscription	case replyToSubscription
c:@E@MIDICIPropertyExchangeMessageType@kMIDICIPropertyExchangeMessageTypeSubscription	swift.enum.case	MIDICIPropertyExchangeMessageType.subscription	MIDICIPropertyExchangeMessageType.subscription	case subscription
c:@E@MIDICVStatus	swift.enum	MIDICVStatus	MIDICVStatus	enum MIDICVStatus
c:@E@MIDICVStatus@kMIDICVStatusAssignableControl	swift.enum.case	MIDICVStatus.assignableControl	MIDICVStatus.assignableControl	case assignableControl
c:@E@MIDICVStatus@kMIDICVStatusAssignablePNC	swift.enum.case	MIDICVStatus.assignablePNC	MIDICVStatus.assignablePNC	case assignablePNC
c:@E@MIDICVStatus@kMIDICVStatusChannelPressure	swift.enum.case	MIDICVStatus.channelPressure	MIDICVStatus.channelPressure	case channelPressure
c:@E@MIDICVStatus@kMIDICVStatusControlChange	swift.enum.case	MIDICVStatus.controlChange	MIDICVStatus.controlChange	case controlChange
c:@E@MIDICVStatus@kMIDICVStatusNoteOff	swift.enum.case	MIDICVStatus.noteOff	MIDICVStatus.noteOff	case noteOff
c:@E@MIDICVStatus@kMIDICVStatusNoteOn	swift.enum.case	MIDICVStatus.noteOn	MIDICVStatus.noteOn	case noteOn
c:@E@MIDICVStatus@kMIDICVStatusPerNoteMgmt	swift.enum.case	MIDICVStatus.perNoteMgmt	MIDICVStatus.perNoteMgmt	case perNoteMgmt
c:@E@MIDICVStatus@kMIDICVStatusPerNotePitchBend	swift.enum.case	MIDICVStatus.perNotePitchBend	MIDICVStatus.perNotePitchBend	case perNotePitchBend
c:@E@MIDICVStatus@kMIDICVStatusPitchBend	swift.enum.case	MIDICVStatus.pitchBend	MIDICVStatus.pitchBend	case pitchBend
c:@E@MIDICVStatus@kMIDICVStatusPolyPressure	swift.enum.case	MIDICVStatus.polyPressure	MIDICVStatus.polyPressure	case polyPressure
c:@E@MIDICVStatus@kMIDICVStatusProgramChange	swift.enum.case	MIDICVStatus.programChange	MIDICVStatus.programChange	case programChange
c:@E@MIDICVStatus@kMIDICVStatusRegisteredControl	swift.enum.case	MIDICVStatus.registeredControl	MIDICVStatus.registeredControl	case registeredControl
c:@E@MIDICVStatus@kMIDICVStatusRegisteredPNC	swift.enum.case	MIDICVStatus.registeredPNC	MIDICVStatus.registeredPNC	case registeredPNC
c:@E@MIDICVStatus@kMIDICVStatusRelAssignableControl	swift.enum.case	MIDICVStatus.relAssignableControl	MIDICVStatus.relAssignableControl	case relAssignableControl
c:@E@MIDICVStatus@kMIDICVStatusRelRegisteredControl	swift.enum.case	MIDICVStatus.relRegisteredControl	MIDICVStatus.relRegisteredControl	case relRegisteredControl
c:@E@MIDIMessageType	swift.enum	MIDIMessageType	MIDIMessageType	enum MIDIMessageType
c:@E@MIDIMessageType@kMIDIMessageTypeChannelVoice1	swift.enum.case	MIDIMessageType.channelVoice1	MIDIMessageType.channelVoice1	case channelVoice1
c:@E@MIDIMessageType@kMIDIMessageTypeChannelVoice2	swift.enum.case	MIDIMessageType.channelVoice2	MIDIMessageType.channelVoice2	case channelVoice2
c:@E@MIDIMessageType@kMIDIMessageTypeData128	swift.enum.case	MIDIMessageType.data128	MIDIMessageType.data128	case data128
c:@E@MIDIMessageType@kMIDIMessageTypeFlexData	swift.enum.case	MIDIMessageType.flexData	MIDIMessageType.flexData	case flexData
c:@E@MIDIMessageType@kMIDIMessageTypeInvalid	swift.enum.case	MIDIMessageType.invalid	MIDIMessageType.invalid	case invalid
c:@E@MIDIMessageType@kMIDIMessageTypeStream	swift.type.property	stream	MIDIMessageType.stream	static var stream: MIDIMessageType { get }
c:@E@MIDIMessageType@kMIDIMessageTypeSysEx	swift.enum.case	MIDIMessageType.sysEx	MIDIMessageType.sysEx	case sysEx
c:@E@MIDIMessageType@kMIDIMessageTypeSystem	swift.enum.case	MIDIMessageType.system	MIDIMessageType.system	case system
c:@E@MIDIMessageType@kMIDIMessageTypeUnknownF	swift.enum.case	MIDIMessageType.unknownF	MIDIMessageType.unknownF	case unknownF
c:@E@MIDIMessageType@kMIDIMessageTypeUtility	swift.enum.case	MIDIMessageType.utility	MIDIMessageType.utility	case utility
c:@E@MIDINetworkConnectionPolicy	swift.enum	MIDINetworkConnectionPolicy	MIDINetworkConnectionPolicy	enum MIDINetworkConnectionPolicy
c:@E@MIDINetworkConnectionPolicy@MIDINetworkConnectionPolicy_Anyone	swift.enum.case	MIDINetworkConnectionPolicy.anyone	MIDINetworkConnectionPolicy.anyone	case anyone
c:@E@MIDINetworkConnectionPolicy@MIDINetworkConnectionPolicy_HostsInContactList	swift.enum.case	MIDINetworkConnectionPolicy.hostsInContactList	MIDINetworkConnectionPolicy.hostsInContactList	case hostsInContactList
c:@E@MIDINetworkConnectionPolicy@MIDINetworkConnectionPolicy_NoOne	swift.enum.case	MIDINetworkConnectionPolicy.noOne	MIDINetworkConnectionPolicy.noOne	case noOne
c:@E@MIDINoteAttribute	swift.enum	MIDINoteAttribute	MIDINoteAttribute	enum MIDINoteAttribute
c:@E@MIDINoteAttribute@kMIDINoteAttributeManufacturerSpecific	swift.enum.case	MIDINoteAttribute.manufacturerSpecific	MIDINoteAttribute.manufacturerSpecific	case manufacturerSpecific
c:@E@MIDINoteAttribute@kMIDINoteAttributeNone	swift.enum.case	MIDINoteAttribute.none	MIDINoteAttribute.none	case none
c:@E@MIDINoteAttribute@kMIDINoteAttributePitch	swift.enum.case	MIDINoteAttribute.pitch	MIDINoteAttribute.pitch	case pitch
