precise	status	evidence	notes
c:@E@MLComputeUnits	implemented	tests/agent/CoreMLRuntime.swift:testEnums	MLComputeUnits: Raw values match the Xcode 26.1 public overlay.
c:@E@MLComputeUnits@MLComputeUnitsAll	implemented	tests/agent/CoreMLRuntime.swift:testEnums	MLComputeUnits.all: Raw values match the Xcode 26.1 public overlay.
c:@E@MLComputeUnits@MLComputeUnitsCPUAndGPU	implemented	tests/agent/CoreMLRuntime.swift:testEnums	MLComputeUnits.cpuAndGPU: Raw values match the Xcode 26.1 public overlay.
c:@E@MLComputeUnits@MLComputeUnitsCPUAndNeuralEngine	implemented	tests/agent/CoreMLRuntime.swift:testEnums	MLComputeUnits.cpuAndNeuralEngine: Raw values match the Xcode 26.1 public overlay.
c:@E@MLComputeUnits@MLComputeUnitsCPUOnly	implemented	tests/agent/CoreMLRuntime.swift:testEnums	MLComputeUnits.cpuOnly: Raw values match the Xcode 26.1 public overlay.
c:@E@MLFeatureType	implemented	tests/agent/CoreMLRuntime.swift:testEnums	MLFeatureType: Raw values match the Xcode 26.1 public overlay.
c:@E@MLFeatureType@MLFeatureTypeDictionary	implemented	tests/agent/CoreMLRuntime.swift:testEnums	MLFeatureType.dictionary: Raw values match the Xcode 26.1 public overlay.
c:@E@MLFeatureType@MLFeatureTypeDouble	implemented	tests/agent/CoreMLRuntime.swift:testEnums	MLFeatureType.double: Raw values match the Xcode 26.1 public overlay.
c:@E@MLFeatureType@MLFeatureTypeImage	implemented	tests/agent/CoreMLRuntime.swift:testEnums	MLFeatureType.image: Raw values match the Xcode 26.1 public overlay.
c:@E@MLFeatureType@MLFeatureTypeInt64	implemented	tests/agent/CoreMLRuntime.swift:testEnums	MLFeatureType.int64: Raw values match the Xcode 26.1 public overlay.
c:@E@MLFeatureType@MLFeatureTypeInvalid	implemented	tests/agent/CoreMLRuntime.swift:testEnums	MLFeatureType.invalid: Raw values match the Xcode 26.1 public overlay.
c:@E@MLFeatureType@MLFeatureTypeMultiArray	implemented	tests/agent/CoreMLRuntime.swift:testEnums	MLFeatureType.multiArray: Raw values match the Xcode 26.1 public overlay.
c:@E@MLFeatureType@MLFeatureTypeSequence	implemented	tests/agent/CoreMLRuntime.swift:testEnums	MLFeatureType.sequence: Raw values match the Xcode 26.1 public overlay.
c:@E@MLFeatureType@MLFeatureTypeState	implemented	tests/agent/CoreMLRuntime.swift:testEnums	MLFeatureType.state: Raw values match the Xcode 26.1 public overlay.
c:@E@MLFeatureType@MLFeatureTypeString	implemented	tests/agent/CoreMLRuntime.swift:testEnums	MLFeatureType.string: Raw values match the Xcode 26.1 public overlay.
c:@E@MLImageSizeConstraintType	implemented	tests/agent/CoreMLRuntime.swift:testEnums	MLImageSizeConstraintType: Raw values match the Xcode 26.1 public overlay.
c:@E@MLImageSizeConstraintType@MLImageSizeConstraintTypeEnumerated	implemented	tests/agent/CoreMLRuntime.swift:testEnums	MLImageSizeConstraintType.enumerated: Raw values match the Xcode 26.1 public overlay.
