precise	status	evidence	notes
c:@CMErrorDomain	declared	CoreMotion.swift;CoreMotionRuntime.swift:assertErrorSurface	Linux fallback spelling CMErrorDomain; Darwin payload unobserved.
c:@E@CMAttitudeReferenceFrame	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertOptionSet	Exercised by the isolated host runtime.
c:@E@CMAttitudeReferenceFrame@CMAttitudeReferenceFrameXArbitraryCorrectedZVertical	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertOptionSet	Exercised by the isolated host runtime.
c:@E@CMAttitudeReferenceFrame@CMAttitudeReferenceFrameXArbitraryZVertical	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertOptionSet	Exercised by the isolated host runtime.
c:@E@CMAttitudeReferenceFrame@CMAttitudeReferenceFrameXMagneticNorthZVertical	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertOptionSet	Exercised by the isolated host runtime.
c:@E@CMAttitudeReferenceFrame@CMAttitudeReferenceFrameXTrueNorthZVertical	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertOptionSet	Exercised by the isolated host runtime.
c:@E@CMAuthorizationStatus	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertEnums	Exercised by the isolated host runtime.
c:@E@CMAuthorizationStatus@CMAuthorizationStatusAuthorized	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertEnums	Exercised by the isolated host runtime.
c:@E@CMAuthorizationStatus@CMAuthorizationStatusDenied	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertEnums	Exercised by the isolated host runtime.
c:@E@CMAuthorizationStatus@CMAuthorizationStatusNotDetermined	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertEnums	Exercised by the isolated host runtime.
c:@E@CMAuthorizationStatus@CMAuthorizationStatusRestricted	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertEnums	Exercised by the isolated host runtime.
c:@E@CMDeviceMotionSensorLocation	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertEnums	Exercised by the isolated host runtime.
c:@E@CMDeviceMotionSensorLocation@CMDeviceMotionSensorLocationDefault	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertEnums	Exercised by the isolated host runtime.
c:@E@CMDeviceMotionSensorLocation@CMDeviceMotionSensorLocationHeadphoneLeft	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertEnums	Exercised by the isolated host runtime.
c:@E@CMDeviceMotionSensorLocation@CMDeviceMotionSensorLocationHeadphoneRight	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertEnums	Exercised by the isolated host runtime.
c:@E@CMHeadphoneActivityStatus	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertEnums	Exercised by the isolated host runtime.
c:@E@CMHeadphoneActivityStatus@CMHeadphoneActivityStatusConnected	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertEnums	Exercised by the isolated host runtime.
c:@E@CMHeadphoneActivityStatus@CMHeadphoneActivityStatusDisconnected	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertEnums	Exercised by the isolated host runtime.
c:@E@CMHighFrequencyHeartRateDataConfidence	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertEnums	Exercised by the isolated host runtime.
c:@E@CMHighFrequencyHeartRateDataConfidence@CMHighFrequencyHeartRateDataConfidenceHigh	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertEnums	Exercised by the isolated host runtime.
c:@E@CMHighFrequencyHeartRateDataConfidence@CMHighFrequencyHeartRateDataConfidenceHighest	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertEnums	Exercised by the isolated host runtime.
c:@E@CMHighFrequencyHeartRateDataConfidence@CMHighFrequencyHeartRateDataConfidenceLow	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertEnums	Exercised by the isolated host runtime.
c:@E@CMHighFrequencyHeartRateDataConfidence@CMHighFrequencyHeartRateDataConfidenceMedium	implemented	CoreMotion.swift;CoreMotionRuntime.swift:assertEnums	Exercised by the isolated host runtime.
