precise	kind	title	path	declaration
c:@CMErrorDomain	swift.var	CMErrorDomain	CMErrorDomain	let CMErrorDomain: String
c:@E@CMAttitudeReferenceFrame	swift.struct	CMAttitudeReferenceFrame	CMAttitudeReferenceFrame	struct CMAttitudeReferenceFrame
c:@E@CMAttitudeReferenceFrame@CMAttitudeReferenceFrameXArbitraryCorrectedZVertical	swift.type.property	xArbitraryCorrectedZVertical	CMAttitudeReferenceFrame.xArbitraryCorrectedZVertical	static var xArbitraryCorrectedZVertical: CMAttitudeReferenceFrame { get }
c:@E@CMAttitudeReferenceFrame@CMAttitudeReferenceFrameXArbitraryZVertical	swift.type.property	xArbitraryZVertical	CMAttitudeReferenceFrame.xArbitraryZVertical	static var xArbitraryZVertical: CMAttitudeReferenceFrame { get }
c:@E@CMAttitudeReferenceFrame@CMAttitudeReferenceFrameXMagneticNorthZVertical	swift.type.property	xMagneticNorthZVertical	CMAttitudeReferenceFrame.xMagneticNorthZVertical	static var xMagneticNorthZVertical: CMAttitudeReferenceFrame { get }
c:@E@CMAttitudeReferenceFrame@CMAttitudeReferenceFrameXTrueNorthZVertical	swift.type.property	xTrueNorthZVertical	CMAttitudeReferenceFrame.xTrueNorthZVertical	static var xTrueNorthZVertical: CMAttitudeReferenceFrame { get }
c:@E@CMAuthorizationStatus	swift.enum	CMAuthorizationStatus	CMAuthorizationStatus	enum CMAuthorizationStatus
c:@E@CMAuthorizationStatus@CMAuthorizationStatusAuthorized	swift.enum.case	CMAuthorizationStatus.authorized	CMAuthorizationStatus.authorized	case authorized
c:@E@CMAuthorizationStatus@CMAuthorizationStatusDenied	swift.enum.case	CMAuthorizationStatus.denied	CMAuthorizationStatus.denied	case denied
c:@E@CMAuthorizationStatus@CMAuthorizationStatusNotDetermined	swift.enum.case	CMAuthorizationStatus.notDetermined	CMAuthorizationStatus.notDetermined	case notDetermined
c:@E@CMAuthorizationStatus@CMAuthorizationStatusRestricted	swift.enum.case	CMAuthorizationStatus.restricted	CMAuthorizationStatus.restricted	case restricted
c:@E@CMDeviceMotionSensorLocation	swift.enum	CMDeviceMotion.SensorLocation	CMDeviceMotion.SensorLocation	enum SensorLocation
c:@E@CMDeviceMotionSensorLocation@CMDeviceMotionSensorLocationDefault	swift.enum.case	CMDeviceMotion.SensorLocation.default	CMDeviceMotion.SensorLocation.default	case `default`
c:@E@CMDeviceMotionSensorLocation@CMDeviceMotionSensorLocationHeadphoneLeft	swift.enum.case	CMDeviceMotion.SensorLocation.headphoneLeft	CMDeviceMotion.SensorLocation.headphoneLeft	case headphoneLeft
c:@E@CMDeviceMotionSensorLocation@CMDeviceMotionSensorLocationHeadphoneRight	swift.enum.case	CMDeviceMotion.SensorLocation.headphoneRight	CMDeviceMotion.SensorLocation.headphoneRight	case headphoneRight
c:@E@CMHeadphoneActivityStatus	swift.enum	CMHeadphoneActivityManager.Status	CMHeadphoneActivityManager.Status	enum Status
c:@E@CMHeadphoneActivityStatus@CMHeadphoneActivityStatusConnected	swift.enum.case	CMHeadphoneActivityManager.Status.connected	CMHeadphoneActivityManager.Status.connected	case connected
