precise	status	evidence	notes
c:@E@NFCFeliCaEncryptionId	implemented	tests/agent/CoreNFCRuntime.swift	Exercised by tests/agent/CoreNFCRuntime.swift
c:@E@NFCFeliCaEncryptionId@EncryptionIdAES	implemented	tests/agent/CoreNFCRuntime.swift	Exercised by tests/agent/CoreNFCRuntime.swift
c:@E@NFCFeliCaEncryptionId@EncryptionIdAES_DES	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCFeliCaEncryptionId@NFCFeliCaEncryptionIdAES	implemented	tests/agent/CoreNFCRuntime.swift	Exercised by tests/agent/CoreNFCRuntime.swift
c:@E@NFCFeliCaEncryptionId@NFCFeliCaEncryptionIdAES_DES	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCFeliCaPollingRequestCode	implemented	tests/agent/CoreNFCRuntime.swift	Exercised by tests/agent/CoreNFCRuntime.swift
c:@E@NFCFeliCaPollingRequestCode@NFCFeliCaPollingRequestCodeCommunicationPerformance	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCFeliCaPollingRequestCode@NFCFeliCaPollingRequestCodeNoRequest	implemented	tests/agent/CoreNFCRuntime.swift	Exercised by tests/agent/CoreNFCRuntime.swift
c:@E@NFCFeliCaPollingRequestCode@NFCFeliCaPollingRequestCodeSystemCode	implemented	tests/agent/CoreNFCRuntime.swift	Exercised by tests/agent/CoreNFCRuntime.swift
c:@E@NFCFeliCaPollingRequestCode@PollingRequestCodeCommunicationPerformance	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCFeliCaPollingRequestCode@PollingRequestCodeNoRequest	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCFeliCaPollingRequestCode@PollingRequestCodeSystemCode	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCFeliCaPollingTimeSlot	implemented	tests/agent/CoreNFCRuntime.swift	Exercised by tests/agent/CoreNFCRuntime.swift
c:@E@NFCFeliCaPollingTimeSlot@NFCFeliCaPollingTimeSlotMax1	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCFeliCaPollingTimeSlot@NFCFeliCaPollingTimeSlotMax16	implemented	tests/agent/CoreNFCRuntime.swift	Exercised by tests/agent/CoreNFCRuntime.swift
c:@E@NFCFeliCaPollingTimeSlot@NFCFeliCaPollingTimeSlotMax2	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCFeliCaPollingTimeSlot@NFCFeliCaPollingTimeSlotMax4	implemented	tests/agent/CoreNFCRuntime.swift	Exercised by tests/agent/CoreNFCRuntime.swift
c:@E@NFCFeliCaPollingTimeSlot@NFCFeliCaPollingTimeSlotMax8	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCFeliCaPollingTimeSlot@PollingTimeSlotMax1	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCFeliCaPollingTimeSlot@PollingTimeSlotMax16	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCFeliCaPollingTimeSlot@PollingTimeSlotMax2	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCFeliCaPollingTimeSlot@PollingTimeSlotMax4	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCFeliCaPollingTimeSlot@PollingTimeSlotMax8	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCISO15693RequestFlag	implemented	tests/agent/CoreNFCRuntime.swift	Exercised by tests/agent/CoreNFCRuntime.swift
c:@E@NFCISO15693RequestFlag@NFCISO15693RequestFlagAddress	implemented	tests/agent/CoreNFCRuntime.swift	Exercised by tests/agent/CoreNFCRuntime.swift
c:@E@NFCISO15693RequestFlag@NFCISO15693RequestFlagCommandSpecificBit8	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCISO15693RequestFlag@NFCISO15693RequestFlagDualSubCarriers	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCISO15693RequestFlag@NFCISO15693RequestFlagHighDataRate	implemented	tests/agent/CoreNFCRuntime.swift	Exercised by tests/agent/CoreNFCRuntime.swift
c:@E@NFCISO15693RequestFlag@NFCISO15693RequestFlagOption	implemented	tests/agent/CoreNFCRuntime.swift	Exercised by tests/agent/CoreNFCRuntime.swift
c:@E@NFCISO15693RequestFlag@NFCISO15693RequestFlagProtocolExtension	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCISO15693RequestFlag@NFCISO15693RequestFlagSelect	implemented	tests/agent/CoreNFCRuntime.swift	Exercised by tests/agent/CoreNFCRuntime.swift
c:@E@NFCISO15693RequestFlag@RequestFlagAddress	implemented	tests/agent/CoreNFCRuntime.swift	Exercised by tests/agent/CoreNFCRuntime.swift
c:@E@NFCISO15693RequestFlag@RequestFlagDualSubCarriers	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCISO15693RequestFlag@RequestFlagHighDataRate	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCISO15693RequestFlag@RequestFlagOption	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCISO15693RequestFlag@RequestFlagProtocolExtension	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCISO15693RequestFlag@RequestFlagSelect	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCISO15693ResponseFlag	implemented	tests/agent/CoreNFCRuntime.swift	Exercised by tests/agent/CoreNFCRuntime.swift
c:@E@NFCISO15693ResponseFlag@NFCISO15693ResponseFlagBlockSecurityStatusBit5	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCISO15693ResponseFlag@NFCISO15693ResponseFlagBlockSecurityStatusBit6	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCISO15693ResponseFlag@NFCISO15693ResponseFlagError	implemented	tests/agent/CoreNFCRuntime.swift	Exercised by tests/agent/CoreNFCRuntime.swift
c:@E@NFCISO15693ResponseFlag@NFCISO15693ResponseFlagFinalResponse	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
c:@E@NFCISO15693ResponseFlag@NFCISO15693ResponseFlagProtocolExtension	declared	full/corenfc	Declared and compiled in libCoreNFC; fail-closed or unused synthesized member
