precise	kind	title	path	declaration
c:@F@UTTypeConformsTo	swift.func	UTTypeConformsTo(_:_:)	UTTypeConformsTo(_:_:)	func UTTypeConformsTo(_ inUTI: CFString, _ inConformsToUTI: CFString) -> Bool
c:@F@UTTypeCopyAllTagsWithClass	swift.func	UTTypeCopyAllTagsWithClass(_:_:)	UTTypeCopyAllTagsWithClass(_:_:)	func UTTypeCopyAllTagsWithClass(_ inUTI: CFString, _ inTagClass: CFString) -> Unmanaged<CFArray>?
c:@F@UTTypeCopyDeclaration	swift.func	UTTypeCopyDeclaration(_:)	UTTypeCopyDeclaration(_:)	func UTTypeCopyDeclaration(_ inUTI: CFString) -> Unmanaged<CFDictionary>?
c:@F@UTTypeCopyDeclaringBundleURL	swift.func	UTTypeCopyDeclaringBundleURL(_:)	UTTypeCopyDeclaringBundleURL(_:)	func UTTypeCopyDeclaringBundleURL(_ inUTI: CFString) -> Unmanaged<CFURL>?
c:@F@UTTypeCopyDescription	swift.func	UTTypeCopyDescription(_:)	UTTypeCopyDescription(_:)	func UTTypeCopyDescription(_ inUTI: CFString) -> Unmanaged<CFString>?
c:@F@UTTypeCopyPreferredTagWithClass	swift.func	UTTypeCopyPreferredTagWithClass(_:_:)	UTTypeCopyPreferredTagWithClass(_:_:)	func UTTypeCopyPreferredTagWithClass(_ inUTI: CFString, _ inTagClass: CFString) -> Unmanaged<CFString>?
c:@F@UTTypeCreateAllIdentifiersForTag	swift.func	UTTypeCreateAllIdentifiersForTag(_:_:_:)	UTTypeCreateAllIdentifiersForTag(_:_:_:)	func UTTypeCreateAllIdentifiersForTag(_ inTagClass: CFString, _ inTag: CFString, _ inConformingToUTI: CFString?) -> Unmanaged<CFArray>?
c:@F@UTTypeCreatePreferredIdentifierForTag	swift.func	UTTypeCreatePreferredIdentifierForTag(_:_:_:)	UTTypeCreatePreferredIdentifierForTag(_:_:_:)	func UTTypeCreatePreferredIdentifierForTag(_ inTagClass: CFString, _ inTag: CFString, _ inConformingToUTI: CFString?) -> Unmanaged<CFString>?
c:@F@UTTypeEqual	swift.func	UTTypeEqual(_:_:)	UTTypeEqual(_:_:)	func UTTypeEqual(_ inUTI1: CFString, _ inUTI2: CFString) -> Bool
c:@F@UTTypeIsDeclared	swift.func	UTTypeIsDeclared(_:)	UTTypeIsDeclared(_:)	func UTTypeIsDeclared(_ inUTI: CFString) -> Bool
c:@F@UTTypeIsDynamic	swift.func	UTTypeIsDynamic(_:)	UTTypeIsDynamic(_:)	func UTTypeIsDynamic(_ inUTI: CFString) -> Bool
c:@kUTExportedTypeDeclarationsKey	swift.var	kUTExportedTypeDeclarationsKey	kUTExportedTypeDeclarationsKey	let kUTExportedTypeDeclarationsKey: CFString
c:@kUTImportedTypeDeclarationsKey	swift.var	kUTImportedTypeDeclarationsKey	kUTImportedTypeDeclarationsKey	let kUTImportedTypeDeclarationsKey: CFString
c:@kUTTagClassFilenameExtension	swift.var	kUTTagClassFilenameExtension	kUTTagClassFilenameExtension	let kUTTagClassFilenameExtension: CFString
c:@kUTTagClassMIMEType	swift.var	kUTTagClassMIMEType	kUTTagClassMIMEType	let kUTTagClassMIMEType: CFString
c:@kUTType3DContent	swift.var	kUTType3DContent	kUTType3DContent	let kUTType3DContent: CFString
c:@kUTTypeAVIMovie	swift.var	kUTTypeAVIMovie	kUTTypeAVIMovie	let kUTTypeAVIMovie: CFString
c:@kUTTypeAliasFile	swift.var	kUTTypeAliasFile	kUTTypeAliasFile	let kUTTypeAliasFile: CFString
c:@kUTTypeAliasRecord	swift.var	kUTTypeAliasRecord	kUTTypeAliasRecord	let kUTTypeAliasRecord: CFString
c:@kUTTypeAppleICNS	swift.var	kUTTypeAppleICNS	kUTTypeAppleICNS	let kUTTypeAppleICNS: CFString
c:@kUTTypeAppleProtectedMPEG4Audio	swift.var	kUTTypeAppleProtectedMPEG4Audio	kUTTypeAppleProtectedMPEG4Audio	let kUTTypeAppleProtectedMPEG4Audio: CFString
c:@kUTTypeAppleProtectedMPEG4Video	swift.var	kUTTypeAppleProtectedMPEG4Video	kUTTypeAppleProtectedMPEG4Video	let kUTTypeAppleProtectedMPEG4Video: CFString
c:@kUTTypeAppleScript	swift.var	kUTTypeAppleScript	kUTTypeAppleScript	let kUTTypeAppleScript: CFString
