precise	status	evidence	notes
c:@CSActionIdentifier	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testConstants	-
c:@CSIndexErrorDomain	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testIndexErrorCodes	-
c:@CSMailboxArchive	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testConstants	-
c:@CSMailboxDrafts	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testConstants	-
c:@CSMailboxInbox	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testConstants	-
c:@CSMailboxJunk	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testConstants	-
c:@CSMailboxSent	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testConstants	-
c:@CSMailboxTrash	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testConstants	-
c:@CSQueryContinuationActionType	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testConstants	-
c:@CSSearchQueryErrorDomain	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testSearchQueryErrorCodes	-
c:@CSSearchQueryString	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testConstants	-
c:@CSSearchableItemActionType	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testConstants	-
c:@CSSearchableItemActivityIdentifier	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testConstants	-
c:@CSSuggestionHighlightAttributeName	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testSuggestionHighlightKey	-
c:@E@CSIndexErrorCode	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testIndexErrorCodes	-
c:@E@CSIndexErrorCode@CSIndexErrorCodeIndexUnavailableError	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testIndexErrorCodes	-
c:@E@CSIndexErrorCode@CSIndexErrorCodeIndexingUnsupported	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testIndexErrorCodes	-
c:@E@CSIndexErrorCode@CSIndexErrorCodeInvalidClientStateError	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testIndexErrorCodes	-
c:@E@CSIndexErrorCode@CSIndexErrorCodeInvalidItemError	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testIndexErrorCodes	-
c:@E@CSIndexErrorCode@CSIndexErrorCodeMismatchedClientState	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testIndexErrorCodes	-
c:@E@CSIndexErrorCode@CSIndexErrorCodeQuotaExceeded	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testIndexErrorCodes	-
c:@E@CSIndexErrorCode@CSIndexErrorCodeRemoteConnectionError	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testIndexErrorCodes	-
c:@E@CSIndexErrorCode@CSIndexErrorCodeUnknownError	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testIndexErrorCodes	-
c:@E@CSSearchQueryErrorCode	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testSearchQueryErrorCodes	-
c:@E@CSSearchQueryErrorCode@CSSearchQueryErrorCodeCancelled	implemented	test:full/corespotlight/tests/agent/CoreSpotlightTests.swift#testSearchQueryErrorCodes	-
