precise	status	evidence	notes
c:@CTCallStateConnected	implemented	test:full/coretelephony/tests/agent/CTCallTests.swift#testCallStateConstants	public CTCall payload "connected"
c:@CTCallStateDialing	implemented	test:full/coretelephony/tests/agent/CTCallTests.swift#testCallStateConstants	public CTCall payload "dialing"
c:@CTCallStateDisconnected	implemented	test:full/coretelephony/tests/agent/CTCallTests.swift#testCallStateConstants	public CTCall payload "disconnected"
c:@CTCallStateIncoming	implemented	test:full/coretelephony/tests/agent/CTCallTests.swift#testCallStateConstants	public CTCall payload "incoming"
c:@CTRadioAccessTechnologyCDMA1x	implemented	test:full/coretelephony/tests/agent/CTRadioAccessTechnologyTests.swift#testRadioAccessTechnologyConstants	C identifier is the string value
c:@CTRadioAccessTechnologyCDMAEVDORev0	implemented	test:full/coretelephony/tests/agent/CTRadioAccessTechnologyTests.swift#testRadioAccessTechnologyConstants	C identifier is the string value
c:@CTRadioAccessTechnologyCDMAEVDORevA	implemented	test:full/coretelephony/tests/agent/CTRadioAccessTechnologyTests.swift#testRadioAccessTechnologyConstants	C identifier is the string value
c:@CTRadioAccessTechnologyCDMAEVDORevB	implemented	test:full/coretelephony/tests/agent/CTRadioAccessTechnologyTests.swift#testRadioAccessTechnologyConstants	C identifier is the string value
c:@CTRadioAccessTechnologyDidChangeNotification	implemented	test:full/coretelephony/tests/agent/CTRadioAccessTechnologyTests.swift#testRadioAccessTechnologyNotifications	rawValue is the C notification identifier
c:@CTRadioAccessTechnologyEdge	implemented	test:full/coretelephony/tests/agent/CTRadioAccessTechnologyTests.swift#testRadioAccessTechnologyConstants	C identifier is the string value
c:@CTRadioAccessTechnologyGPRS	implemented	test:full/coretelephony/tests/agent/CTRadioAccessTechnologyTests.swift#testRadioAccessTechnologyConstants	C identifier is the string value
c:@CTRadioAccessTechnologyHSDPA	implemented	test:full/coretelephony/tests/agent/CTRadioAccessTechnologyTests.swift#testRadioAccessTechnologyConstants	C identifier is the string value
