precise	kind	title	path	declaration
c:@CTCallStateConnected	swift.var	CTCallStateConnected	CTCallStateConnected	let CTCallStateConnected: String
c:@CTCallStateDialing	swift.var	CTCallStateDialing	CTCallStateDialing	let CTCallStateDialing: String
c:@CTCallStateDisconnected	swift.var	CTCallStateDisconnected	CTCallStateDisconnected	let CTCallStateDisconnected: String
c:@CTCallStateIncoming	swift.var	CTCallStateIncoming	CTCallStateIncoming	let CTCallStateIncoming: String
c:@CTRadioAccessTechnologyCDMA1x	swift.var	CTRadioAccessTechnologyCDMA1x	CTRadioAccessTechnologyCDMA1x	let CTRadioAccessTechnologyCDMA1x: String
c:@CTRadioAccessTechnologyCDMAEVDORev0	swift.var	CTRadioAccessTechnologyCDMAEVDORev0	CTRadioAccessTechnologyCDMAEVDORev0	let CTRadioAccessTechnologyCDMAEVDORev0: String
c:@CTRadioAccessTechnologyCDMAEVDORevA	swift.var	CTRadioAccessTechnologyCDMAEVDORevA	CTRadioAccessTechnologyCDMAEVDORevA	let CTRadioAccessTechnologyCDMAEVDORevA: String
c:@CTRadioAccessTechnologyCDMAEVDORevB	swift.var	CTRadioAccessTechnologyCDMAEVDORevB	CTRadioAccessTechnologyCDMAEVDORevB	let CTRadioAccessTechnologyCDMAEVDORevB: String
c:@CTRadioAccessTechnologyDidChangeNotification	swift.type.property	CTRadioAccessTechnologyDidChange	NSNotification.Name.CTRadioAccessTechnologyDidChange	static let CTRadioAccessTechnologyDidChange: NSNotification.Name
c:@CTRadioAccessTechnologyEdge	swift.var	CTRadioAccessTechnologyEdge	CTRadioAccessTechnologyEdge	let CTRadioAccessTechnologyEdge: String
c:@CTRadioAccessTechnologyGPRS	swift.var	CTRadioAccessTechnologyGPRS	CTRadioAccessTechnologyGPRS	let CTRadioAccessTechnologyGPRS: String
c:@CTRadioAccessTechnologyHSDPA	swift.var	CTRadioAccessTechnologyHSDPA	CTRadioAccessTechnologyHSDPA	let CTRadioAccessTechnologyHSDPA: String
c:@CTRadioAccessTechnologyHSUPA	swift.var	CTRadioAccessTechnologyHSUPA	CTRadioAccessTechnologyHSUPA	let CTRadioAccessTechnologyHSUPA: String
c:@CTRadioAccessTechnologyLTE	swift.var	CTRadioAccessTechnologyLTE	CTRadioAccessTechnologyLTE	let CTRadioAccessTechnologyLTE: String
c:@CTRadioAccessTechnologyNR	swift.var	CTRadioAccessTechnologyNR	CTRadioAccessTechnologyNR	let CTRadioAccessTechnologyNR: String
c:@CTRadioAccessTechnologyNRNSA	swift.var	CTRadioAccessTechnologyNRNSA	CTRadioAccessTechnologyNRNSA	let CTRadioAccessTechnologyNRNSA: String
c:@CTRadioAccessTechnologyWCDMA	swift.var	CTRadioAccessTechnologyWCDMA	CTRadioAccessTechnologyWCDMA	let CTRadioAccessTechnologyWCDMA: String
c:@CTRadioAccessTechnologyeHRPD	swift.var	CTRadioAccessTechnologyeHRPD	CTRadioAccessTechnologyeHRPD	let CTRadioAccessTechnologyeHRPD: String
c:@CTServiceRadioAccessTechnologyDidChangeNotification	swift.type.property	CTServiceRadioAccessTechnologyDidChange	NSNotification.Name.CTServiceRadioAccessTechnologyDidChange	static let CTServiceRadioAccessTechnologyDidChange: NSNotification.Name
c:@CTSubscriberTokenRefreshed	swift.var	CTSubscriberTokenRefreshed	CTSubscriberTokenRefreshed	let CTSubscriberTokenRefreshed: String
c:@E@CTCellularDataRestrictedState	swift.enum	CTCellularDataRestrictedState	CTCellularDataRestrictedState	enum CTCellularDataRestrictedState
c:@E@CTCellularDataRestrictedState@kCTCellularDataNotRestricted	swift.enum.case	CTCellularDataRestrictedState.notRestricted	CTCellularDataRestrictedState.notRestricted	case notRestricted
c:@E@CTCellularDataRestrictedState@kCTCellularDataRestricted	swift.enum.case	CTCellularDataRestrictedState.restricted	CTCellularDataRestrictedState.restricted	case restricted
c:@E@CTCellularDataRestrictedState@kCTCellularDataRestrictedStateUnknown	swift.enum.case	CTCellularDataRestrictedState.restrictedStateUnknown	CTCellularDataRestrictedState.restrictedStateUnknown	case restrictedStateUnknown
c:@E@CTCellularPlanCapability	swift.enum	CTCellularPlanCapability	CTCellularPlanCapability	enum CTCellularPlanCapability
c:@E@CTCellularPlanCapability@CTCellularPlanCapabilityDataAndVoice	swift.enum.case	CTCellularPlanCapability.dataAndVoice	CTCellularPlanCapability.dataAndVoice	case dataAndVoice
c:@E@CTCellularPlanCapability@CTCellularPlanCapabilityDataOnly	swift.enum.case	CTCellularPlanCapability.dataOnly	CTCellularPlanCapability.dataOnly	case dataOnly
c:@E@CTCellularPlanProvisioningAddPlanResult	swift.enum	CTCellularPlanProvisioningAddPlanResult	CTCellularPlanProvisioningAddPlanResult	enum CTCellularPlanProvisioningAddPlanResult
c:@E@CTCellularPlanProvisioningAddPlanResult@CTCellularPlanProvisioningAddPlanResultCancel	swift.enum.case	CTCellularPlanProvisioningAddPlanResult.cancel	CTCellularPlanProvisioningAddPlanResult.cancel	case cancel
c:@E@CTCellularPlanProvisioningAddPlanResult@CTCellularPlanProvisioningAddPlanResultFail	swift.enum.case	CTCellularPlanProvisioningAddPlanResult.fail	CTCellularPlanProvisioningAddPlanResult.fail	case fail
c:@E@CTCellularPlanProvisioningAddPlanResult@CTCellularPlanProvisioningAddPlanResultSuccess	swift.enum.case	CTCellularPlanProvisioningAddPlanResult.success	CTCellularPlanProvisioningAddPlanResult.success	case success
c:@E@CTCellularPlanProvisioningAddPlanResult@CTCellularPlanProvisioningAddPlanResultUnknown	swift.enum.case	CTCellularPlanProvisioningAddPlanResult.unknown	CTCellularPlanProvisioningAddPlanResult.unknown	case unknown
c:@Ea@kCTErrorDomainNoError@kCTErrorDomainMach	swift.var	kCTErrorDomainMach	kCTErrorDomainMach	var kCTErrorDomainMach: Int { get }
c:@Ea@kCTErrorDomainNoError@kCTErrorDomainNoError	swift.var	kCTErrorDomainNoError	kCTErrorDomainNoError	var kCTErrorDomainNoError: Int { get }
c:@Ea@kCTErrorDomainNoError@kCTErrorDomainPOSIX	swift.var	kCTErrorDomainPOSIX	kCTErrorDomainPOSIX	var kCTErrorDomainPOSIX: Int { get }
c:@SA@CTError	swift.struct	CTError	CTError	struct CTError
c:@SA@CTError@FI@domain	swift.property	domain	CTError.domain	var domain: Int32
c:@SA@CTError@FI@error	swift.property	error	CTError.error	var error: Int32
c:@T@CellularDataRestrictionDidUpdateNotifier	swift.typealias	CellularDataRestrictionDidUpdateNotifier	CellularDataRestrictionDidUpdateNotifier	typealias CellularDataRestrictionDidUpdateNotifier = (CTCellularDataRestrictedState) -> Void
c:objc(cs)CTCall	swift.class	CTCall	CTCall	class CTCall
c:objc(cs)CTCall(py)callID	swift.property	callID	CTCall.callID	var callID: String { get }
c:objc(cs)CTCall(py)callState	swift.property	callState	CTCall.callState	var callState: String { get }
