precise	status	evidence	notes
c:@E@CTCharacterCollection	implemented	test:full/coretext/tests/agent/CoreTextTests.swift#testCharacterCollectionAndFontEnums	-
c:@E@CTCharacterCollection@kCTAdobeCNS1CharacterCollection	implemented	test:full/coretext/tests/agent/CoreTextTests.swift#testCharacterCollectionAndFontEnums	-
c:@E@CTCharacterCollection@kCTAdobeGB1CharacterCollection	declared	source:full/coretext/CTEnums.swift#kCTAdobeGB1CharacterCollection	-
c:@E@CTCharacterCollection@kCTAdobeJapan1CharacterCollection	declared	source:full/coretext/CTEnums.swift#kCTAdobeJapan1CharacterCollection	-
c:@E@CTCharacterCollection@kCTAdobeJapan2CharacterCollection	declared	source:full/coretext/CTEnums.swift#kCTAdobeJapan2CharacterCollection	-
c:@E@CTCharacterCollection@kCTAdobeKorea1CharacterCollection	declared	source:full/coretext/CTEnums.swift#kCTAdobeKorea1CharacterCollection	-
c:@E@CTCharacterCollection@kCTCharacterCollectionAdobeCNS1	implemented	test:full/coretext/tests/agent/CoreTextTests.swift#testCharacterCollectionAndFontEnums	-
c:@E@CTCharacterCollection@kCTCharacterCollectionAdobeGB1	implemented	test:full/coretext/tests/agent/CoreTextTests.swift#testClassHashableAndInequality	-
c:@E@CTCharacterCollection@kCTCharacterCollectionAdobeJapan1	implemented	test:full/coretext/tests/agent/CoreTextTests.swift#testParagraphStyleTabRubyAndGlyphInfo	-
c:@E@CTCharacterCollection@kCTCharacterCollectionAdobeJapan2	declared	source:full/coretext/CTEnums.swift#adobeJapan2	-
c:@E@CTCharacterCollection@kCTCharacterCollectionAdobeKorea1	implemented	test:full/coretext/tests/agent/CoreTextTests.swift#testCharacterCollectionAndFontEnums	-
c:@E@CTCharacterCollection@kCTCharacterCollectionIdentityMapping	implemented	test:full/coretext/tests/agent/CoreTextTests.swift#testCharacterCollectionAndFontEnums	-
c:@E@CTCharacterCollection@kCTIdentityMappingCharacterCollection	implemented	test:full/coretext/tests/agent/CoreTextTests.swift#testCharacterCollectionAndFontEnums	-
c:@E@CTFontCollectionCopyOptions	implemented	test:full/coretext/tests/agent/CoreTextTests.swift#testOptionSetRawValues	-
c:@E@CTFontCollectionCopyOptions@kCTFontCollectionCopyStandardSort	implemented	test:full/coretext/tests/agent/CoreTextTests.swift#testOptionSetRawValues	-
