precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:@E@CTCharacterCollection	swift.enum	["CTCharacterCollection"]	unmatched	none	0	0		[]
c:@E@CTCharacterCollection@kCTAdobeCNS1CharacterCollection	swift.type.property	["CTCharacterCollection","kCTAdobeCNS1CharacterCollection"]	unmatched	none	0	0		[]
c:@E@CTCharacterCollection@kCTAdobeGB1CharacterCollection	swift.type.property	["CTCharacterCollection","kCTAdobeGB1CharacterCollection"]	unmatched	none	0	0		[]
c:@E@CTCharacterCollection@kCTAdobeJapan1CharacterCollection	swift.type.property	["CTCharacterCollection","kCTAdobeJapan1CharacterCollection"]	unmatched	none	0	0		[]
c:@E@CTCharacterCollection@kCTAdobeJapan2CharacterCollection	swift.type.property	["CTCharacterCollection","kCTAdobeJapan2CharacterCollection"]	unmatched	none	0	0		[]
c:@E@CTCharacterCollection@kCTAdobeKorea1CharacterCollection	swift.type.property	["CTCharacterCollection","kCTAdobeKorea1CharacterCollection"]	unmatched	none	0	0		[]
c:@E@CTCharacterCollection@kCTCharacterCollectionAdobeCNS1	swift.enum.case	["CTCharacterCollection","adobeCNS1"]	unmatched	none	0	0		[]
c:@E@CTCharacterCollection@kCTCharacterCollectionAdobeGB1	swift.enum.case	["CTCharacterCollection","adobeGB1"]	unmatched	none	0	0		[]
c:@E@CTCharacterCollection@kCTCharacterCollectionAdobeJapan1	swift.enum.case	["CTCharacterCollection","adobeJapan1"]	unmatched	none	0	0		[]
c:@E@CTCharacterCollection@kCTCharacterCollectionAdobeJapan2	swift.enum.case	["CTCharacterCollection","adobeJapan2"]	unmatched	none	0	0		[]
c:@E@CTCharacterCollection@kCTCharacterCollectionAdobeKorea1	swift.enum.case	["CTCharacterCollection","adobeKorea1"]	unmatched	none	0	0		[]
c:@E@CTCharacterCollection@kCTCharacterCollectionIdentityMapping	swift.enum.case	["CTCharacterCollection","identityMapping"]	unmatched	none	0	0		[]
c:@E@CTCharacterCollection@kCTIdentityMappingCharacterCollection	swift.type.property	["CTCharacterCollection","kCTIdentityMappingCharacterCollection"]	unmatched	none	0	0		[]
c:@E@CTFontCollectionCopyOptions	swift.struct	["CTFontCollectionCopyOptions"]	unmatched	none	0	0		[]
c:@E@CTFontCollectionCopyOptions@kCTFontCollectionCopyStandardSort	swift.type.property	["CTFontCollectionCopyOptions","standardSort"]	unmatched	none	0	0		[]
c:@E@CTFontCollectionCopyOptions@kCTFontCollectionCopyUnique	swift.type.property	["CTFontCollectionCopyOptions","unique"]	unmatched	none	0	0		[]
c:@E@CTFontDescriptorMatchingState	swift.enum	["CTFontDescriptorMatchingState"]	unmatched	none	0	0		[]
c:@E@CTFontDescriptorMatchingState@kCTFontDescriptorMatchingDidBegin	swift.enum.case	["CTFontDescriptorMatchingState","didBegin"]	unmatched	none	0	0		[]
c:@E@CTFontDescriptorMatchingState@kCTFontDescriptorMatchingDidFailWithError	swift.enum.case	["CTFontDescriptorMatchingState","didFailWithError"]	unmatched	none	0	0		[]
c:@E@CTFontDescriptorMatchingState@kCTFontDescriptorMatchingDidFinish	swift.enum.case	["CTFontDescriptorMatchingState","didFinish"]	unmatched	none	0	0		[]
c:@E@CTFontDescriptorMatchingState@kCTFontDescriptorMatchingDidFinishDownloading	swift.enum.case	["CTFontDescriptorMatchingState","didFinishDownloading"]	unmatched	none	0	0		[]
c:@E@CTFontDescriptorMatchingState@kCTFontDescriptorMatchingDidMatch	swift.enum.case	["CTFontDescriptorMatchingState","didMatch"]	unmatched	none	0	0		[]
c:@E@CTFontDescriptorMatchingState@kCTFontDescriptorMatchingDownloading	swift.enum.case	["CTFontDescriptorMatchingState","downloading"]	unmatched	none	0	0		[]
c:@E@CTFontDescriptorMatchingState@kCTFontDescriptorMatchingStalled	swift.enum.case	["CTFontDescriptorMatchingState","stalled"]	unmatched	none	0	0		[]
c:@E@CTFontDescriptorMatchingState@kCTFontDescriptorMatchingWillBeginDownloading	swift.enum.case	["CTFontDescriptorMatchingState","willBeginDownloading"]	unmatched	none	0	0		[]
c:@E@CTFontDescriptorMatchingState@kCTFontDescriptorMatchingWillBeginQuerying	swift.enum.case	["CTFontDescriptorMatchingState","willBeginQuerying"]	unmatched	none	0	0		[]
c:@E@CTFontFormat	swift.enum	["CTFontFormat"]	unmatched	none	0	0		[]
c:@E@CTFontFormat@kCTFontFormatBitmap	swift.enum.case	["CTFontFormat","bitmap"]	unmatched	none	0	0		[]
c:@E@CTFontFormat@kCTFontFormatOpenTypePostScript	swift.enum.case	["CTFontFormat","openTypePostScript"]	unmatched	none	0	0		[]
c:@E@CTFontFormat@kCTFontFormatOpenTypeTrueType	swift.enum.case	["CTFontFormat","openTypeTrueType"]	unmatched	none	0	0		[]
c:@E@CTFontFormat@kCTFontFormatPostScript	swift.enum.case	["CTFontFormat","postScript"]	unmatched	none	0	0		[]
c:@E@CTFontFormat@kCTFontFormatTrueType	swift.enum.case	["CTFontFormat","trueType"]	unmatched	none	0	0		[]
c:@E@CTFontFormat@kCTFontFormatUnrecognized	swift.enum.case	["CTFontFormat","unrecognized"]	unmatched	none	0	0		[]
c:@E@CTFontManagerAutoActivationSetting	swift.enum	["CTFontManagerAutoActivationSetting"]	unmatched	none	0	0		[]
c:@E@CTFontManagerAutoActivationSetting@kCTFontManagerAutoActivationDefault	swift.enum.case	["CTFontManagerAutoActivationSetting","default"]	unmatched	none	0	0		[]
c:@E@CTFontManagerAutoActivationSetting@kCTFontManagerAutoActivationDisabled	swift.enum.case	["CTFontManagerAutoActivationSetting","disabled"]	unmatched	none	0	0		[]
c:@E@CTFontManagerAutoActivationSetting@kCTFontManagerAutoActivationEnabled	swift.enum.case	["CTFontManagerAutoActivationSetting","enabled"]	unmatched	none	0	0		[]
c:@E@CTFontManagerError	swift.enum	["CTFontManagerError"]	unmatched	none	0	0		[]
c:@E@CTFontManagerError@kCTFontManagerErrorAlreadyRegistered	swift.enum.case	["CTFontManagerError","alreadyRegistered"]	unmatched	none	0	0		[]
c:@E@CTFontManagerError@kCTFontManagerErrorAssetNotFound	swift.enum.case	["CTFontManagerError","assetNotFound"]	unmatched	none	0	0		[]
c:@E@CTFontManagerError@kCTFontManagerErrorCancelledByUser	swift.enum.case	["CTFontManagerError","cancelledByUser"]	unmatched	none	0	0		[]
c:@E@CTFontManagerError@kCTFontManagerErrorDuplicatedName	swift.enum.case	["CTFontManagerError","duplicatedName"]	unmatched	none	0	0		[]
c:@E@CTFontManagerError@kCTFontManagerErrorExceededResourceLimit	swift.enum.case	["CTFontManagerError","exceededResourceLimit"]	unmatched	none	0	0		[]
c:@E@CTFontManagerError@kCTFontManagerErrorFileNotFound	swift.enum.case	["CTFontManagerError","fileNotFound"]	unmatched	none	0	0		[]
c:@E@CTFontManagerError@kCTFontManagerErrorInUse	swift.enum.case	["CTFontManagerError","inUse"]	unmatched	none	0	0		[]
c:@E@CTFontManagerError@kCTFontManagerErrorInsufficientInfo	swift.enum.case	["CTFontManagerError","insufficientInfo"]	unmatched	none	0	0		[]
c:@E@CTFontManagerError@kCTFontManagerErrorInsufficientPermissions	swift.enum.case	["CTFontManagerError","insufficientPermissions"]	unmatched	none	0	0		[]
c:@E@CTFontManagerError@kCTFontManagerErrorInvalidFilePath	swift.enum.case	["CTFontManagerError","invalidFilePath"]	unmatched	none	0	0		[]
c:@E@CTFontManagerError@kCTFontManagerErrorInvalidFontData	swift.enum.case	["CTFontManagerError","invalidFontData"]	unmatched	none	0	0		[]
c:@E@CTFontManagerError@kCTFontManagerErrorMissingEntitlement	swift.enum.case	["CTFontManagerError","missingEntitlement"]	unmatched	none	0	0		[]
c:@E@CTFontManagerError@kCTFontManagerErrorNotRegistered	swift.enum.case	["CTFontManagerError","notRegistered"]	unmatched	none	0	0		[]
c:@E@CTFontManagerError@kCTFontManagerErrorRegistrationFailed	swift.enum.case	["CTFontManagerError","registrationFailed"]	unmatched	none	0	0		[]
c:@E@CTFontManagerError@kCTFontManagerErrorSystemRequired	swift.enum.case	["CTFontManagerError","systemRequired"]	unmatched	none	0	0		[]
c:@E@CTFontManagerError@kCTFontManagerErrorUnrecognizedFormat	swift.enum.case	["CTFontManagerError","unrecognizedFormat"]	unmatched	none	0	0		[]
c:@E@CTFontManagerError@kCTFontManagerErrorUnsupportedScope	swift.enum.case	["CTFontManagerError","unsupportedScope"]	unmatched	none	0	0		[]
c:@E@CTFontManagerScope	swift.enum	["CTFontManagerScope"]	unmatched	none	0	0		[]
c:@E@CTFontManagerScope@kCTFontManagerScopeNone	swift.enum.case	["CTFontManagerScope","none"]	unmatched	none	0	0		[]
c:@E@CTFontManagerScope@kCTFontManagerScopePersistent	swift.enum.case	["CTFontManagerScope","persistent"]	unmatched	none	0	0		[]
c:@E@CTFontManagerScope@kCTFontManagerScopeProcess	swift.enum.case	["CTFontManagerScope","process"]	unmatched	none	0	0		[]
c:@E@CTFontManagerScope@kCTFontManagerScopeUser	swift.type.property	["CTFontManagerScope","user"]	unmatched	none	0	0		[]
c:@E@CTFontOptions	swift.struct	["CTFontOptions"]	unmatched	none	0	0		[]
c:@E@CTFontOptions@kCTFontOptionsPreferSystemFont	swift.type.property	["CTFontOptions","preferSystemFont"]	unmatched	none	0	0		[]
c:@E@CTFontOptions@kCTFontOptionsPreventAutoActivation	swift.type.property	["CTFontOptions","preventAutoActivation"]	unmatched	none	0	0		[]
c:@E@CTFontOptions@kCTFontOptionsPreventAutoDownload	swift.type.property	["CTFontOptions","preventAutoDownload"]	unmatched	none	0	0		[]
c:@E@CTFontOrientation	swift.enum	["CTFontOrientation"]	unmatched	none	0	0		[]
c:@E@CTFontOrientation@kCTFontDefaultOrientation	swift.type.property	["CTFontOrientation","kCTFontDefaultOrientation"]	unmatched	none	0	0		[]
c:@E@CTFontOrientation@kCTFontHorizontalOrientation	swift.type.property	["CTFontOrientation","kCTFontHorizontalOrientation"]	unmatched	none	0	0		[]
c:@E@CTFontOrientation@kCTFontOrientationDefault	swift.enum.case	["CTFontOrientation","default"]	unmatched	none	0	0		[]
c:@E@CTFontOrientation@kCTFontOrientationHorizontal	swift.enum.case	["CTFontOrientation","horizontal"]	unmatched	none	0	0		[]
c:@E@CTFontOrientation@kCTFontOrientationVertical	swift.enum.case	["CTFontOrientation","vertical"]	unmatched	none	0	0		[]
c:@E@CTFontOrientation@kCTFontVerticalOrientation	swift.type.property	["CTFontOrientation","kCTFontVerticalOrientation"]	unmatched	none	0	0		[]
c:@E@CTFontStylisticClass	swift.struct	["CTFontStylisticClass"]	unmatched	none	0	0		[]
c:@E@CTFontStylisticClass@kCTFontClarendonSerifsClass	swift.type.property	["CTFontStylisticClass","clarendonSerifsClass"]	unmatched	none	0	0		[]
c:@E@CTFontStylisticClass@kCTFontClassClarendonSerifs	swift.type.property	["CTFontStylisticClass","classClarendonSerifs"]	unmatched	none	0	0		[]
c:@E@CTFontStylisticClass@kCTFontClassFreeformSerifs	swift.type.property	["CTFontStylisticClass","classFreeformSerifs"]	unmatched	none	0	0		[]
c:@E@CTFontStylisticClass@kCTFontClassModernSerifs	swift.type.property	["CTFontStylisticClass","classModernSerifs"]	unmatched	none	0	0		[]
c:@E@CTFontStylisticClass@kCTFontClassOldStyleSerifs	swift.type.property	["CTFontStylisticClass","classOldStyleSerifs"]	unmatched	none	0	0		[]
c:@E@CTFontStylisticClass@kCTFontClassOrnamentals	swift.type.property	["CTFontStylisticClass","classOrnamentals"]	unmatched	none	0	0		[]
c:@E@CTFontStylisticClass@kCTFontClassSansSerif	swift.type.property	["CTFontStylisticClass","classSansSerif"]	unmatched	none	0	0		[]
c:@E@CTFontStylisticClass@kCTFontClassScripts	swift.type.property	["CTFontStylisticClass","classScripts"]	unmatched	none	0	0		[]
c:@E@CTFontStylisticClass@kCTFontClassSlabSerifs	swift.type.property	["CTFontStylisticClass","classSlabSerifs"]	unmatched	none	0	0		[]
c:@E@CTFontStylisticClass@kCTFontClassSymbolic	swift.type.property	["CTFontStylisticClass","classSymbolic"]	unmatched	none	0	0		[]
c:@E@CTFontStylisticClass@kCTFontClassTransitionalSerifs	swift.type.property	["CTFontStylisticClass","classTransitionalSerifs"]	unmatched	none	0	0		[]
c:@E@CTFontStylisticClass@kCTFontFreeformSerifsClass	swift.type.property	["CTFontStylisticClass","freeformSerifsClass"]	unmatched	none	0	0		[]
c:@E@CTFontStylisticClass@kCTFontModernSerifsClass	swift.type.property	["CTFontStylisticClass","modernSerifsClass"]	unmatched	none	0	0		[]
c:@E@CTFontStylisticClass@kCTFontOldStyleSerifsClass	swift.type.property	["CTFontStylisticClass","oldStyleSerifsClass"]	unmatched	none	0	0		[]
c:@E@CTFontStylisticClass@kCTFontOrnamentalsClass	swift.type.property	["CTFontStylisticClass","ornamentalsClass"]	unmatched	none	0	0		[]
c:@E@CTFontStylisticClass@kCTFontSansSerifClass	swift.type.property	["CTFontStylisticClass","sansSerifClass"]	unmatched	none	0	0		[]
c:@E@CTFontStylisticClass@kCTFontScriptsClass	swift.type.property	["CTFontStylisticClass","scriptsClass"]	unmatched	none	0	0		[]
c:@E@CTFontStylisticClass@kCTFontSlabSerifsClass	swift.type.property	["CTFontStylisticClass","slabSerifsClass"]	unmatched	none	0	0		[]
c:@E@CTFontStylisticClass@kCTFontSymbolicClass	swift.type.property	["CTFontStylisticClass","symbolicClass"]	unmatched	none	0	0		[]
c:@E@CTFontStylisticClass@kCTFontTransitionalSerifsClass	swift.type.property	["CTFontStylisticClass","transitionalSerifsClass"]	unmatched	none	0	0		[]
c:@E@CTFontSymbolicTraits	swift.struct	["CTFontSymbolicTraits"]	unmatched	none	0	0		[]
c:@E@CTFontSymbolicTraits@kCTFontBoldTrait	swift.type.property	["CTFontSymbolicTraits","boldTrait"]	unmatched	none	0	0		[]
c:@E@CTFontSymbolicTraits@kCTFontClassMaskTrait	swift.type.property	["CTFontSymbolicTraits","classMaskTrait"]	unmatched	none	0	0		[]
c:@E@CTFontSymbolicTraits@kCTFontColorGlyphsTrait	swift.type.property	["CTFontSymbolicTraits","colorGlyphsTrait"]	unmatched	none	0	0		[]
c:@E@CTFontSymbolicTraits@kCTFontCompositeTrait	swift.type.property	["CTFontSymbolicTraits","compositeTrait"]	unmatched	none	0	0		[]
c:@E@CTFontSymbolicTraits@kCTFontCondensedTrait	swift.type.property	["CTFontSymbolicTraits","condensedTrait"]	unmatched	none	0	0		[]
c:@E@CTFontSymbolicTraits@kCTFontExpandedTrait	swift.type.property	["CTFontSymbolicTraits","expandedTrait"]	unmatched	none	0	0		[]
c:@E@CTFontSymbolicTraits@kCTFontItalicTrait	swift.type.property	["CTFontSymbolicTraits","italicTrait"]	unmatched	none	0	0		[]
c:@E@CTFontSymbolicTraits@kCTFontMonoSpaceTrait	swift.type.property	["CTFontSymbolicTraits","monoSpaceTrait"]	unmatched	none	0	0		[]
c:@E@CTFontSymbolicTraits@kCTFontTraitBold	swift.type.property	["CTFontSymbolicTraits","traitBold"]	unmatched	none	0	0		[]
c:@E@CTFontSymbolicTraits@kCTFontTraitClassMask	swift.type.property	["CTFontSymbolicTraits","traitClassMask"]	unmatched	none	0	0		[]
