precise	status	evidence	notes
s:10Foundation12DataProtocolPAAE10firstRange2of2inSny5IndexQzGSgqd___qd_0_tAaBRd__SXRd_0_5BoundQyd_0_AHRSr0_lF::SYNTHESIZED::s:10Foundation4DataV	unavailable		Swift/Foundation protocol witness synthesized onto Data; owned by the standard library or Foundation, not CoreTransferable. Redeclaring it would conflict.
s:10Foundation12DataProtocolPAAE10firstRange2ofSny5IndexQzGSgqd___tAaBRd__lF::SYNTHESIZED::s:10Foundation4DataV	unavailable		Swift/Foundation protocol witness synthesized onto Data; owned by the standard library or Foundation, not CoreTransferable. Redeclaring it would conflict.
s:10Foundation12DataProtocolPAAE9copyBytes2toSiSryqd__G_tlF::SYNTHESIZED::s:10Foundation4DataV	unavailable		Swift/Foundation protocol witness synthesized onto Data; owned by the standard library or Foundation, not CoreTransferable. Redeclaring it would conflict.
s:10Foundation12DataProtocolPAAE9copyBytes2toSiSw_tF::SYNTHESIZED::s:10Foundation4DataV	unavailable		Swift/Foundation protocol witness synthesized onto Data; owned by the standard library or Foundation, not CoreTransferable. Redeclaring it would conflict.
s:10Foundation12DataProtocolPAAE9lastRange2of2inSny5IndexQzGSgqd___qd_0_tAaBRd__SXRd_0_5BoundQyd_0_AHRSr0_lF::SYNTHESIZED::s:10Foundation4DataV	unavailable		Swift/Foundation protocol witness synthesized onto Data; owned by the standard library or Foundation, not CoreTransferable. Redeclaring it would conflict.
s:10Foundation12DataProtocolPAAE9lastRange2ofSny5IndexQzGSgqd___tAaBRd__lF::SYNTHESIZED::s:10Foundation4DataV	unavailable		Swift/Foundation protocol witness synthesized onto Data; owned by the standard library or Foundation, not CoreTransferable. Redeclaring it would conflict.
s:10Foundation16AttributedStringV16CoreTransferableE14Representationa	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testAttributedStringTransferable	-
s:10Foundation16AttributedStringV16CoreTransferableE22transferRepresentationQrvpZ	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testAttributedStringTransferable	-
s:10Foundation19MutableDataProtocolPAAE10resetBytes2inyqd___tSXRd__5BoundQyd__5IndexRtzlF::SYNTHESIZED::s:10Foundation4DataV	unavailable		Swift/Foundation protocol witness synthesized onto Data; owned by the standard library or Foundation, not CoreTransferable. Redeclaring it would conflict.
s:10Foundation3URLV16CoreTransferableE14Representationa	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testURLTransferableExportImport	-
s:10Foundation3URLV16CoreTransferableE22transferRepresentationQrvpZ	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testURLTransferableExportImport	-
s:10Foundation4DataV16CoreTransferableE14Representationa	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testDataTransferableExportImport	-
s:10Foundation4DataV16CoreTransferableE22transferRepresentationQrvpZ	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testDataTransferableExportImport	-
s:16CoreTransferable0B0P	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testDataRepresentationRoundTrip	-
s:16CoreTransferable0B0P14RepresentationQa	implemented	test:full/coretransferable/tests/agent/CoreTransferableDepthTests.swift#testRepresentationAssociatedTypesAndBody	-
s:16CoreTransferable0B0P22transferRepresentation0D0QzvpZ	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testBuilderSingleAndTuple	-
s:16CoreTransferable0B0PAAE16withExportedFile11contentType11fileHandlerqd__07UniformG11Identifiers6UTTypeVSg_qd__10Foundation3URLVYaKXEtYaKlF	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testExportToDirectoryAndWithExportedFile	-
s:16CoreTransferable0B0PAAE16withExportedFile11contentType11fileHandlerqd__07UniformG11Identifiers6UTTypeVSg_qd__10Foundation3URLVYaKXEtYaKlF::SYNTHESIZED::s:10Foundation16AttributedStringV	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testAttributedStringTransferable	-
s:16CoreTransferable0B0PAAE16withExportedFile11contentType11fileHandlerqd__07UniformG11Identifiers6UTTypeVSg_qd__10Foundation3URLVYaKXEtYaKlF::SYNTHESIZED::s:10Foundation3URLV	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testURLTransferableExportImport	-
s:16CoreTransferable0B0PAAE16withExportedFile11contentType11fileHandlerqd__07UniformG11Identifiers6UTTypeVSg_qd__10Foundation3URLVYaKXEtYaKlF::SYNTHESIZED::s:10Foundation4DataV	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testDataTransferableExportImport	-
s:16CoreTransferable0B0PAAE16withExportedFile11contentType11fileHandlerqd__07UniformG11Identifiers6UTTypeVSg_qd__10Foundation3URLVYaKXEtYaKlF::SYNTHESIZED::s:SS	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testStringTransferableExportImport	-
s:16CoreTransferable0B0PAAE16withExportedFile11contentType11fileHandlerqd__07UniformG11Identifiers6UTTypeVSg_qd__10Foundation3URLVYaKXEtYaKlF::SYNTHESIZED::s:s5NeverO	declared	source:full/coretransferable/CoreTransferableFoundation.swift#Never	Declaration compiles on Linux; Apple runtime behavior is unobserved.
s:16CoreTransferable0B0PAAE17suggestedFilenameSSSgvp	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testDataTransferableExportImport	-
s:16CoreTransferable0B0PAAE17suggestedFilenameSSSgvp::SYNTHESIZED::s:10Foundation16AttributedStringV	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testAttributedStringTransferable	-
s:16CoreTransferable0B0PAAE17suggestedFilenameSSSgvp::SYNTHESIZED::s:10Foundation3URLV	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testURLTransferableExportImport	-
s:16CoreTransferable0B0PAAE17suggestedFilenameSSSgvp::SYNTHESIZED::s:10Foundation4DataV	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testDataTransferableExportImport	-
s:16CoreTransferable0B0PAAE17suggestedFilenameSSSgvp::SYNTHESIZED::s:SS	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testStringTransferableExportImport	-
s:16CoreTransferable0B0PAAE17suggestedFilenameSSSgvp::SYNTHESIZED::s:s5NeverO	implemented	test:full/coretransferable/tests/agent/CoreTransferableDepthTests.swift#testNeverProtocolWitnessesExist	-
s:16CoreTransferable0B0PAAE20exportedContentTypes10visibilitySay22UniformTypeIdentifiers6UTTypeVGAA32TransferRepresentationVisibilityV_tFZ	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testImportedContentTypesStaticAndInstance	-
s:16CoreTransferable0B0PAAE20exportedContentTypes10visibilitySay22UniformTypeIdentifiers6UTTypeVGAA32TransferRepresentationVisibilityV_tFZ::SYNTHESIZED::s:10Foundation16AttributedStringV	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testAttributedStringTransferable	-
s:16CoreTransferable0B0PAAE20exportedContentTypes10visibilitySay22UniformTypeIdentifiers6UTTypeVGAA32TransferRepresentationVisibilityV_tFZ::SYNTHESIZED::s:10Foundation3URLV	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testURLTransferableExportImport	-
s:16CoreTransferable0B0PAAE20exportedContentTypes10visibilitySay22UniformTypeIdentifiers6UTTypeVGAA32TransferRepresentationVisibilityV_tFZ::SYNTHESIZED::s:10Foundation4DataV	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testDataTransferableExportImport	-
s:16CoreTransferable0B0PAAE20exportedContentTypes10visibilitySay22UniformTypeIdentifiers6UTTypeVGAA32TransferRepresentationVisibilityV_tFZ::SYNTHESIZED::s:SS	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testStringTransferableExportImport	-
s:16CoreTransferable0B0PAAE20exportedContentTypes10visibilitySay22UniformTypeIdentifiers6UTTypeVGAA32TransferRepresentationVisibilityV_tFZ::SYNTHESIZED::s:s5NeverO	implemented	test:full/coretransferable/tests/agent/CoreTransferableDepthTests.swift#testNeverProtocolWitnessesExist	-
s:16CoreTransferable0B0PAAE20exportedContentTypesySay22UniformTypeIdentifiers6UTTypeVGAA32TransferRepresentationVisibilityVF	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testImportedContentTypesStaticAndInstance	-
s:16CoreTransferable0B0PAAE20exportedContentTypesySay22UniformTypeIdentifiers6UTTypeVGAA32TransferRepresentationVisibilityVF::SYNTHESIZED::s:10Foundation16AttributedStringV	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testAttributedStringTransferable	-
s:16CoreTransferable0B0PAAE20exportedContentTypesySay22UniformTypeIdentifiers6UTTypeVGAA32TransferRepresentationVisibilityVF::SYNTHESIZED::s:10Foundation3URLV	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testURLTransferableExportImport	-
s:16CoreTransferable0B0PAAE20exportedContentTypesySay22UniformTypeIdentifiers6UTTypeVGAA32TransferRepresentationVisibilityVF::SYNTHESIZED::s:10Foundation4DataV	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testDataTransferableExportImport	-
s:16CoreTransferable0B0PAAE20exportedContentTypesySay22UniformTypeIdentifiers6UTTypeVGAA32TransferRepresentationVisibilityVF::SYNTHESIZED::s:SS	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testStringTransferableExportImport	-
s:16CoreTransferable0B0PAAE20exportedContentTypesySay22UniformTypeIdentifiers6UTTypeVGAA32TransferRepresentationVisibilityVF::SYNTHESIZED::s:s5NeverO	implemented	test:full/coretransferable/tests/agent/CoreTransferableDepthTests.swift#testNeverProtocolWitnessesExist	-
s:16CoreTransferable0B0PAAE20importedContentTypesSay22UniformTypeIdentifiers6UTTypeVGyF	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testImportedContentTypesStaticAndInstance	-
s:16CoreTransferable0B0PAAE20importedContentTypesSay22UniformTypeIdentifiers6UTTypeVGyF::SYNTHESIZED::s:10Foundation16AttributedStringV	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testAttributedStringTransferable	-
s:16CoreTransferable0B0PAAE20importedContentTypesSay22UniformTypeIdentifiers6UTTypeVGyF::SYNTHESIZED::s:10Foundation3URLV	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testURLTransferableExportImport	-
s:16CoreTransferable0B0PAAE20importedContentTypesSay22UniformTypeIdentifiers6UTTypeVGyF::SYNTHESIZED::s:10Foundation4DataV	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testDataTransferableExportImport	-
s:16CoreTransferable0B0PAAE20importedContentTypesSay22UniformTypeIdentifiers6UTTypeVGyF::SYNTHESIZED::s:SS	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testStringTransferableExportImport	-
s:16CoreTransferable0B0PAAE20importedContentTypesSay22UniformTypeIdentifiers6UTTypeVGyF::SYNTHESIZED::s:s5NeverO	implemented	test:full/coretransferable/tests/agent/CoreTransferableDepthTests.swift#testNeverProtocolWitnessesExist	-
s:16CoreTransferable0B0PAAE20importedContentTypesSay22UniformTypeIdentifiers6UTTypeVGyFZ	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testImportedContentTypesStaticAndInstance	-
s:16CoreTransferable0B0PAAE6export2to11contentType10Foundation3URLVAI_07UniformF11Identifiers6UTTypeVSgtYaKF	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testExportToDirectoryAndWithExportedFile	-
s:16CoreTransferable0B0PAAE6export2to11contentType10Foundation3URLVAI_07UniformF11Identifiers6UTTypeVSgtYaKF::SYNTHESIZED::s:10Foundation16AttributedStringV	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testAttributedStringTransferable	-
s:16CoreTransferable0B0PAAE6export2to11contentType10Foundation3URLVAI_07UniformF11Identifiers6UTTypeVSgtYaKF::SYNTHESIZED::s:10Foundation3URLV	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testURLTransferableExportImport	-
s:16CoreTransferable0B0PAAE6export2to11contentType10Foundation3URLVAI_07UniformF11Identifiers6UTTypeVSgtYaKF::SYNTHESIZED::s:10Foundation4DataV	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testDataTransferableExportImport	-
s:16CoreTransferable0B0PAAE6export2to11contentType10Foundation3URLVAI_07UniformF11Identifiers6UTTypeVSgtYaKF::SYNTHESIZED::s:SS	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testStringTransferableExportImport	-
s:16CoreTransferable0B0PAAE6export2to11contentType10Foundation3URLVAI_07UniformF11Identifiers6UTTypeVSgtYaKF::SYNTHESIZED::s:s5NeverO	implemented	test:full/coretransferable/tests/agent/CoreTransferableDepthTests.swift#testNeverProtocolWitnessesExist	-
s:16CoreTransferable0B0PAAE8exported2as10Foundation4DataV22UniformTypeIdentifiers6UTTypeVSg_tYaKF	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testDataTransferableExportImport	-
s:16CoreTransferable0B0PAAE8exported2as10Foundation4DataV22UniformTypeIdentifiers6UTTypeVSg_tYaKF::SYNTHESIZED::s:10Foundation16AttributedStringV	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testAttributedStringTransferable	-
s:16CoreTransferable0B0PAAE8exported2as10Foundation4DataV22UniformTypeIdentifiers6UTTypeVSg_tYaKF::SYNTHESIZED::s:10Foundation3URLV	implemented	test:full/coretransferable/tests/agent/CoreTransferableTests.swift#testURLTransferableExportImport	-
