precise	status	evidence	notes
c:@E@CVAttachmentMode	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testAttachmentMode	attachment mode enum
c:@E@CVAttachmentMode@kCVAttachmentMode_ShouldNotPropagate	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testAttachmentMode	attachment mode enum
c:@E@CVAttachmentMode@kCVAttachmentMode_ShouldPropagate	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testAttachmentMode	attachment mode enum
c:@E@CVPixelBufferLockFlags	implemented	test:full/corevideo/tests/agent/CoreVideoBufferTests.swift#testPixelBufferCreatePacked	pixel-buffer API
c:@E@CVPixelBufferLockFlags@kCVPixelBufferLock_ReadOnly	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testPixelBufferLockFlags	lock-flag members
c:@E@CVPixelBufferPoolFlushFlags	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testPixelBufferPoolFlushFlags	pool flush flag members
c:@E@CVPixelBufferPoolFlushFlags@kCVPixelBufferPoolFlushExcessBuffers	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testPixelBufferPoolFlushFlags	pool flush flag members
c:@E@CVSMPTETimeFlags	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testSMPTETimeTypeAndFlags	SMPTE flag members
c:@E@CVSMPTETimeFlags@kCVSMPTETimeRunning	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testSMPTETimeTypeAndFlags	SMPTE flag members
c:@E@CVSMPTETimeFlags@kCVSMPTETimeValid	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testSMPTETimeTypeAndFlags	SMPTE flag members
c:@E@CVSMPTETimeType	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testSMPTETimeTypeAndFlags	SMPTE time type
c:@E@CVSMPTETimeType@kCVSMPTETimeType24	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testSMPTETimeTypeAndFlags	SMPTE time type
c:@E@CVSMPTETimeType@kCVSMPTETimeType25	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testSMPTETimeTypeAndFlags	SMPTE time type
c:@E@CVSMPTETimeType@kCVSMPTETimeType2997	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testSMPTETimeTypeAndFlags	SMPTE time type
c:@E@CVSMPTETimeType@kCVSMPTETimeType2997Drop	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testSMPTETimeTypeAndFlags	SMPTE time type
c:@E@CVSMPTETimeType@kCVSMPTETimeType30	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testSMPTETimeTypeAndFlags	SMPTE time type
c:@E@CVSMPTETimeType@kCVSMPTETimeType30Drop	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testSMPTETimeTypeAndFlags	SMPTE time type
c:@E@CVSMPTETimeType@kCVSMPTETimeType5994	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testSMPTETimeTypeAndFlags	SMPTE time type
c:@E@CVSMPTETimeType@kCVSMPTETimeType60	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testSMPTETimeTypeAndFlags	SMPTE time type
c:@E@CVTimeFlags	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testCVTimeFlags	CVTime flag members
c:@E@CVTimeFlags@kCVTimeIsIndefinite	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testCVTimeFlags	CVTime flag members
c:@E@CVTimeStampFlags	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testCVTimeStampFlagsMembers	timestamp flag members
c:@E@CVTimeStampFlags@kCVTimeStampBottomField	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testCVTimeStampFlagsMembers	timestamp flag members
c:@E@CVTimeStampFlags@kCVTimeStampHostTimeValid	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testCVTimeStampFlagsMembers	timestamp flag members
c:@E@CVTimeStampFlags@kCVTimeStampIsInterlaced	implemented	test:full/corevideo/tests/agent/CoreVideoEnumTests.swift#testCVTimeStampFlagsMembers	timestamp flag members
