precise	kind	title	path	declaration
c:@E@CVAttachmentMode	swift.enum	CVAttachmentMode	CVAttachmentMode	enum CVAttachmentMode
c:@E@CVAttachmentMode@kCVAttachmentMode_ShouldNotPropagate	swift.enum.case	CVAttachmentMode.shouldNotPropagate	CVAttachmentMode.shouldNotPropagate	case shouldNotPropagate
c:@E@CVAttachmentMode@kCVAttachmentMode_ShouldPropagate	swift.enum.case	CVAttachmentMode.shouldPropagate	CVAttachmentMode.shouldPropagate	case shouldPropagate
c:@E@CVPixelBufferLockFlags	swift.struct	CVPixelBufferLockFlags	CVPixelBufferLockFlags	struct CVPixelBufferLockFlags
c:@E@CVPixelBufferLockFlags@kCVPixelBufferLock_ReadOnly	swift.type.property	readOnly	CVPixelBufferLockFlags.readOnly	static var readOnly: CVPixelBufferLockFlags { get }
c:@E@CVPixelBufferPoolFlushFlags	swift.struct	CVPixelBufferPoolFlushFlags	CVPixelBufferPoolFlushFlags	struct CVPixelBufferPoolFlushFlags
c:@E@CVPixelBufferPoolFlushFlags@kCVPixelBufferPoolFlushExcessBuffers	swift.type.property	excessBuffers	CVPixelBufferPoolFlushFlags.excessBuffers	static var excessBuffers: CVPixelBufferPoolFlushFlags { get }
c:@E@CVSMPTETimeFlags	swift.struct	CVSMPTETimeFlags	CVSMPTETimeFlags	struct CVSMPTETimeFlags
c:@E@CVSMPTETimeFlags@kCVSMPTETimeRunning	swift.type.property	running	CVSMPTETimeFlags.running	static var running: CVSMPTETimeFlags { get }
c:@E@CVSMPTETimeFlags@kCVSMPTETimeValid	swift.type.property	valid	CVSMPTETimeFlags.valid	static var valid: CVSMPTETimeFlags { get }
c:@E@CVSMPTETimeType	swift.enum	CVSMPTETimeType	CVSMPTETimeType	enum CVSMPTETimeType
c:@E@CVSMPTETimeType@kCVSMPTETimeType24	swift.enum.case	CVSMPTETimeType.type24	CVSMPTETimeType.type24	case type24
c:@E@CVSMPTETimeType@kCVSMPTETimeType25	swift.enum.case	CVSMPTETimeType.type25	CVSMPTETimeType.type25	case type25
c:@E@CVSMPTETimeType@kCVSMPTETimeType2997	swift.enum.case	CVSMPTETimeType.type2997	CVSMPTETimeType.type2997	case type2997
c:@E@CVSMPTETimeType@kCVSMPTETimeType2997Drop	swift.enum.case	CVSMPTETimeType.type2997Drop	CVSMPTETimeType.type2997Drop	case type2997Drop
c:@E@CVSMPTETimeType@kCVSMPTETimeType30	swift.enum.case	CVSMPTETimeType.type30	CVSMPTETimeType.type30	case type30
c:@E@CVSMPTETimeType@kCVSMPTETimeType30Drop	swift.enum.case	CVSMPTETimeType.type30Drop	CVSMPTETimeType.type30Drop	case type30Drop
c:@E@CVSMPTETimeType@kCVSMPTETimeType5994	swift.enum.case	CVSMPTETimeType.type5994	CVSMPTETimeType.type5994	case type5994
