precise	kind	title	path	declaration
s:9CryptoKit03ChaC4PolyO	swift.enum	ChaChaPoly	ChaChaPoly	enum ChaChaPoly
s:9CryptoKit03ChaC4PolyO4open_5using10Foundation4DataVAC9SealedBoxV_AA12SymmetricKeyVtKFZ	swift.type.method	open(_:using:)	ChaChaPoly.open(_:using:)	static func open(_ sealedBox: ChaChaPoly.SealedBox, using key: SymmetricKey) throws -> Data
s:9CryptoKit03ChaC4PolyO4open_5using14authenticating10Foundation4DataVAC9SealedBoxV_AA12SymmetricKeyVxtKAG0I8ProtocolRzlFZ	swift.type.method	open(_:using:authenticating:)	ChaChaPoly.open(_:using:authenticating:)	static func open<AuthenticatedData>(_ sealedBox: ChaChaPoly.SealedBox, using key: SymmetricKey, authenticating authenticatedData: AuthenticatedData) throws -> Data where AuthenticatedData : DataProtocol
s:9CryptoKit03ChaC4PolyO4seal_5using5nonce14authenticatingAC9SealedBoxVx_AA12SymmetricKeyVAC5NonceVSgq_tK10Foundation12DataProtocolRzAoPR_r0_lFZ	swift.type.method	seal(_:using:nonce:authenticating:)	ChaChaPoly.seal(_:using:nonce:authenticating:)	static func seal<Plaintext, AuthenticatedData>(_ message: Plaintext, using key: SymmetricKey, nonce: ChaChaPoly.Nonce? = nil, authenticating authenticatedData: AuthenticatedData) throws -> ChaChaPoly.SealedBox where Plaintext : DataProtocol, AuthenticatedData : DataProtocol
s:9CryptoKit03ChaC4PolyO4seal_5using5nonceAC9SealedBoxVx_AA12SymmetricKeyVAC5NonceVSgtK10Foundation12DataProtocolRzlFZ	swift.type.method	seal(_:using:nonce:)	ChaChaPoly.seal(_:using:nonce:)	static func seal<Plaintext>(_ message: Plaintext, using key: SymmetricKey, nonce: ChaChaPoly.Nonce? = nil) throws -> ChaChaPoly.SealedBox where Plaintext : DataProtocol
s:9CryptoKit03ChaC4PolyO5NonceV	swift.struct	ChaChaPoly.Nonce	ChaChaPoly.Nonce	struct Nonce
s:9CryptoKit03ChaC4PolyO5NonceV12makeIterators08IndexingG0VySays5UInt8VGGyF	swift.method	makeIterator()	ChaChaPoly.Nonce.makeIterator()	func makeIterator() -> Array<UInt8>.Iterator
s:9CryptoKit03ChaC4PolyO5NonceV15withUnsafeBytesyxxSWKXEKlF	swift.method	withUnsafeBytes(_:)	ChaChaPoly.Nonce.withUnsafeBytes(_:)	func withUnsafeBytes<R>(_ body: (UnsafeRawBufferPointer) throws -> R) rethrows -> R
s:9CryptoKit03ChaC4PolyO5NonceV4dataAEx_tKc10Foundation12DataProtocolRzlufc	swift.init	init(data:)	ChaChaPoly.Nonce.init(data:)	init<D>(data: D) throws where D : DataProtocol
s:9CryptoKit03ChaC4PolyO5NonceV7Elementa	swift.typealias	ChaChaPoly.Nonce.Element	ChaChaPoly.Nonce.Element	typealias Element = IndexingIterator<Array<UInt8>>.Element
s:9CryptoKit03ChaC4PolyO5NonceV8Iteratora	swift.typealias	ChaChaPoly.Nonce.Iterator	ChaChaPoly.Nonce.Iterator	typealias Iterator = Array<UInt8>.Iterator
s:9CryptoKit03ChaC4PolyO5NonceVAEycfc	swift.init	init()	ChaChaPoly.Nonce.init()	init()
s:9CryptoKit03ChaC4PolyO9SealedBoxV	swift.struct	ChaChaPoly.SealedBox	ChaChaPoly.SealedBox	@frozen struct SealedBox
s:9CryptoKit03ChaC4PolyO9SealedBoxV10ciphertext10Foundation4DataVvp	swift.property	ciphertext	ChaChaPoly.SealedBox.ciphertext	var ciphertext: Data { get }
s:9CryptoKit03ChaC4PolyO9SealedBoxV3tag10Foundation4DataVvp	swift.property	tag	ChaChaPoly.SealedBox.tag	var tag: Data { get }
s:9CryptoKit03ChaC4PolyO9SealedBoxV5nonce10ciphertext3tagAeC5NonceV_xq_tKc10Foundation12DataProtocolRzAkLR_r0_lufc	swift.init	init(nonce:ciphertext:tag:)	ChaChaPoly.SealedBox.init(nonce:ciphertext:tag:)	init<C, T>(nonce: ChaChaPoly.Nonce, ciphertext: C, tag: T) throws where C : DataProtocol, T : DataProtocol
